token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BO085	0	buongiorno.	buongiorno	buongiorno	NOUN	Intonation=falling
1-0	BO082	1	buongiorno.	buongiorno	buongiorno	NOUN	Intonation=falling
2-0	BO085	2	io	io	io	PRON	_
2-1	BO085	2	le	le	le	PRON	_
2-2	BO085	2	ho	ho	avere	AUX	_
2-3	BO085	2	scrittto	scrittto	scritggere	VERB	_
2-4	BO085	2	una	una	uno	DET	_
2-5	BO085	2	mail	mail	mail	NOUN	_
2-6	BO085	2	ier[i	ieri	ieri	ADV	_
2-7	BO085	2	a]	a	a	ADP	_
2-8	BO085	2	proposito	proposito	proposito	NOUN	_
2-9	BO085	2	del	del	_	_	_
2-9a	_	_	_	di	di	ADP	_
2-9b	_	_	_	il	il	DET	_
2-10	BO085	2	piano	piano	piano	NOUN	_
2-11	BO085	2	di	di	di	ADP	_
2-12	BO085	2	studi,	studi	studio	NOUN	Intonation=weakly_rising
3-0	BO082	3	[sì].	sì	sì	ADV	Intonation=falling
4-0	BO082	4	ah	ah	ah	INTJ	_
4-1	BO082	4	okay	okay	okay	NOUN	_
4-2	BO082	4	sì.	sì	sì	INTJ	Intonation=falling
5-0	BO082	5	allora	allora	allora	ADV	_
5-1	BO082	5	io	io	io	PRON	_
5-2	BO082	5	non	non	non	ADV	_
5-3	BO082	5	ho	ho	avere	AUX	_
5-4	BO082	5	capito	capito	capire	VERB	_
5-5	BO082	5	perché	perché	perché	SCONJ	_
5-6	BO082	5	la	la	il	DET	_
5-7	BO082	5	sua	sua	suo	DET	_
5-8	BO082	5	mail	mail	mail	NOUN	_
5-9	BO082	5	è	è	essere	AUX	_
5-10	BO082	5	diciamo	diciamo	dire	VERB	_
5-11	BO082	5	tecnicamente	tecnicamente	tecnico	ADV	_
5-12	BO082	5	un	un	uno	DET	_
5-13	BO082	5	po'	po'	poco	ADV	_
5-14	BO082	5	imprecisa,	imprecisa	impreciso	ADJ	Intonation=weakly_rising
6-0	BO082	6	anzi	anzi	anzi	ADV	_
6-1	BO082	6	molto.	molto	molto	ADV	Intonation=falling
7-0	BO082	7	allora,	allora	allora	ADV	Intonation=weakly_rising
8-0	BO082	8	aspetti	aspetti	aspettere	VERB	_
8-1	BO082	8	un	un	uno	DET	_
8-2	BO082	8	attimo,	attimo	attimo	NOUN	Intonation=weakly_rising
9-0	BO082	9	scusi	scusi	scuso	NOUN	_
9-1	BO082	9	eh.	eh	eh	INTJ	Intonation=falling
10-0	BO082	10	catturato	catturato	catturare	VERB	_
10-1	BO082	10	il:,	il	il	DET	Intonation=weakly_rising
11-0	BO082	11	allora,	allora	allora	ADV	Intonation=weakly_rising
12-0	BO082	12	la	la	la	PRON	_
12-1	BO082	12	devo	devo	dovere	AUX	_
