token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TO074	0	ep-	ep-	_	_	Interrupted=Yes
0-0a	_	_	_	ep	ep	ADJ	_
0-0b	_	_	_	-	-	PUNCT	_
0-1	TO074	0	in	in	in	ADP	_
0-2	TO074	0	effetti	effetti	effetto	NOUN	_
0-3	TO074	0	è	è	essere	AUX	_
0-4	TO074	0	un	un	uno	DET	_
0-5	TO074	0	po'::	po'	poco	ADV	_
1-0	TO074	1	grande.	grande	grande	ADJ	Intonation=falling
1-1	TO074	1	bello	bello	bello	ADJ	_
1-2	TO074	1	eh	eh	eh	NOUN	_
2-0	TO074	2	pro[fessionale]	professionale	professionale	ADJ	_
3-0	TO078	3	[trasparen]te	trasparente	trasparente	ADJ	_
4-0	TO074	4	ma	ma	ma	CCONJ	_
5-0	TO074	5	xx	x	decimo	ADJ	_
6-0	TO074	6	eh	eh	eh	INTJ	_
6-1	TO074	6	io	io	io	PRON	_
6-2	TO074	6	ne	ne	ne	PRON	_
6-3	TO074	6	uso	uso	uso	NOUN	_
6-4	TO074	6	uno	uno	uno	PRON	_
6-5	TO074	6	piccolo	piccolo	piccolo	ADJ	_
6-6	TO074	6	così	così	così	ADV	_
7-0	TO074	7	xx	x	x	SYM	_
7-1	TO074	7	(chiedono)	chiedono	chiedere	VERB	_
7-2	TO074	7	ma	ma	ma	CCONJ	_
7-3	TO074	7	perché	perché	perché	SCONJ	_
7-4	TO074	7	usa	usa	usare	VERB	_
7-5	TO074	7	il	il	il	DET	_
8-0	TO074	8	tutti:	tutti	tutto	PRON	_
8-1	TO074	8	le	le	il	DET	_
8-2	TO074	8	persone	persone	persona	NOUN	_
8-3	TO074	8	che	che	che	PRON	_
8-4	TO074	8	intervisto	intervisto	intervedere	VERB	_
8-5	TO074	8	mi	mi	mi	PRON	_
8-6	TO074	8	chiedono	chiedono	chiedere	VERB	_
8-7	TO074	8	ma	ma	ma	CCONJ	_
8-8	TO074	8	perché	perché	perché	SCONJ	_
8-9	TO074	8	usi:	usi	uso	NOUN	ProsodicLink=Yes
8-10	TO074	8	il	il	il	DET	_
9-0	TO078	9	registra[tore	registratore	registratore	NOUN	_
9-1	TO078	9	{P}	{P}	_	_	_
9-2	TO078	9	quello	quello	quello	PRON	_
9-3	TO078	9	c'	c'	ci	PRON	SpaceAfter=No
9-4	TO078	9	è	è	essere	VERB	_
9-5	TO078	9	il	il	il	DET	_
9-6	TO078	9	tele:fono]	telefono	telefono	NOUN	_
10-0	TO074	10	[il	il	il	DET	_
10-1	TO074	10	registratore	registratore	registratore	NOUN	_
10-2	TO074	10	non	non	non	ADV	_
10-3	TO074	10	usi	usi	udere	VERB	_
10-4	TO074	10	il	il	il	DET	_
10-5	TO074	10	cellula:re]	cellulare	cellulare	NOUN	_
11-0	TO078	11	°sì°	sì	sì	ADV	Volume=low
12-0	TO074	12	xx	x	decimo	ADJ	_
13-0	TO074	13	lì	lì	lì	ADV	_
13-1	TO074	13	a	a	a	ADP	_
13-2	TO074	13	spiegare	spiegare	spiegare	VERB	_
14-0	TO078	14	perché	perché	perché	SCONJ	_
14-1	TO078	14	il	il	il	DET	_
14-2	TO078	14	cellulare	cellulare	cellulare	NOUN	_
14-3	TO078	14	può	può	potere	AUX	_
14-4	TO078	14	squillare:	squillare	squillare	VERB	_
15-0	TO078	15	per	per	per	ADP	_
15-1	TO078	15	le	le	il	DET	_
