token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TO006	0	allora.	allora	allora	ADV	Intonation=falling
0-1	TO006	0	buonase[ra],	buonasera	buonasero	ADJ	Intonation=weakly_rising
1-0	TO008	1	[bu]uonasera.	buuonasera	buuonasera	NOUN	Intonation=falling
2-0	TO006	2	e:h,	eh	eh	INTJ	Intonation=weakly_rising
2-1	TO006	2	{P}	{P}	_	_	_
2-2	TO006	2	ha	ha	avere	VERB	_
2-3	TO006	2	le	le	il	DET	_
2-4	TO006	2	dispense?	dispense	dispenso	ADJ	Intonation=rising
3-0	TO008	3	sì.	sì	sì	ADV	Intonation=falling
4-0	TO006	4	giusto	giusto	giusto	ADJ	_
4-1	TO006	4	per	per	per	ADP	ProsodicLink=Yes
4-2	TO006	4	eh,	eh	eh	NOUN	Intonation=weakly_rising
5-0	TO006	5	benissimo.	benissimo	bene	ADV	Intonation=falling
5-1	TO006	5	quindi,	quindi	quindi	ADV	Intonation=weakly_rising
5-2	TO006	5	di	di	di	ADP	_
5-3	TO006	5	quest'	quest'	questo	DET	Truncated=Yes
5-4	TO006	5	anno	anno	anno	NOUN	_
6-0	TO008	6	sì.	sì	sì	ADV	Intonation=falling
7-0	TO006	7	ehm::,	ehm	ehm	NOUN	Intonation=weakly_rising
8-0	TO006	8	iniziamo	iniziamo	iniziare	VERB	_
8-1	TO006	8	dall'	dall'	_	_	Truncated=Yes
8-1a	_	_	_	da	da	ADP	_
8-1b	_	_	_	l'	il	DET	_
8-2	TO006	8	impre:sa,	impresa	impresa	NOUN	Intonation=weakly_rising
9-0	TO006	9	mi	mi	mi	PRON	_
9-1	TO006	9	sa	sa	sapere	AUX	_
9-2	TO006	9	dire	dire	dire	VERB	_
9-3	TO006	9	qualcosa	qualcosa	qualcosa	PRON	_
9-4	TO006	9	sull'	sull'	_	_	Truncated=Yes
9-4a	_	_	_	su	su	ADP	_
9-4b	_	_	_	l'	il	DET	_
9-5	TO006	9	institore,	institore	institore	NOUN	Intonation=weakly_rising
10-0	TO008	10	sì.	sì	sì	ADV	Intonation=falling
11-0	TO008	11	allora.	allora	allora	ADV	Intonation=falling
11-1	TO008	11	{P}	{P}	_	_	_
11-2	TO008	11	l'	l'	il	DET	Truncated=Yes
11-3	TO008	11	insti~,	insti~	insti~	PROPN	Intonation=weakly_rising
11-4	TO008	11	l'	l'	lo	DET	Truncated=Yes
11-5	TO008	11	in	in	in	ADP	ProsodicLink=Yes
11-6	TO008	11	stin	stin	stino	ADV	ProsodicLink=Yes
11-7	TO008	11	tore,	tore	tore	NOUN	Intonation=weakly_rising
