token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TO071	0	bon	bon	bon	NOUN	_
0-1	TO071	0	ci	ci	ci	PRON	_
0-2	TO071	0	siamo.	siamo	essere	AUX	Intonation=falling
1-0	TO071	1	benissimo	benissimo	bene	ADV	_
1-1	TO071	1	allor~	allor~	allor~	PROPN	Interrupted=Yes
1-2	TO071	1	grazie	grazie	grazie	NOUN	_
1-3	TO071	1	ragazze	ragazze	ragazzo	NOUN	_
1-4	TO071	1	per	per	per	ADP	_
1-5	TO071	1	aver	aver	avere	AUX	_
1-6	TO071	1	partecipato	partecipato	partecipare	VERB	_
1-7	TO071	1	innanzitutto,	innanzitutto	innanzitutto	ADV	Intonation=weakly_rising
2-0	TO071	2	ehm:::	ehm	ehm	NOUN	_
2-1	TO071	2	allora	allora	allora	ADV	_
2-2	TO071	2	come	come	come	ADP	_
2-3	TO071	2	vi	vi	vi	ADV	_
2-4	TO071	2	dicevo	dicevo	dicevo	NOUN	_
2-5	TO071	2	si	si	si	PRON	_
2-6	TO071	2	tratta	tratta	trattare	VERB	_
2-7	TO071	2	di,	di	di	ADP	Intonation=weakly_rising
3-0	TO071	3	parlare	parlare	parlare	VERB	_
3-1	TO071	3	nella	nella	_	_	_
3-1a	_	_	_	in	in	ADP	_
3-1b	_	_	_	la	il	DET	_
3-2	TO071	3	maniera	maniera	maniera	NOUN	_
3-3	TO071	3	più	più	più	ADV	_
3-4	TO071	3	più:,	più	più	ADV	Intonation=weakly_rising
4-0	TO071	4	e:::h	eh	eh	INTJ	_
5-0	TO071	5	<naturale>	naturale	naturale	ADJ	_
5-1	TO071	5	{P}	{P}	_	_	_
5-2	TO071	5	che	che	che	SCONJ	_
5-3	TO071	5	vi	vi	vi	PRON	_
5-4	TO071	5	viene	viene	venire	VERB	_
5-5	TO071	5	in	in	in	ADP	_
5-6	TO071	5	mente.	mente	mente	NOUN	Intonation=falling
6-0	TO071	6	parliamo	parliamo	parlare	VERB	_
6-1	TO071	6	di	di	di	ADP	_
6-2	TO071	6	case.	case	casa	NOUN	Intonation=falling
7-0	TO071	7	okay?	okay	okay	NOUN	Intonation=rising
8-0	???	8	case.	case	casa	NOUN	Intonation=falling
9-0	TO071	9	vel'	vel'	_	_	Truncated=Yes
9-0a	_	_	_	ve	vi	PRON	_
9-0b	_	_	_	l'	lo	PRON	_
9-1	TO071	9	ho	ho	avere	AUX	_
9-2	TO071	9	detto	detto	dire	VERB	_
9-3	TO071	9	che	che	che	SCONJ	_
9-4	TO071	9	era	era	essere	AUX	_
9-5	TO071	9	facile	facile	facile	ADJ	_
9-6	TO071	9	{P}	{P}	_	_	_
9-7	TO071	9	facilissimo.	facilissimo	facilo	ADJ	Intonation=falling
10-0	TO071	10	ehm:::	ehm	ehm	NOUN	_
11-0	TO071	11	tu	tu	tu	PRON	_
11-1	TO071	11	già	già	già	ADV	_
11-2	TO071	11	mi	mi	mi	PRON	_
11-3	TO071	11	hai	hai	avere	AUX	_
11-4	TO071	11	detto	detto	dire	VERB	_
11-5	TO071	11	che:	che	che	SCONJ	ProsodicLink=Yes
11-6	TO071	11	m:h	mh	mh	NOUN	_
12-0	TO071	12	come	come	come	ADV	_
12-1	TO071	12	dire	dire	dire	VERB	_
12-2	TO071	12	{P}	{P}	_	_	_
12-3	TO071	12	stai	stai	staio	NOUN	_
12-4	TO071	12	in	in	in	ADP	_
12-5	TO071	12	(ver~)	ver~	ver~	PROPN	Interrupted=Yes
12-6	TO071	12	in	in	in	ADP	_
12-7	TO071	12	fase	fase	fase	NOUN	_
12-8	TO071	12	di	di	di	ADP	_
12-9	TO071	12	cambiamento,	cambiamento	cambiamento	NOUN	Intonation=weakly_rising
13-0	TO071	13	stai	stai	stai	ADV	_
13-1	TO071	13	finendo	finendo	finire	VERB	_
13-2	TO071	13	di	di	di	ADP	_
13-3	TO071	13	cambiarla.	cambiarla	_	_	Intonation=falling
13-3a	_	_	_	cambiar	cambiare	VERB	_
13-3b	_	_	_	la	la	PRON	_
14-0	TO071	14	tu	tu	tu	PRON	_
14-1	TO071	14	pure	pure	pure	ADV	_
14-2	TO071	14	mi	mi	mi	PRON	_
14-3	TO071	14	hai	hai	avere	AUX	_
14-4	TO071	14	raccontato	raccontato	raccontare	VERB	_
14-5	TO071	14	qualcosina	qualcosina	qualcosina	NOUN	_
14-6	TO071	14	delle:	delle	_	_	_
14-6a	_	_	_	di	di	ADP	_
14-6b	_	_	_	le	il	DET	_
14-7	TO071	14	casette	casette	casetta	NOUN	_
14-8	TO071	14	tue	tue	tuo	DET	_
