token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	PKP065	0	TOM	tom	tom	NOUN	Volume=high
1-0	PKP065	1	dicevo	dicevo	dire	VERB	_
1-1	PKP065	1	che	che	che	SCONJ	_
1-2	PKP065	1	lunedì	lunedì	lunedì	NOUN	_
1-3	PKP065	1	è	è	essere	AUX	_
1-4	PKP065	1	di	di	di	ADP	_
1-5	PKP065	1	f~	f~	f~	PROPN	Interrupted=Yes
1-6	PKP065	1	turno	turno	turre	VERB	_
1-7	PKP065	1	l~:	l~:	_	_	_
1-8	PKP065	1	farmacia	farmacia	farmacia	NOUN	_
1-9	PKP065	1	qua	qua	qua	ADV	_
1-10	PKP065	1	in	in	in	ADP	_
1-11	PKP065	1	@nomeluogo	@nomeluogo	@nomeluogo	NOUN	_
2-0	PKP065	2	quindi	quindi	quindi	ADV	_
2-1	PKP065	2	bisognerebbe	bisognerebbe	bisognerebbe	VERB	_
2-2	PKP065	2	passarci	passarci	_	_	_
2-2a	_	_	_	passar	passare	VERB	_
2-2b	_	_	_	ci	ci	PRON	_
2-3	PKP065	2	o	o	o	CCONJ	_
2-4	PKP065	2	chiamare	chiamare	chiamare	VERB	_
2-5	PKP065	2	sentire	sentire	sentire	VERB	_
2-6	PKP065	2	se	se	se	SCONJ	_
2-7	PKP065	2	li	li	li	PRON	_
2-8	PKP065	2	fanno	fanno	fare	VERB	_
2-9	PKP065	2	anche	anche	anche	ADV	_
2-10	PKP065	2	lunedì	lunedì	lunedì	NOUN	_
2-11	PKP065	2	mattina	mattina	mattino	NOUN	_
2-12	PKP065	2	festivo	festivo	festire	VERB	_
2-13	PKP065	2	i	i	il	DET	_
2-14	PKP065	2	tamponi,	tamponi	tampone	NOUN	Intonation=weakly_rising
3-0	PKP065	3	in	in	in	ADP	_
3-1	PKP065	3	modo	modo	modo	NOUN	_
3-2	PKP065	3	che	che	che	SCONJ	_
3-3	PKP065	3	invece	invece	invece	ADV	_
3-4	PKP065	3	di	di	di	ADP	_
3-5	PKP065	3	farlo	farlo	_	_	_
3-5a	_	_	_	far	fare	VERB	_
3-5b	_	_	_	lo	il	DET	_
3-6	PKP065	3	domenica:	domenica	domenica	NOUN	_
3-7	PKP065	3	lo	lo	lo	PRON	_
3-8	PKP065	3	fa	fa	fare	VERB	_
4-0	PKP065	4	non	non	non	ADV	_
4-1	PKP065	4	so	so	sapere	VERB	_
4-2	PKP065	4	se	se	se	SCONJ	_
4-3	PKP065	4	ci	ci	ci	PRON	_
4-4	PKP065	4	può	può	potere	AUX	_
4-5	PKP065	4	essere	essere	essere	AUX	_
4-6	PKP065	4	più	più	più	ADV	_
4-7	PKP065	4	gente	gente	gente	NOUN	_
5-0	PKP065	5	ovviamente	ovviamente	ovvio	ADV	_
5-1	PKP065	5	perché	perché	perché	SCONJ	_
5-2	PKP065	5	lunedì	lunedì	lunedì	NOUN	_
5-3	PKP065	5	è	è	essere	AUX	_
5-4	PKP065	5	festivo	festivo	festivo	ADJ	_
5-5	PKP065	5	quindi	quindi	quindi	ADV	_
6-0	PKP065	6	e	e	e	CCONJ	_
6-1	PKP065	6	lo	lo	lo	PRON	_
6-2	PKP065	6	fa	fa	fare	VERB	_
6-3	PKP065	6	{schiarisce_la_voce}	{schiarisce_la_voce}	_	_	_
6-4	PKP065	6	per	per	per	ADP	_
6-5	PKP065	6	andare	andare	andare	VERB	_
6-6	PKP065	6	a	a	a	ADP	_
6-7	PKP065	6	lavorare	lavorare	lavorare	VERB	_
7-0	PKP065	7	se	se	se	SCONJ	_
7-1	PKP065	7	no,	no	no	X	Intonation=weakly_rising
7-2	PKP065	7	{P}	{P}	_	_	_
7-3	PKP065	7	ehm:	ehm	ehm	X	_
7-4	PKP065	7	domenica	domenica	domenica	NOUN	_
7-5	PKP065	7	è	è	essere	AUX	_
7-6	PKP065	7	di	di	di	ADP	_
7-7	PKP065	7	turno	turno	turno	NOUN	_
7-8	PKP065	7	quella	quella	quello	PRON	_
7-9	PKP065	7	a	a	a	ADP	_
7-10	PKP065	7	colle	colle	_	_	_
7-10a	_	_	_	con	con	ADP	_
7-10b	_	_	_	le	il	DET	_
7-11	PKP065	7	paradiso	paradiso	Paradiso	NOUN	_
7-12	PKP065	7	che	che	che	PRON	_
7-13	PKP065	7	sai	sai	sapere	VERB	_
7-14	PKP065	7	dov'	dov'	dove	ADV	SpaceAfter=No
7-15	PKP065	7	è?	è	essere	AUX	Intonation=rising
8-0	PKP063	8	no	no	no	ADV	_
9-0	PKP065	9	è	è	essere	AUX	_
9-1	PKP065	9	la	la	il	DET	_
9-2	PKP065	9	salita	salita	salita	NOUN	_
9-3	PKP065	9	per	per	per	ADP	_
9-4	PKP065	9	andare	andare	andare	VERB	_
9-5	PKP065	9	al	al	_	_	_
9-5a	_	_	_	a	a	ADP	_
9-5b	_	_	_	il	il	DET	_
9-6	PKP065	9	leopardi,	leopardi	leopardo	NOUN	Intonation=weakly_rising
10-0	PKP063	10	ah	ah	ah	INTJ	_
10-1	PKP063	10	ah	ah	ah	INTJ	_
11-0	PKP065	11	dove	dove	dove	ADV	_
11-1	PKP065	11	prima	prima	prima	ADV	_
11-2	PKP065	11	c'	c'	ci	PRON	SpaceAfter=No
11-3	PKP065	11	era	era	essere	VERB	_
11-4	PKP065	11	il	il	il	DET	_
11-5	PKP065	11	supermercato,	supermercato	supermercato	NOUN	Intonation=weakly_rising
11-6	PKP065	11	poi	poi	poi	ADV	_
11-7	PKP065	11	c'	c'	ci	PRON	SpaceAfter=No
11-8	PKP065	11	era	era	essere	VERB	_
11-9	PKP065	11	la	la	il	DET	_
11-10	PKP065	11	pizzeria:	pizzeria	pizzeria	NOUN	_
11-11	PKP065	11	e	e	e	CCONJ	_
11-12	PKP065	11	adesso	adesso	adesso	ADV	_
11-13	PKP065	11	c'	c'	ci	PRON	SpaceAfter=No
11-14	PKP065	11	ha	ha	avere	AUX	_
11-15	PKP065	11	aperto	aperto	aprire	VERB	_
11-16	PKP065	11	la	la	il	DET	_
11-17	PKP065	11	farmacia	farmacia	farmacia	NOUN	_
12-0	PKP064	12	prima	prima	prima	ADV	_
12-1	PKP064	12	della	della	_	_	_
12-1a	_	_	_	di	di	ADP	_
12-1b	_	_	_	la	il	DET	_
12-2	PKP064	12	scuola	scuola	scuola	NOUN	_
12-3	PKP064	12	[su]lla	sulla	_	_	_
12-3a	_	_	_	su	su	ADP	_
12-3b	_	_	_	la	il	DET	_
12-4	PKP064	12	sinistra	sinistra	sinistra	NOUN	_
13-0	PKP065	13	[eh]	eh	eh	INTJ	_
14-0	PKP065	14	sulla	sulla	_	_	_
14-0a	_	_	_	su	su	ADP	_
14-0b	_	_	_	la	il	DET	_
14-1	PKP065	14	salita	salita	salita	NOUN	_
14-2	PKP065	14	pri[ma:]	prima	primo	ADJ	_
15-0	PKP063	15	[que]lla	quella	quello	PRON	_
15-1	PKP063	15	davanti	davanti	davanti	ADV	_
15-2	PKP063	15	alla	alla	_	_	_
15-2a	_	_	_	a	a	ADP	_
15-2b	_	_	_	la	il	DET	_
15-3	PKP063	15	pizzeri[a:]	pizzeria	pizzeria	NOUN	_
16-0	PKP064	16	[eh]	eh	eh	INTJ	_
17-0	PKP065	17	[es]atto	esatto	esatto	ADJ	_
18-0	PKP063	18	ah:	ah	ah	INTJ	_
18-1	PKP063	18	sì	sì	sì	ADV	_
19-0	PKP063	19	la	la	il	DET	_
19-1	PKP063	19	pizzeria	pizzeria	pizzeria	NOUN	_
19-2	PKP063	19	si	si	si	PRON	_
19-3	PKP063	19	chiama	chiama	chiamare	VERB	_
19-4	PKP063	19	tipo	tipo	tipo	NOUN	_
19-5	PKP063	19	le	le	il	DET	_
19-6	PKP063	19	mura?	mura	muro	NOUN	Intonation=rising
20-0	PKP065	20	m[h]:	mh	mh	NOUN	_
21-0	PKP064	21	[boh]	boh	boh	NOUN	_
22-0	PKP063	22	ah	ah	ah	INTJ	_
22-1	PKP063	22	ma	ma	ma	CCONJ	_
22-2	PKP063	22	quella	quella	quello	PRON	_
22-3	PKP063	22	che	che	che	PRON	_
22-4	PKP063	22	però	però	però	ADV	_
22-5	PKP063	22	è	è	essere	AUX	_
22-6	PKP063	22	durante	durante	durante	ADP	_
22-7	PKP063	22	la	la	il	DET	_
22-8	PKP063	22	salita	salita	salita	NOUN	_
23-0	PKP064	23	comunque	comunque	comunque	ADV	_
