token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	PKP136	0	okay	okay	okay	NOUN	_
0-1	PKP136	0	facciamo	facciamo	fare	VERB	_
0-2	PKP136	0	partire	partire	partire	VERB	_
0-3	PKP136	0	la	la	il	DET	_
0-4	PKP136	0	registrazione	registrazione	registrazione	NOUN	_
0-5	PKP136	0	mettiamola	mettiamola	_	_	_
0-5a	_	_	_	mettiamo	mettere	VERB	_
0-5b	_	_	_	la	il	DET	_
0-6	PKP136	0	qua	qua	qua	NOUN	_
1-0	PKP139	1	nel	nel	_	_	_
1-0a	_	_	_	in	in	ADP	_
1-0b	_	_	_	il	il	DET	_
1-1	PKP139	1	frattempo	frattempo	frattempo	NOUN	_
1-2	PKP139	1	[posso	posso	potere	AUX	_
1-3	PKP139	1	avere	avere	avere	VERB	_
1-4	PKP139	1	un	un	uno	DET	_
1-5	PKP139	1	po'	po'	poco	PRON	_
1-6	PKP139	1	di]	di	di	ADP	_
1-7	PKP139	1	birra:?	birra	birra	NOUN	Intonation=rising
2-0	PKP136	2	[perfetto]	perfetto	perfetto	ADJ	_
3-0	PKP136	3	[ce]rto	certo	certo	ADV	_
4-0	PKP140	4	[ce~]	ce~	ce~	PROPN	Interrupted=Yes
5-0	PKP140	5	birra	birra	birra	NOUN	_
5-1	PKP140	5	birra	birra	birra	NOUN	_
5-2	PKP140	5	{onomatopea}	{onomatopea}	_	_	_
6-0	PKP136	6	partiamo	partiamo	partire	VERB	_
6-1	PKP136	6	giusto	giusto	giusto	ADJ	_
6-2	PKP136	6	subito	subito	subito	ADV	_
6-3	PKP136	6	co(n)	con	con	ADP	_
6-4	PKP136	6	la	la	il	DET	_
6-5	PKP136	6	birra	birra	birra	NOUN	_
7-0	PKP139	7	sì	sì	sì	ADV	_
8-0	PKP139	8	>oh	oh	oh	ADV	_
8-1	PKP139	8	dio<	dio	diare	VERB	_
8-2	PKP139	8	ma	ma	ma	CCONJ	_
8-3	PKP139	8	il	il	il	DET	_
8-4	PKP139	8	mio	mio	mio	DET	_
8-5	PKP139	8	bicchiere	bicchiere	bicchiere	NOUN	_
8-6	PKP139	8	è	è	essere	AUX	_
8-7	PKP139	8	tipo	tipo	tipo	NOUN	_
8-8	PKP139	8	sotto	sotto	sotto	ADV	_
8-9	PKP139	8	è	è	essere	AUX	_
8-10	PKP139	8	colorato	colorato	colorare	VERB	_
8-11	PKP139	8	belli~	belli~	belli~	PROPN	Interrupted=Yes
8-12	PKP139	8	ah	ah	ah	INTJ	_
8-13	PKP139	8	è	è	essere	AUX	_
8-14	PKP139	8	una	una	uno	DET	_
8-15	PKP139	8	mia	mia	mio	DET	_
8-16	PKP139	8	impressione	impressione	impressione	NOUN	_
9-0	PKP136	9	{ride}	{ride}	_	X	_
10-0	PKP136	10	s[ì	sì	sì	ADV	_
10-1	PKP136	10	sì	sì	sì	ADV	_
10-2	PKP136	10	non	non	non	ADV	_
10-3	PKP136	10	sei]	sei	essere	AUX	_
10-4	PKP136	10	così	così	così	ADV	_
10-5	PKP136	10	ubriaca	ubriaca	ubriaco	ADJ	_
11-0	PKP139	11	[thanks:]	thanks	thanks	NOUN	_
12-0	PKP139	12	non	non	non	ADV	_
