token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	PKP048	0	madonna	madonna	madonna	NOUN	_
0-1	PKP048	0	sto	sto	stare	AUX	_
0-2	PKP048	0	diventa~	diventa~	diventa~	PROPN	Interrupted=Yes
0-3	PKP048	0	sto	sto	stare	AUX	_
0-4	PKP048	0	diventando	diventando	diventare	VERB	_
0-5	PKP048	0	una	una	uno	DET	_
0-6	PKP048	0	lagna	lagna	lagna	NOUN	_
1-0	PKP040	1	no	no	no	INTJ	_
1-1	PKP040	1	no	no	no	ADV	_
1-2	PKP040	1	è	è	essere	AUX	_
2-0	PKP040	2	è	è	essere	AUX	_
2-1	PKP040	2	co[sì]	così	così	ADV	_
3-0	PKP048	3	[ah	ah	ah	INTJ	_
3-1	PKP048	3	vabbè]	vabbè	vabbere	VERB	_
3-2	PKP048	3	meno	meno	meno	ADV	_
3-3	PKP048	3	male	male	male	ADV	_
3-4	PKP048	3	son	son	essere	AUX	_
3-5	PKP048	3	contenta	contenta	contengere	VERB	_
3-6	PKP048	3	allora	allora	allora	ADV	_
4-0	PKP040	4	tieni	tieni	tenere	VERB	_
5-0	PKP040	5	papi	papi	papo	NOUN	_
5-1	PKP040	5	il	il	il	DET	_
5-2	PKP040	5	tuo	tuo	tuo	DET	_
5-3	PKP040	5	piatto	piatto	piatto	NOUN	_
6-0	PKP048	6	laura	laura	laura	ADV	_
6-1	PKP048	6	tu	tu	tu	PRON	_
6-2	PKP048	6	vuoi	vuoi	volere	VERB	_
6-3	PKP048	6	qua?	qua	qua	ADV	Intonation=rising
6-4	PKP048	6	prima	prima	prima	ADV	_
6-5	PKP048	6	che	che	che	SCONJ	_
6-6	PKP048	6	lo	lo	il	DET	_
6-7	PKP048	6	chiudo?	chiudo	chiudo	NOUN	Intonation=rising
7-0	PKP041	7	sì	sì	sì	ADV	_
8-0	PKP048	8	o	o	o	CCONJ	_
8-1	PKP048	8	pec[ori:no	pecorino	pecorino	ADV	_
8-2	PKP048	8	c'	c'	ci	PRON	SpaceAfter=No
8-3	PKP048	8	è	è	essere	VERB	_
8-4	PKP048	8	anche	anche	anche	ADV	_
8-5	PKP048	8	il	il	il	DET	_
8-6	PKP048	8	pecorino	pecorino	pecorino	NOUN	_
8-7	PKP048	8	eh]	eh	eh	ADJ	_
9-0	PKP040	9	[scusa	scusa	scusare	VERB	_
9-1	PKP040	9	che	che	che	SCONJ	_
9-2	PKP040	9	ti	ti	ti	PRON	_
9-3	PKP040	9	passo	passo	passare	VERB	_
9-4	PKP040	9	davanti]	davanti	davanti	ADV	_
10-0	PKP041	10	[no]	no	no	X	_
10-1	PKP041	10	no	no	no	X	_
10-2	PKP041	10	no	no	no	X	_
11-0	PKP048	11	certo	certo	certo	ADV	_
11-1	PKP048	11	che	che	che	SCONJ	_
11-2	PKP048	11	(d~	d~	d~	PROPN	Interrupted=Yes
11-3	PKP048	11	devo)	devo	dovere	AUX	_
11-4	PKP048	11	vedere	vedere	vedere	VERB	_
11-5	PKP048	11	quella	quella	quello	DET	_
11-6	PKP048	11	caciottina	caciottina	caciottina	NOUN	_
11-7	PKP048	11	che	che	che	PRON	_
11-8	PKP048	11	m'	m'	mi	PRON	SpaceAfter=No
11-9	PKP048	11	ha	ha	avere	AUX	_
11-10	PKP048	11	portato	portato	portato	VERB	_
11-11	PKP048	11	paolo	paolo	paolo	NOUN	_
11-12	PKP048	11	devo	devo	dovere	AUX	_
11-13	PKP048	11	ancora	ancora	ancora	ADV	_
11-14	PKP048	11	farla	farla	_	_	_
11-14a	_	_	_	far	fare	VERB	_
11-14b	_	_	_	la	la	PRON	_
12-0	PKP040	12	noi	noi	noi	PRON	_
12-1	PKP040	12	ce	ce	ce	PRON	_
12-2	PKP040	12	la	la	la	PRON	_
12-3	PKP040	12	siamo	siamo	essere	AUX	_
12-4	PKP040	12	mangia[ta]	mangiata	mangiare	VERB	_
13-0	PKP048	13	[l'	l'	il	PRON	SpaceAfter=No
13-1	PKP048	13	a]vete	avete	avere	AUX	_
13-2	PKP048	13	mangiata	mangiata	mangiare	VERB	_
13-3	PKP048	13	o	o	o	CCONJ	_
13-4	PKP048	13	grattugiata,	grattugiata	grattugiare	VERB	Intonation=weakly_rising
14-0	PKP040	14	abbiamo	abbiamo	avere	AUX	_
14-1	PKP040	14	iniziato	iniziato	iniziare	VERB	_
14-2	PKP040	14	a	a	a	ADP	_
14-3	PKP040	14	grattugia:rla	grattugiarla	_	_	_
14-3a	_	_	_	grattugiar	grattugiare	VERB	_
14-3b	_	_	_	la	la	PRON	_
14-4	PKP040	14	[poi]	poi	poi	ADV	_
14-5	PKP040	14	ce	ce	ce	PRON	_
14-6	PKP040	14	la	la	la	PRON	_
14-7	PKP040	14	siamo	siamo	essere	AUX	_
14-8	PKP040	14	mangia[ta]	mangiata	mangiare	VERB	_
15-0	PKP048	15	[eh]	eh	eh	INTJ	_
16-0	PKP048	16	[man]giata	mangiata	mangiare	VERB	_
16-1	PKP048	16	eh	eh	eh	INTJ	_
17-0	PKP048	17	buon	buon	buono	ADJ	_
17-1	PKP048	17	appetito	appetito	appetito	NOUN	_
18-0	PKP040	18	buon	buon	buono	ADJ	_
18-1	PKP040	18	appetito:	appetito	appetito	NOUN	_
19-0	PKP048	19	piatto	piatto	piatto	NOUN	_
19-1	PKP048	19	pulito	pulito	pulito	ADJ	_
20-0	PKP048	20	non	non	non	ADV	_
20-1	PKP048	20	so	so	sapere	VERB	_
20-2	PKP048	20	chi	chi	chi	PRON	_
20-3	PKP048	20	dice~	dice~	dice~	PROPN	Interrupted=Yes
20-4	PKP048	20	eh	eh	eh	INTJ	_
20-5	PKP048	20	questo	questo	questo	PRON	_
20-6	PKP048	20	di[cevi	dicevi	dicevere	VERB	_
20-7	PKP048	20	tu:]	tu	tu	PRON	_
21-0	PKP040	21	[la::	la	la	PRON	_
21-1	PKP040	21	no]	no	re	VERB	_
21-2	PKP040	21	la	la	il	DET	_
21-3	PKP040	21	[sua:]	sua	suo	DET	_
21-4	PKP040	21	maestra::	maestra	maestra	NOUN	_
21-5	PKP040	21	della	della	_	_	_
21-5a	_	_	_	di	di	ADP	_
21-5b	_	_	_	la	il	DET	_
21-6	PKP040	21	scuola	scuola	scuola	NOUN	_
21-7	PKP040	21	materna	materna	materno	ADJ	_
22-0	PKP041	22	[sì]	sì	sì	ADV	_
