token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BOR020	0	e:::	e	e	CCONJ	_
0-1	BOR020	0	{P}	{P}	_	_	_
0-2	BOR020	0	allora:	allora	allora	ADV	_
0-3	BOR020	0	ti	ti	ti	PRON	_
0-4	BOR020	0	volevo:	volevo	volere	AUX	_
0-5	BOR020	0	inizialmente	inizialmente	inizialmente	ADV	_
0-6	BOR020	0	chiedere::,	chiedere	chiedere	VERB	Intonation=weakly_rising
1-0	BOR020	1	(in)somma	insomma	insomma	ADV	_
1-1	BOR020	1	dove	dove	dove	ADV	_
1-2	BOR020	1	abiti,	abiti	abito	ADJ	Intonation=weakly_rising
1-3	BOR020	1	qual	qual	quale	PRON	_
1-4	BOR020	1	è	è	essere	AUX	_
1-5	BOR020	1	la	la	il	DET	_
1-6	BOR020	1	tua	tua	tuo	DET	_
1-7	BOR020	1	zona::	zona	zona	NOUN	_
1-8	BOR020	1	in	in	in	ADP	_
1-9	BOR020	1	città	città	città	NOUN	_
1-10	BOR020	1	{P}	{P}	_	_	_
1-11	BOR020	1	se	se	se	SCONJ	_
1-12	BOR020	1	vivi	vivi	vivare	VERB	_
1-13	BOR020	1	in	in	in	ADP	_
1-14	BOR020	1	città?	città	città	NOUN	Intonation=rising
2-0	BOI065	2	allora	allora	allora	ADV	_
2-1	BOI065	2	io	io	io	PRON	_
2-2	BOI065	2	vivo:	vivo	vivere	VERB	_
2-3	BOI065	2	fortunatamente	fortunatamente	fortunato	ADV	_
2-4	BOI065	2	vicino	vicino	vicino	ADV	_
2-5	BOI065	2	al:	al	_	_	_
2-5a	_	_	_	a	a	ADP	_
2-5b	_	_	_	il	il	DET	_
2-6	BOI065	2	centro	centro	centro	NOUN	_
2-7	BOI065	2	comunque	comunque	comunque	ADV	_
2-8	BOI065	2	non	non	non	ADV	_
2-9	BOI065	2	è	è	essere	AUX	_
2-10	BOI065	2	tanto	tanto	tanto	ADV	_
2-11	BOI065	2	distante,	distante	distare	ADJ	Intonation=weakly_rising
3-0	BOI065	3	abito	abito	abire	VERB	_
3-1	BOI065	3	in:	in	in	ADP	_
3-2	BOI065	3	@nomeluogo	@nomeluogo	@nomeluogo	NOUN	_
3-3	BOI065	3	nel:	nel	_	_	_
3-3a	_	_	_	in	in	ADP	_
3-3b	_	_	_	il	il	DET	_
3-4	BOI065	3	quartiere	quartiere	quartiere	NOUN	_
3-5	BOI065	3	santo	santo	santo	ADJ	_
3-6	BOI065	3	stefano	stefano	stefano	ADJ	_
3-7	BOI065	3	vicino	vicino	vicino	ADV	_
3-8	BOI065	3	alla:	alla	_	_	_
3-8a	_	_	_	a	a	ADP	_
3-8b	_	_	_	la	il	DET	_
3-9	BOI065	3	lunetta	lunetta	lunetta	NOUN	_
3-10	BOI065	3	gamberini	gamberini	gamberino	ADJ	_
4-0	BOR020	4	bello:	bello	bello	ADJ	_
4-1	BOR020	4	{P}	{P}	_	_	_
4-2	BOR020	4	bello	bello	bello	NOUN	_
4-3	BOR020	4	il	il	il	DET	_
4-4	BOR020	4	lunetta	lunetta	lunetto	ADJ	_
4-5	BOR020	4	gamberini	gamberini	gamberine	NOUN	_
4-6	BOR020	4	è	è	essere	AUX	_
4-7	BOR020	4	un	un	uno	DET	_
4-8	BOR020	4	bel	bel	bello	ADJ	_
4-9	BOR020	4	parco	parco	parco	NOUN	_
5-0	BOR020	5	e::	e	e	CCONJ	_
5-1	BOR020	5	{P}	{P}	_	_	_
5-2	BOR020	5	hai	hai	avere	AUX	_
5-3	BOR020	5	avuto:	avuto	avire	VERB	_
5-4	BOR020	5	non	non	non	ADV	_
5-5	BOR020	5	lo	lo	lo	PRON	_
5-6	BOR020	5	so	so	sapere	VERB	_
5-7	BOR020	5	>hai	hai	avere	AUX	_
5-8	BOR020	5	avuto<	avuto	avere	VERB	_
6-0	BOR020	6	opportunità	opportunità	opportunità	NOUN	_
6-1	BOR020	6	di::	di	di	ADP	_
7-0	BOR020	7	GIOCARE	giocare	giocare	VERB	Volume=high
7-1	BOR020	7	quando	quando	quando	SCONJ	_
7-2	BOR020	7	eri	eri	erare	VERB	_
7-3	BOR020	7	piccola	piccola	piccola	ADJ	_
7-4	BOR020	7	maga[ri]?	magari	magari	ADV	Intonation=rising
8-0	BOI065	8	[sì]	sì	sì	ADV	_
8-1	BOI065	8	sì	sì	sì	ADV	_
8-2	BOI065	8	soprattutto	soprattutto	soprattutto	ADV	_
8-3	BOI065	8	perché::	perché	perché	SCONJ	_
8-4	BOI065	8	m:h	mh	mh	INTJ	_
8-5	BOI065	8	dentro	dentro	dentro	ADV	_
8-6	BOI065	8	ci	ci	ci	PRON	_
8-7	BOI065	8	sono	sono	essere	VERB	_
8-8	BOI065	8	diverse	diverse	diverso	DET	_
8-9	BOI065	8	scuole	scuole	scuola	NOUN	_
8-10	BOI065	8	{P}	{P}	_	_	_
8-11	BOI065	8	e	e	e	CCONJ	_
8-12	BOI065	8	io	io	io	PRON	_
8-13	BOI065	8	ho	ho	avere	AUX	_
8-14	BOI065	8	fatto	fatto	figere	VERB	_
8-15	BOI065	8	sia	sia	essere	AUX	_
8-16	BOI065	8	le	le	il	DET	_
8-17	BOI065	8	materne	materne	materna	NOUN	_
8-18	BOI065	8	lì	lì	lì	ADV	_
8-19	BOI065	8	dentro,	dentro	dentro	ADP	Intonation=weakly_rising
9-0	BOI065	9	che	che	che	SCONJ	_
9-1	BOI065	9	{P}	{P}	_	_	_
9-2	BOI065	9	anche:	anche	anche	ADV	_
9-3	BOI065	9	le:	le	il	DET	_
9-4	BOI065	9	medie	medie	media	NOUN	_
10-0	BOI065	10	e	e	e	CCONJ	_
10-1	BOI065	10	quindi::	quindi	quindi	ADV	_
10-2	BOI065	10	anche	anche	anche	ADV	_
10-3	BOI065	10	magari	magari	magari	ADV	_
10-4	BOI065	10	quando:	quando	quando	SCONJ	_
10-5	BOI065	10	non	non	non	ADV	_
10-6	BOI065	10	andavamo	andavamo	andare	VERB	_
10-7	BOI065	10	a	a	a	ADP	_
10-8	BOI065	10	scuola	scuola	scuola	NOUN	_
10-9	BOI065	10	o	o	o	CCONJ	_
10-10	BOI065	10	altro	altro	altro	PRON	_
10-11	BOI065	10	io	io	io	PRON	_
10-12	BOI065	10	e	e	e	CCONJ	_
10-13	BOI065	10	i	i	il	DET	_
10-14	BOI065	10	miei	miei	mio	DET	_
10-15	BOI065	10	amici	amici	amico	NOUN	_
10-16	BOI065	10	ci:	ci	ci	PRON	_
10-17	BOI065	10	ritrovavamo	ritrovavamo	ritrovare	VERB	_
10-18	BOI065	10	sempre	sempre	sempre	ADV	_
10-19	BOI065	10	a	a	a	ADP	_
10-20	BOI065	10	giocare	giocare	giocare	VERB	_
11-0	BOI065	11	alla	alla	_	_	_
11-0a	_	_	_	a	a	ADP	_
11-0b	_	_	_	la	il	DET	_
11-1	BOI065	11	lunetta	lunetta	lunetta	NOUN	_
12-0	BOR020	12	e::	e	e	CCONJ	_
12-1	BOR020	12	riuscivi	riuscivi	riuscivare	VERB	_
12-2	BOR020	12	anche	anche	anche	ADV	_
12-3	BOR020	12	magari	magari	magari	ADV	_
12-4	BOR020	12	senza	senza	senza	ADP	_
12-5	BOR020	12	i	i	il	DET	_
12-6	BOR020	12	genitori::	genitori	genitore	NOUN	_
12-7	BOR020	12	o::	o	o	CCONJ	_
13-0	BOR020	13	avevi	avevi	avevere	VERB	_
13-1	BOR020	13	sempre	sempre	sempre	ADV	_
13-2	BOR020	13	bisogno	bisogno	bisogno	NOUN	_
13-3	BOR020	13	del	del	_	_	_
13-3a	_	_	_	di	di	ADP	_
13-3b	_	_	_	il	il	DET	_
14-0	BOI065	14	no:	no	no	ADV	_
14-1	BOI065	14	all'	all'	_	_	SpaceAfter=No
14-1a	_	_	_	a	a	ADP	_
14-1b	_	_	_	l'	il	DET	_
14-2	BOI065	14	inizio	inizio	inizio	NOUN	_
14-3	BOI065	14	c'	c'	ci	PRON	SpaceAfter=No
14-4	BOI065	14	erano	erano	essere	VERB	_
14-5	BOI065	14	i	i	il	DET	_
14-6	BOI065	14	nonni	nonni	nonno	NOUN	_
14-7	BOI065	14	che::	che	che	PRON	_
14-8	BOI065	14	abitando:	abitando	abitare	VERB	_
14-9	BOI065	14	proprio:	proprio	proprio	ADV	_
14-10	BOI065	14	vicino	vicino	vicino	ADV	_
14-11	BOI065	14	a	a	a	ADP	_
14-12	BOI065	14	noi	noi	noi	PRON	_
14-13	BOI065	14	davanti	davanti	davanti	ADV	_
14-14	BOI065	14	a	a	a	ADP	_
14-15	BOI065	14	noi,	noi	noi	PRON	Intonation=weakly_rising
15-0	BOI065	15	mi::	mi	mi	PRON	_
15-1	BOI065	15	portavano	portavano	portare	VERB	_
15-2	BOI065	15	sempre	sempre	sempre	ADV	_
15-3	BOI065	15	a:	a	a	ADP	_
15-4	BOI065	15	giocare	giocare	giocare	VERB	_
15-5	BOI065	15	al	al	_	_	_
15-5a	_	_	_	a	a	ADP	_
15-5b	_	_	_	il	il	DET	_
15-6	BOI065	15	parco:	parco	parco	NOUN	_
15-7	BOI065	15	anche	anche	anche	ADV	_
15-8	BOI065	15	perché	perché	perché	SCONJ	_
15-9	BOI065	15	non	non	non	ADV	_
15-10	BOI065	15	essendo	essendo	essere	AUX	_
15-11	BOI065	15	tanto	tanto	tanto	ADV	_
15-12	BOI065	15	distante	distante	distare	ADJ	_
16-0	BOI065	16	per	per	per	ADP	_
16-1	BOI065	16	loro	loro	loro	PRON	_
16-2	BOI065	16	non	non	non	ADV	_
16-3	BOI065	16	era	era	essere	AUX	_
16-4	BOI065	16	un	un	uno	DET	_
16-5	BOI065	16	grande	grande	grande	ADJ	_
