token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BOR005	0	okay	okay	okay	NOUN	_
0-1	BOR005	0	{P}	{P}	_	_	_
0-2	BOR005	0	intanto	intanto	intanto	ADV	_
0-3	BOR005	0	facciamo	facciamo	fare	VERB	_
0-4	BOR005	0	alcune	alcune	alcuno	DET	_
0-5	BOR005	0	domande	domande	domanda	NOUN	_
0-6	BOR005	0	un	un	uno	DET	_
0-7	BOR005	0	po'	po'	poco	ADV	_
0-8	BOR005	0	su:	su	su	ADV	_
0-9	BOR005	0	{P}	{P}	_	_	_
0-10	BOR005	0	su	su	su	ADP	_
0-11	BOR005	0	proprio	proprio	proprio	ADV	_
0-12	BOR005	0	sulla	sulla	_	_	_
0-12a	_	_	_	su	su	ADP	_
0-12b	_	_	_	la	il	DET	_
0-13	BOR005	0	città	città	città	NOUN	_
0-14	BOR005	0	di	di	di	ADP	_
0-15	BOR005	0	bologna	bologna	bologna	NOUN	_
0-16	BOR005	0	e	e	e	CCONJ	_
0-17	BOR005	0	quindi	quindi	quindi	ADV	_
0-18	BOR005	0	inizio:	inizio	inizio	NOUN	_
0-19	BOR005	0	chiedendoti:	chiedendoti	_	_	_
0-19a	_	_	_	chiedendo	chiedere	VERB	_
0-19b	_	_	_	ti	ti	PRON	_
0-20	BOR005	0	in	in	in	ADP	_
0-21	BOR005	0	che	che	che	DET	_
0-22	BOR005	0	quartiere	quartiere	quartiere	NOUN	_
0-23	BOR005	0	di	di	di	ADP	_
0-24	BOR005	0	bologna	bologna	bologna	NOUN	_
0-25	BOR005	0	vivi?	vivi	vivo	ADJ	Intonation=rising
1-0	BOI040	1	e:h	eh	eh	INTJ	_
1-1	BOI040	1	quartiere	quartiere	quartiere	NOUN	_
1-2	BOI040	1	navile	navile	navile	ADJ	_
2-0	BOR005	2	ah	ah	ah	INTJ	_
2-1	BOR005	2	{P}	{P}	_	_	_
2-2	BOR005	2	okay	okay	okay	NOUN	_
2-3	BOR005	2	navile	navile	navile	ADJ	_
2-4	BOR005	2	oppure	oppure	oppure	CCONJ	_
2-5	BOR005	2	bolognina?	bolognina	bologninare	VERB	Intonation=rising
2-6	BOR005	2	perché	perché	perché	SCONJ	_
2-7	BOR005	2	so	so	sapere	VERB	_
2-8	BOR005	2	che	che	che	SCONJ	_
2-9	BOR005	2	qualcuno	qualcuno	qualcuno	PRON	_
2-10	BOR005	2	dice	dice	dire	VERB	_
2-11	BOR005	2	navile:	navile	navile	ADJ	_
2-12	BOR005	2	qualcuno	qualcuno	qualcuno	PRON	_
2-13	BOR005	2	bologni[na:]	bolognina	bologninare	VERB	_
3-0	BOI040	3	[navile]	navile	navile	ADJ	_
3-1	BOI040	3	è	è	essere	AUX	_
3-2	BOI040	3	il	il	il	DET	_
3-3	BOI040	3	macro	macro	macro	ADJ	_
3-4	BOI040	3	quartiere	quartiere	quartiere	NOUN	_
4-0	BOR005	4	mhmh	mhmh	mhmh	NOUN	_
5-0	BOI040	5	mh	mh	mh	NOUN	_
5-1	BOI040	5	bolognina	bolognina	bolognina	NOUN	_
5-2	BOI040	5	è	è	essere	AUX	_
5-3	BOI040	5	uno	uno	uno	PRON	_
5-4	BOI040	5	dei	dei	_	_	_
5-4a	_	_	_	di	di	ADP	_
5-4b	_	_	_	i	il	DET	_
5-5	BOI040	5	tre	tre	tre	NUM	_
5-6	BOI040	5	quartie[ri:	quartieri	quartiere	NOUN	_
5-7	BOI040	5	di	di	di	ADP	_
5-8	BOI040	5	u]na	una	uno	DET	_
5-9	BOI040	5	volta	volta	volta	NOUN	_
5-10	BOI040	5	che	che	che	PRON	_
5-11	BOI040	5	formano	formano	formare	VERB	_
5-12	BOI040	5	adesso	adesso	adesso	ADV	_
5-13	BOI040	5	il	il	il	DET	_
5-14	BOI040	5	macro[quartiere]	macroquartiere	macroquartiere	NOUN	_
5-15	BOI040	5	>comunque	comunque	comunque	DET	_
5-16	BOI040	5	bolognina	bolognina	bolognina	NOUN	_
5-17	BOI040	5	si<	si	si	PRON	_
6-0	BOR005	6	[mhmh]	mhmh	mhmh	NOUN	_
7-0	BOR005	7	[mhmh]	mhmh	mhmh	NOUN	_
8-0	BOR005	8	ah	ah	ah	INTJ	_
8-1	BOR005	8	okay	okay	okay	NOUN	_
8-2	BOR005	8	e	e	e	CCONJ	_
8-3	BOR005	8	come:	come	come	SCONJ	_
8-4	BOR005	8	si	si	si	PRON	_
8-5	BOR005	8	trova	trova	trovare	VERB	_
8-6	BOR005	8	in	in	in	ADP	_
8-7	BOR005	8	questa	questa	questo	DET	_
8-8	BOR005	8	zona?	zona	zona	NOUN	Intonation=rising
8-9	BOR005	8	>anzi	anzi	anzi	ADV	_
8-10	BOR005	8	come	come	come	SCONJ	_
8-11	BOR005	8	ti	ti	ti	PRON	_
8-12	BOR005	8	trovi<	trovi	trovare	VERB	_
8-13	BOR005	8	abbiamo	abbiamo	avere	AUX	_
8-14	BOR005	8	detto	detto	dire	VERB	_
8-15	BOR005	8	che	che	che	SCONJ	_
8-16	BOR005	8	ci	ci	ci	PRON	_
8-17	BOR005	8	diamo	diamo	dire	VERB	_
8-18	BOR005	8	del	del	_	_	_
8-18a	_	_	_	di	di	ADP	_
8-18b	_	_	_	il	il	DET	_
8-19	BOR005	8	[tu]	tu	tu	PRON	_
9-0	BOI040	9	{ride}	{ride}	_	_	_
9-1	BOI040	9	[sì]	sì	sì	ADV	_
9-2	BOI040	9	sì	sì	sì	ADV	_
10-0	BOI040	10	e:h	eh	eh	NOUN	_
10-1	BOI040	10	come	come	come	ADP	_
10-2	BOI040	10	posizione	posizione	posizione	NOUN	_
10-3	BOI040	10	per	per	per	ADP	_
10-4	BOI040	10	il	il	il	DET	_
10-5	BOI040	10	lavoro	lavoro	lavoro	NOUN	_
10-6	BOI040	10	e	e	e	CCONJ	_
10-7	BOI040	10	per	per	per	ADP	_
10-8	BOI040	10	i	i	il	DET	_
10-9	BOI040	10	servizi	servizi	servizio	NOUN	_
10-10	BOI040	10	è	è	essere	AUX	_
10-11	BOI040	10	ottima	ottima	ottimo	ADJ	_
10-12	BOI040	10	{P}	{P}	_	_	_
10-13	BOI040	10	certo	certo	certo	ADV	_
10-14	BOI040	10	che:	che	che	SCONJ	_
10-15	BOI040	10	ci	ci	ci	PRON	_
