token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR001	0	xxx	x	decimo	ADJ	_
0-1	TOR001	0	{P}	{P}	_	_	_
0-2	TOR001	0	okay	okay	okay	NOUN	_
1-0	TOR001	1	beh	beh	beh	ADV	_
1-1	TOR001	1	mi	mi	mi	PRON	_
1-2	TOR001	1	sembra	sembra	sembrare	VERB	_
1-3	TOR001	1	già	già	già	ADV	_
1-4	TOR001	1	un	un	uno	DET	_
1-5	TOR001	1	buon	buon	buono	ADJ	_
1-6	TOR001	1	punto	punto	punto	NOUN	_
1-7	TOR001	1	di	di	di	ADP	_
1-8	TOR001	1	partenza	partenza	partenza	NOUN	_
1-9	TOR001	1	in[somm]a	insomma	insomma	ADV	_
2-0	TOI073	2	[sì]	sì	sì	ADV	_
3-0	TOR001	3	{ride}	{ride}	_	X	_
4-0	TOI073	4	no.	no	no	ADV	Intonation=falling
4-1	TOI073	4	{P}	{P}	_	_	_
4-2	TOI073	4	diciamo	diciamo	dire	VERB	_
4-3	TOI073	4	la	la	la	DET	_
4-4	TOI073	4	{P}	{P}	_	_	_
4-5	TOI073	4	la	la	il	DET	_
4-6	TOI073	4	quotidinità	quotidinità	quotidinità	NOUN	_
4-7	TOI073	4	la:	la	il	DET	_
5-0	TOI073	5	la	la	la	PRON	_
5-1	TOI073	5	risolvevamo	risolvevamo	risolvere	VERB	_
5-2	TOI073	5	facilemente	facilemente	facilemente	ADV	_
6-0	TOR001	6	grazie	grazie	grazie	NOUN	_
7-0	TOI073	7	ma	ma	ma	CCONJ	_
7-1	TOI073	7	se	se	se	SCONJ	_
7-2	TOI073	7	mi	mi	mi	PRON	_
7-3	TOI073	7	xxx	x	x	SYM	_
7-4	TOI073	7	{P}	{P}	_	_	_
7-5	TOI073	7	no.	no	no	ADV	Intonation=falling
7-6	TOI073	7	{ride}	{ride}	_	_	_
8-0	TOR001	8	{ride}	{ride}	_	X	_
9-0	TOI072	9	a:h	ah	ah	INTJ	_
10-0	TOR001	10	allora	allora	allora	ADV	_
11-0	TOR001	11	quindi	quindi	quindi	ADV	_
11-1	TOR001	11	<martina>	martina	martina	NOUN	_
11-2	TOR001	11	{P}	{P}	_	_	_
11-3	TOR001	11	[giusto]?	giusto	giusto	ADJ	Intonation=rising
12-0	TOI072	12	[sì].	sì	sì	ADV	Intonation=falling
13-0	TOR001	13	e:	e	e	CCONJ	_
13-1	TOR001	13	rossana,	rossana	rossano	ADJ	Intonation=weakly_rising
13-2	TOR001	13	{P}	{P}	_	_	_
13-3	TOR001	13	okay	okay	okay	NOUN	_
13-4	TOR001	13	io	io	io	PRON	_
13-5	TOR001	13	mi	mi	mi	PRON	_
13-6	TOR001	13	chiamo	chiamo	chare	VERB	_
13-7	TOR001	13	lidia	lidia	lidia	NOUN	_
13-8	TOR001	13	scusate	scusate	scusato	ADJ	_
13-9	TOR001	13	non	non	non	ADV	_
13-10	TOR001	13	mi	mi	mi	PRON	_
13-11	TOR001	13	son	son	essere	AUX	_
13-12	TOR001	13	neanche	neanche	neanche	ADV	_
13-13	TOR001	13	presentata	presentata	presentare	VERB	_
13-14	TOR001	13	perché	perché	perché	SCONJ	_
13-15	TOR001	13	abbiamo	abbiamo	avere	AUX	_
13-16	TOR001	13	trasferito	trasferito	trasferire	VERB	_
13-17	TOR001	13	[subito	subito	subito	ADV	_
13-18	TOR001	13	tu]tto	tutto	tutto	PRON	_
14-0	TOI073	14	[sì	sì	sì	ADV	_
14-1	TOI073	14	eh]	eh	eh	INTJ	_
15-0	TOI072	15	sei	sei	sei	NUM	_
16-0	TOI072	16	{ride}	{ride}	_	X	_
17-0	TOR001	17	con	con	con	ADP	_
17-1	TOR001	17	calma	calma	calma	NOUN	_
17-2	TOR001	17	con	con	con	ADP	_
17-3	TOR001	17	calma	calma	calma	NOUN	_
17-4	TOR001	17	xxx	x	x	SYM	_
17-5	TOR001	17	dopo	dopo	dopo	ADP	_
18-0	TOR001	18	voi	voi	voi	PRON	_
18-1	TOR001	18	siete	siete	essere	AUX	_
18-2	TOR001	18	entrambe	entrambe	entrambere	VERB	_
18-3	TOR001	18	di	di	di	ADP	_
18-4	TOR001	18	torino?	torino	torino	NOUN	Intonation=rising
19-0	TOI073	19	io	io	io	PRON	_
