token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,BO039,0,0,1,"°salve,°",salve,salve,INTJ,
1-0,BO026,1,1,1,abbiamo:,abbiamo,avere,AUX,
1-1,BO026,1,1,2,concluso,concluso,concludere,VERB,
1-2,BO026,1,1,3,con,con,con,ADP,
1-3,BO026,1,1,4,"voi,",voi,voi,PRON,
1-4,BO026,1,1,5,vero?,vero,vero,ADJ,
2-0,BO039,2,2,1,e::h,eh,eh,INTJ,
2-1,BO039,2,2,2,no.,no,no,ADV,
3-0,BO039,3,3,1,ci,ci,ci,PRON,
3-1,BO039,3,3,2,[so]no,sono,essere,AUX,
3-2,BO039,3,3,3,altr[e::],altre,altro,PRON,
4-0,BO038,4,4,1,[no].,no,no,ADV,
5-0,BO038,5,5,1,[e::h,eh,eh,INTJ,
5-1,BO038,5,5,2,credo,credo,credere,VERB,
5-2,BO038,5,5,3,c]he,che,che,SCONJ,
5-3,BO038,5,5,4,siano,siano,essere,AUX,
5-4,BO038,5,5,5,altre,altre,altro,ADJ,
5-5,BO038,5,5,6,quattro,quattro,quattro,NUM,
5-6,BO038,5,5,7,di,di,di,ADP,
5-7,BO038,5,5,8,(conversazione).,conversazione,conversazione,NOUN,
5-8,BO038,5,5,9,non,non,non,ADV,
5-9,BO038,5,5,10,so,so,sapere,VERB,
5-10,BO038,5,5,11,per[ò:],però,però,CCONJ,
6-0,BO026,6,6,1,[due]?,due,due,NUM,
7-0,BO039,7,7,1,[sì].,sì,sì,ADV,
8-0,BO038,8,8,1,l',l',il,DET,
8-1,BO038,8,8,2,urgenza.,urgenza,urgenza,NOUN,
9-0,BO039,9,9,1,possiam[o]?,possiamo,potere,VERB,
10-0,BO026,10,10,1,[pr]ego.,prego,prego,INTJ,
10-1,BO026,10,10,2,sì.,sì,sì,ADV,
11-0,BO039,11,11,1,e::h,eh,eh,INTJ,
11-1,BO039,11,11,2,noi,noi,noi,PRON,
11-2,BO039,11,11,3,siamo:,siamo,essere,VERB,
11-3,BO039,11,11,4,qui,qui,qui,ADV,
11-4,BO039,11,11,5,per,per,per,ADP,
11-5,BO039,11,11,6,il,il,il,DET,
11-6,BO039,11,11,7,learning,learning,learning,NOUN,
11-7,BO039,11,11,8,agreement,agreement,agreement,NOUN,
11-8,BO039,11,11,9,per,per,per,ADP,
11-9,BO039,11,11,10,copenaghen.,copenaghen,Copenaghen,PROPN,
12-0,BO026,12,12,1,mh,mh,mh,INTJ,
12-1,BO026,12,12,2,mh.,mh,mh,INTJ,
13-0,BO026,13,13,1,voi,voi,voi,PRON,
13-1,BO026,13,13,2,avete,avete,avere,AUX,
13-2,BO026,13,13,3,fatto::,fatto,fare,VERB,
13-3,BO026,13,13,4,la::,la,il,DET,
13-4,BO026,13,13,5,{P},{P},_,_,
13-5,BO026,13,13,6,domanda?,domanda,domanda,NOUN,
