token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BO049	0	okay	okay	okay	NOUN	_
0-1	BO049	0	ora	ora	ora	ADV	_
0-2	BO049	0	sta	sta	stare	AUX	_
0-3	BO049	0	registrando	registrando	registrare	VERB	_
1-0	BO049	1	allora	allora	allora	ADV	_
1-1	BO049	1	ciao	ciao	ciao	NOUN	_
2-0	BO052	2	cia[o]	ciao	ciao	NOUN	_
3-0	BO049	3	[co]me	come	come	SCONJ	_
3-1	BO049	3	ti	ti	ti	PRON	_
3-2	BO049	3	chiami?	chiami	chiamare	VERB	Intonation=rising
4-0	BO052	4	mi	mi	mi	PRON	_
4-1	BO052	4	chiamo	chiamo	chare	VERB	_
4-2	BO052	4	roberto	roberto	roberto	ADJ	_
5-0	BO049	5	come	come	come	SCONJ	_
5-1	BO049	5	stai?	stai	stare	VERB	Intonation=rising
6-0	BO052	6	bene.	bene	bene	ADV	Intonation=falling
7-0	BO052	7	grazie.	grazie	grazie	NOUN	Intonation=falling
8-0	BO049	8	bene	bene	bene	ADV	_
8-1	BO049	8	allora	allora	allora	ADV	_
8-2	BO049	8	inizierò	inizierò	inizierare	VERB	_
8-3	BO049	8	con	con	con	ADP	_
8-4	BO049	8	alcune	alcune	alcuno	DET	_
8-5	BO049	8	domande	domande	domanda	NOUN	_
9-0	BO049	9	ti	ti	ti	PRON	_
9-1	BO049	9	vorrei	vorrei	volere	AUX	_
9-2	BO049	9	chiedere	chiedere	chiedere	VERB	_
9-3	BO049	9	intanto	intanto	intanto	ADV	_
9-4	BO049	9	dove	dove	dove	ADV	_
9-5	BO049	9	vivi,	vivi	vivo	ADJ	Intonation=weakly_rising
9-6	BO049	9	{P}	{P}	_	_	_
9-7	BO049	9	in	in	in	ADP	_
9-8	BO049	9	che	che	che	DET	_
9-9	BO049	9	città	città	città	NOUN	_
9-10	BO049	9	vivi:,	vivi	vivare	VERB	Intonation=weakly_rising
9-11	BO049	9	cosa	cosa	cosa	PRON	_
9-12	BO049	9	fai::,	fai	fare	VERB	Intonation=weakly_rising
10-0	BO049	10	parlami	parlami	parlama	NOUN	_
10-1	BO049	10	pure	pure	pure	ADV	_
10-2	BO049	10	di::	di	di	ADP	_
10-3	BO049	10	di	di	di	ADP	_
10-4	BO049	10	dove	dove	dove	ADV	_
10-5	BO049	10	vivi	vivi	vivo	ADJ	_
11-0	BO052	11	okay	okay	okay	NOUN	_
11-1	BO052	11	{P}	{P}	_	_	_
11-2	BO052	11	allora	allora	allora	ADV	_
11-3	BO052	11	{P}	{P}	_	_	_
11-4	BO052	11	abito	abito	abire	VERB	_
11-5	BO052	11	a	a	a	ADP	_
11-6	BO052	11	@nomepaese,	@nomepaese,	_	_	_
11-6a	_	_	_	@nomepaese	@nomepaese	NOUN	_
11-6b	_	_	_	,	,	PUNCT	_
12-0	BO049	12	okay	okay	okay	NOUN	_
13-0	BO052	13	in	in	in	ADP	_
13-1	BO052	13	una:::	una	uno	PRON	_
13-2	BO052	13	in	in	in	ADP	_
13-3	BO052	13	una	una	uno	DET	_
13-4	BO052	13	casa	casa	casa	NOUN	_
13-5	BO052	13	a	a	a	ADP	_
13-6	BO052	13	due	due	due	NUM	_
13-7	BO052	13	piani,	piani	piano	NOUN	Intonation=weakly_rising
14-0	BO052	14	sopra	sopra	sopra	ADV	_
14-1	BO052	14	abito	abito	abitare	VERB	_
14-2	BO052	14	io,	io	io	PRON	Intonation=weakly_rising
14-3	BO052	14	{P}	{P}	_	_	_
14-4	BO052	14	con	con	con	ADP	_
14-5	BO052	14	la	la	il	DET	_
14-6	BO052	14	mia	mia	mio	DET	_
14-7	BO052	14	famiglia,	famiglia	famiglia	NOUN	Intonation=weakly_rising
14-8	BO052	14	e	e	e	CCONJ	_
14-9	BO052	14	sotto	sotto	sotto	ADV	_
14-10	BO052	14	abita	abita	abitare	VERB	_
14-11	BO052	14	mia	mia	mio	DET	_
14-12	BO052	14	zia.	zia	zia	NOUN	Intonation=falling
15-0	BO049	15	okay	okay	okay	NOUN	_
16-0	BO052	16	e::	e	e	CCONJ	ProsodicLink=Yes
16-1	BO052	16	mh	mh	mh	INTJ	_
17-0	BO049	17	è	è	essere	AUX	_
17-1	BO049	17	una	una	uno	DET	_
17-2	BO049	17	casa	casa	casa	NOUN	_
17-3	BO049	17	grande::[o:]	grandeo	grandeo	ADJ	_
18-0	BO052	18	[sì]	sì	sì	ADV	_
18-1	BO052	18	è	è	essere	AUX	_
18-2	BO052	18	una	una	uno	DET	_
18-3	BO052	18	casa	casa	casa	NOUN	_
18-4	BO052	18	abbastanza	abbastanza	abbastanza	ADV	_
18-5	BO052	18	grande,	grande	grande	ADJ	Intonation=weakly_rising
19-0	BO049	19	ma	ma	ma	CCONJ	_
19-1	BO049	19	è	è	essere	AUX	_
19-2	BO049	19	tipo	tipo	tipo	NOUN	_
19-3	BO049	19	un	un	uno	DET	_
19-4	BO049	19	condominio	condominio	condominio	NOUN	_
19-5	BO049	19	oppure	oppure	oppure	CCONJ	_
19-6	BO049	19	una	una	uno	DET	_
19-7	BO049	19	villetta:	villetta	villetta	NOUN	_
19-8	BO049	19	che	che	che	PRON	_
19-9	BO049	19	tipo	tipo	tipo	NOUN	_
19-10	BO049	19	[di	di	di	ADP	_
19-11	BO049	19	casa:]	casa	casa	NOUN	_
20-0	BO052	20	[mmh:]	mmh	mmh	INTJ	_
20-1	BO052	20	no	no	no	ADV	_
20-2	BO052	20	siamo	siamo	essere	AUX	_
20-3	BO052	20	io	io	io	PRON	_
20-4	BO052	20	e	e	e	CCONJ	_
20-5	BO052	20	mia	mia	mio	DET	_
20-6	BO052	20	zia	zia	zia	NOUN	_
21-0	BO049	21	okay.	okay	okay	NOUN	Intonation=falling
21-1	BO049	21	{P}	{P}	_	_	_
21-2	BO049	21	quindi	quindi	quindi	ADV	_
21-3	BO049	21	sono	sono	essere	AUX	_
21-4	BO049	21	due	due	due	NUM	_
21-5	BO049	21	appartamenti	appartamenti	appartamento	NOUN	_
22-0	BO052	22	[si::mh]	simh	simh	ADV	_
22-1	BO052	22	diciamo	diciamo	dire	VERB	_
22-2	BO052	22	intorno	intorno	intorno	ADV	_
22-3	BO052	22	agli	agli	_	_	_
22-3a	_	_	_	a	a	ADP	_
22-3b	_	_	_	gli	il	DET	_
22-4	BO052	22	ottanta	ottanta	ottanta	NUM	_
22-5	BO052	22	metri	metri	metro	NOUN	_
22-6	BO052	22	quadrati	quadrati	quadrato	ADJ	_
22-7	BO052	22	{P}	{P}	_	_	_
22-8	BO052	22	per	per	per	ADP	_
22-9	BO052	22	essere	essere	essere	AUX	_
22-10	BO052	22	precisi	precisi	preciso	ADJ	_
23-0	BO049	23	la	la	il	DET	_
23-1	BO049	23	tua	tua	tuo	DET	_
23-2	BO049	23	famiglia	famiglia	famiglia	NOUN	_
23-3	BO049	23	è	è	essere	AUX	_
23-4	BO049	23	grande,	grande	grande	ADJ	Intonation=weakly_rising
23-5	BO049	23	è	è	essere	AUX	_
