token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR005	0	avvi:o	avvio	avvio	NOUN	_
1-0	TOR005	1	okay	okay	okay	NOUN	_
2-0	TOR005	2	ehm:	ehm	ehm	NOUN	_
3-0	TOR005	3	signora	signora	signore	NOUN	_
3-1	TOR005	3	margherita	margherita	margherito	ADJ	_
3-2	TOR005	3	erica	erica	erico	ADJ	_
4-0	TOI024	4	[sì	sì	sì	ADV	_
4-1	TOI024	4	]{P}	{P}	_	_	_
4-2	TOI024	4	io::	io	io	PRON	_
4-3	TOI024	4	mi	mi	mi	PRON	_
4-4	TOI024	4	chiamo	chiamo	chare	VERB	_
4-5	TOI024	4	margherita	margherita	margherita	NOUN	_
4-6	TOI024	4	erica.	erica	erico	ADJ	Intonation=falling
5-0	TOR005	5	[giusto]?	giusto	giusto	ADJ	Intonation=rising
6-0	TOR005	6	mi	mi	mi	PRON	_
6-1	TOR005	6	mi	mi	mi	PRON	_
6-2	TOR005	6	ripete	ripete	ripetere	VERB	_
6-3	TOR005	6	[il	il	il	DET	_
6-4	TOR005	6	cognome]?	cognome	cognome	NOUN	Intonation=rising
7-0	TOI024	7	[dopo	dopo	dopo	ADV	_
7-1	TOI024	7	all'	all'	_	_	SpaceAfter=No
7-1a	_	_	_	a	a	ADP	_
7-1b	_	_	_	l'	il	DET	_
7-2	TOI024	7	anagra]fe	anagrafe	anagrafe	NOUN	_
8-0	TOI024	8	bianchi	bianchi	bianco	ADJ	_
9-0	TOR005	9	bianchi	bianchi	bianco	ADJ	_
10-0	TOI024	10	{porzione_rimossa_per_motivi_di_privacy}	{porzione_rimossa_per_motivi_di_privacy}	_	X	_
11-0	TOR005	11	[o]kay	okay	okay	NOUN	_
12-0	TOI024	12	e	e	e	CCONJ	_
12-1	TOI024	12	devo	devo	dovere	AUX	_
12-2	TOI024	12	proprio	proprio	proprio	ADV	_
12-3	TOI024	12	firmare	firmare	firmare	VERB	_
12-4	TOI024	12	così	così	così	ADV	_
12-5	TOI024	12	perché::	perché	perché	SCONJ	_
13-0	TOI024	13	all'	all'	_	_	SpaceAfter=No
13-0a	_	_	_	a	a	ADP	_
13-0b	_	_	_	l'	il	DET	_
13-1	TOI024	13	anagrafe	anagrafe	anagrafe	NOUN	_
13-2	TOI024	13	è	è	essere	AUX	_
13-3	TOI024	13	scritto	scritto	scrivere	VERB	_
13-4	TOI024	13	così	così	così	ADV	_
14-0	TOI024	14	[mi	mi	mi	PRON	_
14-1	TOI024	14	viene	viene	venire	VERB	_
14-2	TOI024	14	da	da	da	ADP	_
14-3	TOI024	14	ridere]	ridere	ridere	VERB	_
15-0	TOR005	15	[e	e	e	CCONJ	_
15-1	TOR005	15	quindi	quindi	quindi	ADV	_
15-2	TOR005	15	e	e	e	CCONJ	_
15-3	TOR005	15	ce~]	ce~	ce~	PROPN	Interrupted=Yes
16-0	TOR005	16	eh	eh	eh	NOUN	_
16-1	TOR005	16	[(giusto)]	giusto	giusto	ADJ	_
17-0	TOI024	17	[no	no	no	ADV	_
17-1	TOI024	17	perché]	perché	perché	SCONJ	_
17-2	TOI024	17	all'	all'	_	_	SpaceAfter=No
17-2a	_	_	_	a	a	ADP	_
17-2b	_	_	_	l'	il	DET	_
