token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR004	0	registra	registra	registrare	VERB	_
0-1	TOR004	0	{P}	{P}	_	_	_
0-2	TOR004	0	bene	bene	bene	ADV	_
0-3	TOR004	0	verrà	verrà	venire	VERB	_
0-4	TOR004	0	anche	anche	anche	ADV	_
0-5	TOR004	0	ari	ari	ario	NOUN	_
0-6	TOR004	0	<nella>.	nella	_	_	Intonation=falling
0-6a	_	_	_	in	in	ADP	_
0-6b	_	_	_	la	il	DET	_
1-0	TOR004	1	va	va	andare	VERB	_
1-1	TOR004	1	bene	bene	bene	ADV	_
2-0	TOR004	2	allora	allora	allora	ADV	_
3-0	TOR004	3	cominciamo	cominciamo	cominciare	VERB	_
4-0	TOR004	4	innanzitutto	innanzitutto	innanzitutto	ADV	_
5-0	TOR004	5	come	come	come	SCONJ	_
5-1	TOR004	5	ti	ti	ti	PRON	_
5-2	TOR004	5	chiami?	chiami	chiamare	VERB	Intonation=rising
6-0	TOI054	6	annalisa	annalisa	annalisa	NOUN	_
6-1	TOI054	6	rossi	rossi	rosso	ADJ	_
7-0	TOR004	7	okay	okay	okay	NOUN	_
7-1	TOR004	7	e	e	e	CCONJ	_
7-2	TOR004	7	sei	sei	essere	AUX	_
7-3	TOR004	7	nata?	nata	nare	VERB	Intonation=rising
8-0	TOI054	8	a:	a	a	ADP	_
8-1	TOI054	8	torino	torino	torino	NOUN	_
9-0	TOR004	9	il?	il	il	DET	Intonation=rising
10-0	TOI054	10	quindici	quindici	quindici	NUM	_
10-1	TOI054	10	maggio	maggio	maggio	NOUN	_
10-2	TOI054	10	del	del	_	_	_
10-2a	_	_	_	di	di	ADP	_
10-2b	_	_	_	il	il	DET	_
10-3	TOI054	10	millenovecentosessantuno	millenovecentosessantuno	millenovecentosessantuno	NOUN	_
11-0	TOR004	11	quindi	quindi	quindi	ADV	_
11-1	TOR004	11	hai?	hai	avere	VERB	Intonation=rising
12-0	TOI054	12	cinquant'	cinquant'	cinquanto	ADV	SpaceAfter=No
12-1	TOI054	12	otto	otto	otto	NUM	_
12-2	TOI054	12	anni	anni	anno	NOUN	_
12-3	TOI054	12	esattamente	esattamente	esattamente	ADV	_
13-0	TOR004	13	esattamente	esattamente	esattamente	ADV	_
14-0	TOI054	14	mhmh	mhmh	mhmh	NOUN	_
15-0	TOR004	15	compiuti,	compiuti	compiere	VERB	Intonation=weakly_rising
15-1	TOR004	15	{P}	{P}	_	_	_
15-2	TOR004	15	da,	da	da	ADP	Intonation=weakly_rising
16-0	TOI054	16	e:h	eh	eh	INTJ	_
16-1	TOI054	16	da	da	da	ADP	_
16-2	TOI054	16	qualche	qualche	qualche	DET	_
16-3	TOI054	16	mese	mese	mese	NOUN	_
17-0	TOI054	17	[da	da	da	ADP	_
17-1	TOI054	17	gennaio]	gennaio	gennaio	NOUN	_
18-0	TOR004	18	[okay]	okay	okay	NOUN	_
19-0	TOR004	19	e:h	eh	eh	NOUN	_
19-1	TOR004	19	{P}	{P}	_	_	_
19-2	TOR004	19	che	che	che	PRON	_
19-3	TOR004	19	lingue	lingue	linguire	VERB	_
19-4	TOR004	19	parli?	parli	_	_	Intonation=rising
19-4a	_	_	_	par	pare	VERB	_
19-4b	_	_	_	li	li	PRON	_
20-0	TOI054	20	{ride}	{ride}	_	X	_
21-0	TOR004	21	{ride}	{ride}	_	X	_
22-0	TOR004	22	già	già	già	ADV	_
22-1	TOR004	22	ride	ride	ridere	VERB	_
23-0	TOR004	23	{ride}	{ride}	_	X	_
24-0	TOI054	24	l'	l'	il	DET	SpaceAfter=No
24-1	TOI054	24	italiano	italiano	italiano	NOUN	_
24-2	TOI054	24	e:	e	e	CCONJ	_
24-3	TOI054	24	o~	o~	o~	PROPN	Interrupted=Yes
25-0	TOI054	25	poi	poi	poi	ADV	_
25-1	TOI054	25	che	che	che	SCONJ	_
26-0	TOI054	26	qualcosa	qualcosa	qualcosa	PRON	_
26-1	TOI054	26	di	di	di	ADP	_
26-2	TOI054	26	francese	francese	francese	NOUN	_
27-0	TOR004	27	e	e	e	CCONJ	_
27-1	TOR004	27	dialetto?	dialetto	dialettare	VERB	Intonation=rising
28-0	TOI054	28	e:	e	e	CCONJ	_
28-1	TOI054	28	dialetto	dialetto	dialettare	VERB	_
29-0	TOI054	29	siciliano,	siciliano	siciliare	VERB	Intonation=weakly_rising
30-0	TOI054	30	piemontese,	piemontese	piemontesa	NOUN	Intonation=weakly_rising
31-0	TOI054	31	se:	se	se	SCONJ	ProsodicLink=Yes
31-1	TOI054	31	m:::h	mh	mh	INTJ	_
32-0	TOI054	32	calabrese,	calabrese	calabresa	NOUN	Intonation=weakly_rising
33-0	TOI054	33	e:	e	e	CCONJ	_
33-1	TOI054	33	veneto.	veneto	venegere	VERB	Intonation=falling
34-0	TOR004	34	veneto	veneto	venere	VERB	_
34-1	TOR004	34	[ciò]	ciò	ciò	PRON	_
35-0	TOI054	35	[ven]eto	veneto	venere	VERB	_
35-1	TOI054	35	ciò	ciò	ciò	PRON	_
36-0	TOR004	36	perché	perché	perché	SCONJ	_
36-1	TOR004	36	parli	parli	_	_	_
36-1a	_	_	_	par	pare	VERB	_
36-1b	_	_	_	li	li	PRON	_
36-2	TOR004	36	il	il	il	DET	_
36-3	TOR004	36	veneto?	veneto	veneto	NOUN	Intonation=rising
37-0	TOI054	37	perché:,	perché	perché	SCONJ	Intonation=weakly_rising
37-1	TOI054	37	xx	x	x	SYM	_
38-0	TOI054	38	i	i	il	DET	_
38-1	TOI054	38	genitori	genitori	genitore	NOUN	_
38-2	TOI054	38	di	di	di	ADP	_
38-3	TOI054	38	una	una	uno	DET	_
38-4	TOI054	38	mia	mia	mio	DET	_
38-5	TOI054	38	carissima	carissima	carissima	NOUN	_
38-6	TOI054	38	amica	amica	amica	ADJ	_
38-7	TOI054	38	erano:	erano	essere	AUX	_
38-8	TOI054	38	{P}	{P}	_	_	_
38-9	TOI054	38	veneti	veneti	venere	VERB	_
39-0	TOR004	39	ah	ah	ah	INTJ	_
40-0	TOR004	40	ma	ma	ma	CCONJ	_
40-1	TOR004	40	chi?	chi	chi	PRON	Intonation=rising
40-2	TOR004	40	i	i	il	DET	_
40-3	TOR004	40	genitori	genitori	genitore	NOUN	_
40-4	TOR004	40	[di	di	di	ADP	_
40-5	TOR004	40	marta]?	marta	marta	NOUN	Intonation=rising
40-6	TOR004	40	{P}	{P}	_	_	_
40-7	TOR004	40	ah	ah	ah	INTJ	_
41-0	TOI054	41	[di	di	di	ADP	_
41-1	TOI054	41	marta]	marta	marta	NOUN	_
42-0	TOI054	42	[ver]di	verdi	verde	NOUN	_
43-0	TOR004	43	[°okay°]	okay	okay	NOUN	Volume=low
44-0	TOR004	44	e	e	e	CCONJ	_
44-1	TOR004	44	invece	invece	invece	ADV	_
44-2	TOR004	44	perché	perché	perché	SCONJ	_
44-3	TOR004	44	parli	parli	_	_	_
44-3a	_	_	_	par	pare	VERB	_
44-3b	_	_	_	li	li	PRON	_
44-4	TOR004	44	siciliano?	siciliano	siciliano	ADJ	Intonation=rising
45-0	TOI054	45	perché	perché	perché	SCONJ	_
45-1	TOI054	45	i	i	il	DET	_
45-2	TOI054	45	miei	miei	mio	DET	_
45-3	TOI054	45	genitori	genitori	genitore	NOUN	_
45-4	TOI054	45	erano	erano	essere	AUX	_
45-5	TOI054	45	siciliani	siciliani	siciliano	ADJ	_
46-0	TOR004	46	okay	okay	okay	NOUN	_
46-1	TOR004	46	e	e	e	CCONJ	_
46-2	TOR004	46	con	con	con	ADP	_
46-3	TOR004	46	te	te	te	PRON	_
46-4	TOR004	46	parlavano	parlavano	parlare	VERB	_
46-5	TOR004	46	siciliano?	siciliano	siciliano	ADJ	Intonation=rising
47-0	TOI054	47	parlavano	parlavano	parlare	VERB	_
47-1	TOI054	47	siciliano	siciliano	siciliano	ADJ	_
47-2	TOI054	47	sì:	sì	sì	INTJ	_
47-3	TOI054	47	però:	però	però	ADV	_
47-4	TOI054	47	parlavano	parlavano	parlare	VERB	_
47-5	TOI054	47	anche	anche	anche	ADV	_
47-6	TOI054	47	l'	l'	il	DET	SpaceAfter=No
47-7	TOI054	47	italiano	italiano	italiano	NOUN	_
47-8	TOI054	47	in	in	in	ADP	_
47-9	TOI054	47	casa	casa	casa	NOUN	_
48-0	TOR004	48	ah	ah	ah	INTJ	_
49-0	TOR004	49	ma	ma	ma	CCONJ	_
49-1	TOR004	49	tu:	tu	tu	PRON	_
49-2	TOR004	49	lo	lo	lo	PRON	_
