token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	T0032	0	okay	okay	okay	NOUN	_
0-1	T0032	0	{P}	{P}	_	_	_
0-2	T0032	0	allora	allora	allora	ADV	_
0-3	T0032	0	la	la	la	PRON	_
0-4	T0032	0	facciamo	facciamo	fare	VERB	_
0-5	T0032	0	veramente	veramente	veramente	ADV	_
0-6	T0032	0	così	così	così	ADV	_
1-0	T0032	1	comunque	comunque	comunque	ADV	_
1-1	T0032	1	non	non	non	ADV	_
1-2	T0032	1	ho	ho	avere	AUX	_
1-3	T0032	1	capito	capito	capire	VERB	_
1-4	T0032	1	perché	perché	perché	SCONJ	_
1-5	T0032	1	devi	devi	dovere	AUX	_
1-6	T0032	1	cercare	cercare	cercare	VERB	_
1-7	T0032	1	di	di	di	ADP	_
1-8	T0032	1	decifrare	decifrare	decifrare	VERB	_
1-9	T0032	1	mia	mia	mio	DET	_
1-10	T0032	1	mio	mio	mio	DET	_
1-11	T0032	1	cugino	cugino	cugino	NOUN	_
2-0	TO030	2	no	no	no	ADV	_
2-1	TO030	2	niente	niente	niente	PRON	_
2-2	TO030	2	non	non	non	ADV	_
2-3	TO030	2	lo	lo	lo	PRON	_
2-4	TO030	2	so	so	sapere	VERB	_
2-5	TO030	2	è	è	essere	AUX	_
2-6	TO030	2	un	un	uno	DET	_
2-7	TO030	2	buono	buono	buono	ADJ	_
2-8	TO030	2	studio	studio	studio	NOUN	_
2-9	TO030	2	sociale	sociale	sociale	ADJ	_
3-0	T0032	3	è	è	essere	AUX	_
3-1	T0032	3	un	un	uno	DET	_
3-2	T0032	3	buono	buono	buono	ADJ	_
3-3	T0032	3	studio	studio	studio	NOUN	_
3-4	T0032	3	sociale	sociale	sociale	ADJ	_
3-5	T0032	3	sì	sì	sì	INTJ	_
3-6	T0032	3	abbastanza	abbastanza	abbastanza	ADV	_
4-0	TO030	4	comunque	comunque	comunque	ADV	_
4-1	TO030	4	ieri	ieri	ieri	ADV	_
4-2	TO030	4	l'	l'	il	DET	Truncated=Yes
