token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TO021	0	scusi	scusi	scuso	NOUN	_
0-1	TO021	0	professoressa	professoressa	professorettere	VERB	_
0-2	TO021	0	se	se	se	SCONJ	_
0-3	TO021	0	ho	ho	avere	AUX	_
0-4	TO021	0	chiesto	chiesto	chiedere	VERB	_
0-5	TO021	0	(per	per	per	ADP	_
0-6	TO021	0	giu~)	giu~	giu~	PROPN	Interrupted=Yes
0-7	TO021	0	{P}	{P}	_	_	_
0-8	TO021	0	quest'	quest'	questo	DET	Truncated=Yes
0-9	TO021	0	urgenza,	urgenza	urgenza	NOUN	Intonation=weakly_rising
0-10	TO021	0	solo	solo	solo	ADV	_
0-11	TO021	0	che::,	che	che	SCONJ	Intonation=weakly_rising
0-12	TO021	0	sto	sto	stare	VERB	_
0-13	TO021	0	f~	f~	f~	PROPN	Interrupted=Yes
0-14	TO021	0	facen[do	facendo	fare	VERB	_
0-15	TO021	0	delle	delle	_	_	_
0-15a	_	_	_	di	di	ADP	_
0-15b	_	_	_	le	il	DET	_
0-16	TO021	0	visite,	visite	visita	NOUN	Intonation=weakly_rising
0-17	TO021	0	devo	devo	dovere	AUX	_
0-18	TO021	0	anche	anche	anche	ADV	_
0-19	TO021	0	essere	essere	essere	AUX	_
0-20	TO021	0	operata],	operata	operare	VERB	Intonation=weakly_rising
0-21	TO021	0	quindi::,	quindi	quindi	ADV	Intonation=weakly_rising
1-0	TO024	1	[no,	no	no	ADV	Intonation=weakly_rising
1-1	TO024	1	no,	no	no	ADV	Intonation=weakly_rising
1-2	TO024	1	certo.	certo	certo	ADV	Intonation=falling
1-3	TO024	1	certo].	certo	certo	ADV	Intonation=falling
2-0	TO024	2	ce:rto.	certo	certo	ADV	Intonation=falling
2-1	TO024	2	[non	non	non	ADV	_
2-2	TO024	2	c'	c'	ci	PRON	Truncated=Yes
2-3	TO024	2	è	è	essere	VERB	_
2-4	TO024	2	problema.	problema	problema	NOUN	Intonation=falling
2-5	TO024	2	non	non	non	ADV	_
2-6	TO024	2	c'	c'	ci	PRON	Truncated=Yes
2-7	TO024	2	è	è	essere	VERB	_
2-8	TO024	2	pro]blema.	problema	problema	NOUN	Intonation=falling
3-0	TO021	3	[è	è	essere	AUX	_
3-1	TO021	3	una	una	uno	DET	_
3-2	TO021	3	situazione	situazione	situazione	NOUN	_
3-3	TO021	3	un	un	uno	DET	_
3-4	TO021	3	attimo::],	attimo	attimo	NOUN	Intonation=weakly_rising
4-0	TO024	4	se:nta,	senta	sentare	VERB	Intonation=weakly_rising
4-1	TO024	4	{P}	{P}	_	_	_
4-2	TO024	4	e:::h	eh	eh	INTJ	_
4-3	TO024	4	lei	lei	lei	PRON	_
4-4	TO024	4	è	è	essere	AUX	_
4-5	TO024	4	frequentante,	frequentante	frequentante	ADJ	Intonation=weakly_rising
4-6	TO024	4	era	era	essere	AUX	_
4-7	TO024	4	presente	presente	presente	ADJ	_
4-8	TO024	4	il	il	il	DET	_
4-9	TO024	4	giorno	giorno	giorno	NOUN	_
4-10	TO024	4	fatidico,	fatidico	fatidico	ADJ	Intonation=weakly_rising
4-11	TO024	4	della	della	_	_	_
4-11a	_	_	_	di	di	ADP	_
4-11b	_	_	_	la	il	DET	_
4-12	TO024	4	[raccolta	raccolta	raccolta	NOUN	_
4-13	TO024	4	firme]?	firme	firme	ADJ	Intonation=rising
5-0	TO021	5	[no:,	no	no	INTJ	Intonation=weakly_rising
5-1	TO021	5	purtroppo	purtroppo	purtroppo	ADV	_
5-2	TO021	5	no,	no	no	ADV	Intonation=weakly_rising
5-3	TO021	5	perché	perché	perché	SCONJ	_
5-4	TO021	5	lì:]	lì	lì	ADV	_
5-5	TO021	5	{P}	{P}	_	_	_
5-6	TO021	5	da	da	da	ADP	_
5-7	TO021	5	lì,	lì	lì	ADV	Intonation=weakly_rising
5-8	TO021	5	da	da	da	ADP	_
5-9	TO021	5	u~	u~	u~	PROPN	Interrupted=Yes
5-10	TO021	5	la	la	il	DET	_
5-11	TO021	5	settimana	settimana	settimana	NOUN	_
5-12	TO021	5	prima	prima	prima	ADV	_
5-13	TO021	5	sono	sono	essere	AUX	_
5-14	TO021	5	iniziati	iniziati	iniziare	VERB	_
5-15	TO021	5	i	i	il	DET	_
5-16	TO021	5	miei	miei	mio	DET	_
5-17	TO021	5	proble[mi.	problemi	problema	NOUN	Intonation=falling
5-18	TO021	5	quin]di::,	quindi	quindi	ADV	Intonation=weakly_rising
5-19	TO021	5	infatti	infatti	infatti	ADV	_
5-20	TO021	5	ho	ho	avere	AUX	_
5-21	TO021	5	avuto:	avuto	avere	VERB	_
5-22	TO021	5	la	la	il	DET	_
5-23	TO021	5	stessa	stessa	stesso	ADJ	_
5-24	TO021	5	questione	questione	questione	NOUN	_
5-25	TO021	5	di	di	di	ADP	_
5-26	TO021	5	penale.	penale	penale	NOUN	Intonation=falling
5-27	TO021	5	che	che	che	PRON	_
5-28	TO021	5	l'	l'	il	DET	Truncated=Yes
5-29	TO021	5	ultimo	ultimo	ultimo	ADJ	_
5-30	TO021	5	giorno	giorno	giorno	NOUN	_
5-31	TO021	5	ha	ha	avere	AUX	_
5-32	TO021	5	chiesto,	chiesto	chiedere	VERB	Intonation=weakly_rising
5-33	TO021	5	solo	solo	solo	ADV	_
5-34	TO021	5	che	che	che	SCONJ	_
5-35	TO021	5	io	io	io	PRON	_
5-36	TO021	5	ho	ho	avere	AUX	_
5-37	TO021	5	avuto::,	avuto	avere	VERB	Intonation=weakly_rising
5-38	TO021	5	{P}	{P}	_	_	_
5-39	TO021	5	[una	una	uno	DET	_
5-40	TO021	5	serie	serie	serie	NOUN	_
5-41	TO021	5	di	di	di	ADP	_
5-42	TO021	5	visite],	visite	visita	NOUN	Intonation=weakly_rising
6-0	TO024	6	[ah,	ah	ah	INTJ	Intonation=weakly_rising
6-1	TO024	6	ho	ho	avere	AUX	_
6-2	TO024	6	capito].	capito	capere	VERB	Intonation=falling
7-0	TO024	7	[va	va	andare	VERB	_
7-1	TO024	7	bene.	bene	bene	ADV	Intonation=falling
7-2	TO024	7	non	non	non	ADV	_
7-3	TO024	7	c'	c'	ci	PRON	Truncated=Yes
7-4	TO024	7	è	è	essere	VERB	_
7-5	TO024	7	problema].	problema	problema	NOUN	Intonation=falling
8-0	TO024	8	senta,	senta	sentare	VERB	Intonation=weakly_rising
9-0	TO021	9	però:,	però	però	ADV	Intonation=weakly_rising
9-1	TO021	9	se	se	se	SCONJ	_
9-2	TO021	9	si	si	si	PRON	_
9-3	TO021	9	ricorda,	ricorda	ricordare	VERB	Intonation=weakly_rising
9-4	TO021	9	io	io	io	PRON	_
9-5	TO021	9	ero	ero	essere	AUX	_
9-6	TO021	9	in	in	in	ADP	_
9-7	TO021	9	[prima	prima	primo	ADJ	_
9-8	TO021	9	fila.	fila	fila	NOUN	Intonation=falling
9-9	TO021	9	sì,	sì	sì	INTJ	Intonation=weakly_rising
9-10	TO021	9	sì	sì	sì	ADV	_
9-11	TO021	9	sì].	sì	sì	ADV	Intonation=falling
10-0	TO024	10	[no,	no	no	INTJ	Intonation=weakly_rising
10-1	TO024	10	infatti,	infatti	infatti	ADV	Intonation=weakly_rising
10-2	TO024	10	infatti	infatti	infatti	ADV	_
10-3	TO024	10	mi	mi	mi	PRON	_
10-4	TO024	10	ricordo]	ricordo	ricordare	VERB	_
10-5	TO024	10	senz'	senz'	senza	ADP	Truncated=Yes
10-6	TO024	10	altro,	altro	altro	PRON	Intonation=weakly_rising
10-7	TO024	10	non	non	non	ADV	_
10-8	TO024	10	c'	c'	ci	PRON	Truncated=Yes
10-9	TO024	10	è	è	essere	VERB	_
10-10	TO024	10	°problema.°	problema	problema	NOUN	Intonation=falling|Volume=low
11-0	TO024	11	senta,	senta	sentare	VERB	Intonation=weakly_rising
11-1	TO024	11	{P}	{P}	_	_	_
11-2	TO024	11	eh	eh	eh	NOUN	ProsodicLink=Yes
11-3	TO024	11	m::h,	mh	mh	ADJ	Intonation=weakly_rising
11-4	TO024	11	vediamo	vediamo	vedare	VERB	_
11-5	TO024	11	un	un	uno	DET	_
11-6	TO024	11	attimo.	attimo	attimo	NOUN	Intonation=falling
11-7	TO024	11	nel	nel	_	_	ProsodicLink=Yes
11-7a	_	_	_	in	in	ADP	_
11-7b	_	_	_	il	il	DET	_
11-8	TO024	11	eh,	eh	eh	NOUN	Intonation=weakly_rising
11-9	TO024	11	cor	cor	core	ADJ	ProsodicLink=Yes
11-10	TO024	11	so	so	ndere	VERB	_
11-11	TO024	11	di::,	di	di	ADP	Intonation=weakly_rising
11-12	TO024	11	sistemi.	sistemi	sistema	NOUN	Intonation=falling
11-13	TO024	11	abbiamo	abbiamo	avere	AUX	_
11-14	TO024	11	dato	dato	dare	VERB	_
11-15	TO024	11	una,	una	uno	DET	Intonation=weakly_rising
11-16	TO024	11	certa,	certa	certo	ADJ	Intonation=weakly_rising
11-17	TO024	11	<importanza>,	importanza	importanza	NOUN	Intonation=weakly_rising
11-18	TO024	11	all'	all'	_	_	Truncated=Yes
11-18a	_	_	_	a	a	ADP	_
11-18b	_	_	_	l'	il	DET	_
11-19	TO024	11	istituto	istituto	istituto	NOUN	_
11-20	TO024	11	del	del	_	_	_
11-20a	_	_	_	di	di	ADP	_
11-20b	_	_	_	il	il	DET	_
11-21	TO024	11	<trust	trust	trust	NOUN	ProsodicLink=Yes
11-22	TO024	11	eh>.	eh	eh	INTJ	Intonation=falling
12-0	TO021	12	°sicura[mente].°	sicuramente	sicuramente	ADV	Intonation=falling|Volume=low
13-0	TO024	13	[allora]	allora	allora	ADV	_
13-1	TO024	13	mi	mi	mi	PRON	_
13-2	TO024	13	vuol	vuol	volere	AUX	_
13-3	TO024	13	spiegare,	spiegare	spiegare	VERB	Intonation=weakly_rising
13-4	TO024	13	{P}	{P}	_	_	_
13-5	TO024	13	che	che	che	SCONJ	_
13-6	TO024	13	cos'	cos'	cos'	PRON	Truncated=Yes
13-7	TO024	13	è,	è	essere	AUX	Intonation=weakly_rising
13-8	TO024	13	e	e	e	CCONJ	_
13-9	TO024	13	perché:	perché	perché	SCONJ	_
13-10	TO024	13	abbiamo	abbiamo	avere	AUX	_
13-11	TO024	13	dedicato	dedicato	dedicare	VERB	_
13-12	TO024	13	tutto	tutto	tutto	DET	_
13-13	TO024	13	questo	questo	questo	DET	_
13-14	TO024	13	spazio	spazio	spazio	NOUN	_
13-15	TO024	13	al	al	_	_	_
13-15a	_	_	_	a	a	ADP	_
13-15b	_	_	_	il	il	DET	_
13-16	TO024	13	trust.	trust	trust	NOUN	Intonation=falling
14-0	TO021	14	>allora<,	allora	allora	ADV	Intonation=weakly_rising
14-1	TO021	14	il	il	il	DET	_
14-2	TO021	14	trust	trust	trust	NOUN	_
14-3	TO021	14	come	come	come	SCONJ	_
14-4	TO021	14	ha	ha	avere	AUX	_
14-5	TO021	14	detto	detto	dire	VERB	_
14-6	TO021	14	lei	lei	lei	PRON	_
14-7	TO021	14	è	è	essere	AUX	_
14-8	TO021	14	un	un	uno	DET	_
14-9	TO021	14	istituto	istituto	istituto	NOUN	_
14-10	TO021	14	molto::	molto	molto	ADV	_
14-11	TO021	14	rilevante:,	rilevante	rilevante	ADJ	Intonation=weakly_rising
14-12	TO021	14	anche	anche	anche	ADV	_
14-13	TO021	14	ai	ai	_	_	_
14-13a	_	_	_	a	a	ADP	_
14-13b	_	_	_	i	il	DET	_
14-14	TO021	14	giorni	giorni	giorno	NOUN	_
14-15	TO021	14	d'	d'	di	ADP	SpaceAfter=No
14-16	TO021	14	o~,	o~	o~	PROPN	Intonation=weakly_rising
14-17	TO021	14	ai	ai	_	_	_
14-17a	_	_	_	a	a	ADP	_
14-17b	_	_	_	i	il	DET	_
14-18	TO021	14	giorni	giorni	giorno	NOUN	_
14-19	TO021	14	nostri,	nostri	nostro	DET	Intonation=weakly_rising
14-20	TO021	14	e:h	eh	eh	ADJ	ProsodicLink=Yes
14-21	TO021	14	m:h	mh	mh	NOUN	_
14-22	TO021	14	nell'	nell'	_	_	Truncated=Yes
14-22a	_	_	_	in	in	ADP	_
14-22b	_	_	_	l'	il	DET	_
14-23	TO021	14	ambito	ambito	ambito	NOUN	_
14-24	TO021	14	del	del	_	_	ProsodicLink=Yes
14-24a	_	_	_	di	di	ADP	_
14-24b	_	_	_	il	il	DET	_
14-25	TO021	14	eh,	eh	eh	NOUN	Intonation=weakly_rising
14-26	TO021	14	del	del	_	_	_
14-26a	_	_	_	di	di	ADP	_
14-26b	_	_	_	il	il	DET	_
14-27	TO021	14	nostro	nostro	nostro	DET	_
14-28	TO021	14	corso	corso	corso	NOUN	_
14-29	TO021	14	però	però	però	ADV	_
14-30	TO021	14	è	è	essere	AUX	_
14-31	TO021	14	rilevato,	rilevato	rilevato	VERB	Intonation=weakly_rising
14-32	TO021	14	dal	dal	_	_	_
14-32a	_	_	_	da	da	ADP	_
14-32b	_	_	_	il	il	DET	_
14-33	TO021	14	momento	momento	momento	NOUN	_
14-34	TO021	14	che,	che	che	SCONJ	Intonation=weakly_rising
14-35	TO021	14	eh	eh	eh	ADJ	ProsodicLink=Yes
14-36	TO021	14	ehm::	ehm	ehm	NOUN	_
14-37	TO021	14	si	si	si	PRON	_
14-38	TO021	14	collega	collega	collegare	VERB	_
14-39	TO021	14	all'	all'	_	_	Truncated=Yes
14-39a	_	_	_	a	a	ADP	_
14-39b	_	_	_	l'	il	DET	_
14-40	TO021	14	utilità	utilità	utilità	NOUN	_
14-41	TO021	14	di	di	di	ADP	_
14-42	TO021	14	quella	quella	quello	PRON	_
14-43	TO021	14	che	che	che	PRON	_
14-44	TO021	14	è	è	essere	AUX	_
14-45	TO021	14	l'	l'	il	DET	Truncated=Yes
14-46	TO021	14	equity.	equity	equity	NOUN	Intonation=falling
15-0	TO021	15	e::h,	eh	eh	INTJ	Intonation=weakly_rising
15-1	TO021	15	allora	allora	allora	ADV	_
15-2	TO021	15	il	il	il	DET	_
15-3	TO021	15	trust	trust	trust	NOUN	_
15-4	TO021	15	è	è	essere	AUX	_
15-5	TO021	15	un::	un	uno	DET	_
15-6	TO021	15	{P}	{P}	_	_	_
15-7	TO021	15	praticam~	praticam~	praticam~	PROPN	Interrupted=Yes
15-8	TO021	15	un	un	uno	DET	_
15-9	TO021	15	metodo	metodo	metodo	NOUN	_
15-10	TO021	15	attraverso	attraverso	attraverso	ADP	_
15-11	TO021	15	il	il	il	DET	_
15-12	TO021	15	quale	quale	quale	PRON	_
15-13	TO021	15	un	un	uno	DET	_
15-14	TO021	15	soggetto,	soggetto	soggetto	NOUN	Intonation=weakly_rising
15-15	TO021	15	che:,	che	che	PRON	Intonation=weakly_rising
15-16	TO021	15	e::h	eh	eh	INTJ	_
15-17	TO021	15	decide	decide	decidere	VERB	_
15-18	TO021	15	ma	ma	ma	CCONJ	_
15-19	TO021	15	n~	n~	n~	PROPN	Interrupted=Yes
15-20	TO021	15	n~	n~	n~	PROPN	Interrupted=Yes
15-21	TO021	15	che	che	che	PRON	_
15-22	TO021	15	vuole	vuole	volere	AUX	_
15-23	TO021	15	mantenere	mantenere	mantenere	VERB	_
15-24	TO021	15	(u~)	u~	u~	PROPN	Interrupted=Yes
15-25	TO021	15	l'	l'	il	DET	Truncated=Yes
15-26	TO021	15	anonimato,	anonimato	anonimato	NOUN	Intonation=weakly_rising
15-27	TO021	15	decide	decide	decidere	VERB	_
15-28	TO021	15	di	di	di	ADP	_
15-29	TO021	15	affidare:,	affidare	affidare	VERB	Intonation=weakly_rising
15-30	TO021	15	l'	l'	il	DET	Truncated=Yes
15-31	TO021	15	e:h	eh	eh	ADJ	_
15-32	TO021	15	mh.	mh	mh	NOUN	Intonation=falling
15-33	TO021	15	i	i	il	DET	_
15-34	TO021	15	propri::	propri	proprio	DET	_
15-35	TO021	15	i	i	il	DET	_
15-36	TO021	15	propri	propri	proprio	DET	_
15-37	TO021	15	beni,	beni	bene	NOUN	Intonation=weakly_rising
15-38	TO021	15	ad	ad	a	ADP	_
15-39	TO021	15	un	un	uno	DET	_
15-40	TO021	15	altro	altro	altro	ADJ	_
15-41	TO021	15	soggetto.	soggetto	soggetto	NOUN	Intonation=falling
15-42	TO021	15	che	che	che	PRON	_
15-43	TO021	15	diventa	diventa	diventare	VERB	_
15-44	TO021	15	il	il	il	DET	_
15-45	TO021	15	trustee.	trustee	trustee	NOUN	Intonation=falling
16-0	TO021	16	questo	questo	questo	DET	_
16-1	TO021	16	soggetto	soggetto	soggetto	NOUN	_
16-2	TO021	16	si	si	si	PRON	_
16-3	TO021	16	deve	deve	dovere	AUX	_
16-4	TO021	16	comporta:re::,	comportare	comportare	VERB	Intonation=weakly_rising
16-5	TO021	16	{P}	{P}	_	_	_
16-6	TO021	16	secondo	secondo	secondo	ADJ	_
16-7	TO021	16	appunto,	appunto	appunto	ADV	Intonation=weakly_rising
16-8	TO021	16	si	si	si	PRON	_
16-9	TO021	16	deve	deve	dovere	AUX	_
16-10	TO021	16	comportare	comportare	comportare	VERB	_
16-11	TO021	16	come	come	come	ADP	_
16-12	TO021	16	trustee	trustee	trustea	NOUN	ProsodicLink=Yes
16-13	TO021	16	ovvero	ovvero	ovvero	CCONJ	_
16-14	TO021	16	non	non	non	ADV	_
16-15	TO021	16	come	come	come	ADP	_
16-16	TO021	16	vero	vero	vero	ADJ	_
16-17	TO021	16	e	e	e	CCONJ	_
16-18	TO021	16	proprio	proprio	proprio	ADJ	_
16-19	TO021	16	proprietario,	proprietario	proprietario	NOUN	Intonation=weakly_rising
16-20	TO021	16	bensì	bensì	bensì	CCONJ	_
16-21	TO021	16	come,	come	come	ADP	Intonation=weakly_rising
16-22	TO021	16	{P}	{P}	_	_	_
16-23	TO021	16	e:h,	eh	eh	NOUN	Intonation=weakly_rising
16-24	TO021	16	un	un	uno	DET	_
16-25	TO021	16	curatore	curatore	curatore	NOUN	_
16-26	TO021	16	di	di	di	ADP	_
16-27	TO021	16	questi	questi	questo	DET	_
16-28	TO021	16	beni.	beni	bene	NOUN	Intonation=falling
