token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TO017	0	li	li	li	PRON	_
0-1	TO017	0	confrontiamo	confrontiamo	confrontare	VERB	_
0-2	TO017	0	tutti:,	tutti	tutto	PRON	Intonation=weakly_rising
0-3	TO017	0	e	e	e	CCONJ	_
0-4	TO017	0	{P}	{P}	_	_	_
0-5	TO017	0	la	la	il	DET	_
0-6	TO017	0	domanda	domanda	domanda	NOUN	_
0-7	TO017	0	è	è	essere	AUX	_
0-8	TO017	0	riusciamo	riusciamo	riuscire	VERB	_
0-9	TO017	0	a	a	a	ADP	_
0-10	TO017	0	trovare	trovare	trovare	VERB	_
0-11	TO017	0	una	una	uno	DET	_
0-12	TO017	0	serie	serie	serie	NOUN	_
0-13	TO017	0	di	di	di	ADP	_
0-14	TO017	0	tratti	tratti	tratto	NOUN	_
0-15	TO017	0	una	una	uno	DET	_
0-16	TO017	0	serie	serie	serie	NOUN	_
0-17	TO017	0	di	di	di	ADP	_
0-18	TO017	0	strutture,	strutture	struttura	NOUN	Intonation=weakly_rising
1-0	TO017	1	comuni	comuni	comuni	NOUN	_
1-1	TO017	1	a	a	a	ADP	_
1-2	TO017	1	tutti	tutti	tutto	DET	_
1-3	TO017	1	questi	questi	questo	DET	_
1-4	TO017	1	dialetti	dialetti	dialetto	NOUN	_
2-0	TO017	2	mh,	mh	mh	NOUN	Intonation=weakly_rising
3-0	TO017	3	tutti	tutti	tutto	DET	_
3-1	TO017	3	i	i	il	DET	_
3-2	TO017	3	dialetti	dialetti	dialetto	NOUN	_
3-3	TO017	3	ce	ce	ce	PRON	_
3-4	TO017	3	l'	l'	lo	PRON	Truncated=Yes
3-5	TO017	3	hanno	hanno	avere	VERB	_
3-6	TO017	3	e	e	e	CCONJ	_
3-7	TO017	3	attenzione	attenzione	attenzione	NOUN	_
4-0	TO017	4	a	a	a	ADP	_
4-1	TO017	4	nessuna	nessuna	nessuno	DET	_
4-2	TO017	4	altra	altra	altro	ADJ	_
4-3	TO017	4	lingua	lingua	lingua	NOUN	_
4-4	TO017	4	semitica	semitica	semitico	ADJ	_
5-0	TO017	5	>perché<	perché	perché	SCONJ	_
5-1	TO017	5	altrim~	altrim~	altrim~	PROPN	Interrupted=Yes
6-0	TO017	6	cioè	cioè	cioè	ADV	_
6-1	TO017	6	noi	noi	noi	PRON	_
6-2	TO017	6	abbiamo	abbiamo	avere	VERB	_
6-3	TO017	6	bisogno	bisogno	bisogno	NOUN	_
6-4	TO017	6	di	di	di	ADP	_
6-5	TO017	6	qualcosa	qualcosa	qualcosa	PRON	_
6-6	TO017	6	che	che	che	PRON	_
6-7	TO017	6	identifichi,	identifichi	identificare	VERB	Intonation=weakly_rising
7-0	TO017	7	l'	l'	il	DET	Truncated=Yes
7-1	TO017	7	arabo,	arabo	arabo	NOUN	Intonation=weakly_rising
8-0	TO017	8	co:me,	come	come	ADP	Intonation=weakly_rising
8-1	TO017	8	una	una	uno	DET	_
8-2	TO017	8	realtà	realtà	realtà	NOUN	_
8-3	TO017	8	linguistica	linguistica	linguistico	ADJ	_
8-4	TO017	8	indipendente	indipendente	indipendente	ADJ	_
8-5	TO017	8	dal	dal	_	_	_
8-5a	_	_	_	da	da	ADP	_
8-5b	_	_	_	il	il	DET	_
8-6	TO017	8	resto	resto	resto	NOUN	_
8-7	TO017	8	della	della	_	_	_
8-7a	_	_	_	di	di	ADP	_
8-7b	_	_	_	la	il	DET	_
8-8	TO017	8	famiglia	famiglia	famiglia	NOUN	_
8-9	TO017	8	semitica.	semitica	semitico	ADJ	Intonation=falling
9-0	TO017	9	okay,	okay	okay	NOUN	Intonation=weakly_rising
10-0	TO017	10	poss:iamo	possiamo	potere	AUX	_
10-1	TO017	10	farla	farla	_	_	_
10-1a	_	_	_	far	fare	VERB	_
10-1b	_	_	_	la	il	DET	_
10-2	TO017	10	questa	questa	questo	DET	_
10-3	TO017	10	cosa,	cosa	cosa	NOUN	Intonation=weakly_rising
11-0	TO017	11	ovviamente	ovviamente	ovviamente	ADV	_
11-1	TO017	11	questo	questo	questo	PRON	_
11-2	TO017	11	non	non	non	ADV	_
11-3	TO017	11	richierebbe	richierebbe	richiare	VERB	_
11-4	TO017	11	un	un	uno	DET	_
11-5	TO017	11	lavoro	lavoro	lavoro	NOUN	_
11-6	TO017	11	{P}	{P}	_	_	_
11-7	TO017	11	infinito,	infinito	infinito	ADJ	Intonation=weakly_rising
12-0	TO017	12	c'	c'	ci	PRON	Truncated=Yes
12-1	TO017	12	è	è	essere	VERB	_
12-2	TO017	12	qualcuno	qualcuno	qualcuno	PRON	_
12-3	TO017	12	che	che	che	PRON	_
12-4	TO017	12	c'	c'	ci	PRON	Truncated=Yes
12-5	TO017	12	ha	ha	avere	VERB	_
12-6	TO017	12	provato:	provato	provare	VERB	_
12-7	TO017	12	comunque,	comunque	comunque	ADV	Intonation=weakly_rising
13-0	TO017	13	ma	ma	ma	CCONJ	_
14-0	TO017	14	suspence.	suspence	suspencere	VERB	Intonation=falling
14-1	TO017	14	i	i	il	DET	_
14-2	TO017	14	risultati	risultati	risultato	NOUN	_
14-3	TO017	14	li	li	li	PRON	_
14-4	TO017	14	discuteremo,	discuteremo	discutere	VERB	Intonation=weakly_rising
15-0	TO017	15	po:i,	poi	poi	ADV	Intonation=weakly_rising
15-1	TO017	15	perché	perché	perché	SCONJ	_
15-2	TO017	15	questo	questo	questo	PRON	_
15-3	TO017	15	ci	ci	ci	PRON	_
15-4	TO017	15	impiegherà	impiegherà	impiegare	VERB	_
15-5	TO017	15	tutto	tutto	tutto	DET	_
15-6	TO017	15	il	il	il	DET	_
