token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TO062	0	allora	allora	allora	ADV	_
0-1	TO062	0	buongiorno,	buongiorno	buongiorno	NOUN	Intonation=weakly_rising
1-0	TO062	1	buongiorno	buongiorno	buongiorno	NOUN	_
2-0	TO062	2	sono	sono	essere	AUX	_
2-1	TO062	2	martina	martina	martina	NOUN	_
2-2	TO062	2	rossi,	rossi	rosso	ADJ	Intonation=weakly_rising
3-0	TO062	3	e::h	eh	eh	INTJ	_
4-0	TO062	4	sono	sono	essere	AUX	_
4-1	TO062	4	professore	professore	professore	NOUN	_
4-2	TO062	4	associato	associato	associare	VERB	_
4-3	TO062	4	di	di	di	ADP	_
4-4	TO062	4	letteratura	letteratura	letteratura	NOUN	_
4-5	TO062	4	italiana,	italiana	italiano	ADJ	Intonation=weakly_rising
5-0	TO062	5	insegno	insegno	insegno	NOUN	_
5-1	TO062	5	qui	qui	qui	ADV	_
5-2	TO062	5	da	da	da	ADP	_
5-3	TO062	5	molti	molti	molto	DET	_
5-4	TO062	5	anni,	anni	anno	NOUN	Intonation=weakly_rising
6-0	TO062	6	forse	forse	forse	ADV	_
6-1	TO062	6	qualcuno	qualcuno	qualcuno	PRON	_
6-2	TO062	6	mi	mi	mi	PRON	_
6-3	TO062	6	ha	ha	avere	AUX	_
6-4	TO062	6	gia	gia	gia	NOUN	_
6-5	TO062	6	incontrato	incontrato	incontrare	VERB	_
6-6	TO062	6	al	al	_	_	_
6-6a	_	_	_	a	a	ADP	_
6-6b	_	_	_	il	il	DET	_
6-7	TO062	6	laboratorio	laboratorio	laboratorio	NOUN	_
6-8	TO062	6	di	di	di	ADP	_
6-9	TO062	6	scrittura	scrittura	scrittura	NOUN	_
6-10	TO062	6	{P}	{P}	_	_	_
6-11	TO062	6	l'	l'	il	DET	Truncated=Yes
6-12	TO062	6	anno	anno	anno	NOUN	_
6-13	TO062	6	scorso,	scorso	scorso	ADJ	Intonation=weakly_rising
7-0	TO062	7	e::hm::	ehm	ehm	NOUN	_
8-0	TO062	8	spero	spero	sperare	VERB	_
8-1	TO062	8	quest'	quest'	questo	DET	Truncated=Yes
8-2	TO062	8	anno	anno	anno	NOUN	_
8-3	TO062	8	di	di	di	ADP	_
8-4	TO062	8	essere	essere	essere	AUX	_
9-0	TO062	9	me:no:	meno	meno	ADV	_
10-0	TO062	10	di	di	di	ADP	_
10-1	TO062	10	dovervi	dovervi	dovervo	NOUN	_
10-2	TO062	10	me:no	meno	meno	ADV	_
10-3	TO062	10	riprendere	riprendere	riprendere	VERB	_
11-0	TO062	11	allora,	allora	allora	ADV	Intonation=weakly_rising
11-1	TO062	11	il	il	il	DET	_
11-2	TO062	11	corso	corso	corso	NOUN	_
11-3	TO062	11	di	di	di	ADP	_
11-4	TO062	11	{P}	{P}	_	_	_
11-5	TO062	11	quest'	quest'	questo	DET	Truncated=Yes
11-6	TO062	11	anno	anno	anno	NOUN	_
12-0	TO062	12	è	è	essere	AUX	_
12-1	TO062	12	un	un	uno	DET	_
12-2	TO062	12	corso	corso	corso	NOUN	_
12-3	TO062	12	{P}	{P}	_	_	_
12-4	TO062	12	avanzato,	avanzato	avanzato	ADJ	Intonation=weakly_rising
13-0	TO062	13	e::h	eh	eh	NOUN	_
13-1	TO062	13	nel	nel	_	_	_
13-1a	_	_	_	in	in	ADP	_
13-1b	_	_	_	il	il	DET	_
13-2	TO062	13	piano	piano	piano	NOUN	_
13-3	TO062	13	carriera	carriera	carriera	NOUN	_
13-4	TO062	13	di	di	di	ADP	_
13-5	TO062	13	lettere	lettere	lettera	NOUN	_
13-6	TO062	13	è	è	essere	AUX	_
13-7	TO062	13	messo	messo	mettere	VERB	_
13-8	TO062	13	al	al	_	_	_
13-8a	_	_	_	a	a	ADP	_
13-8b	_	_	_	il	il	DET	_
13-9	TO062	13	terzo	terzo	terzo	ADJ	_
13-10	TO062	13	anno,	anno	anno	NOUN	Intonation=weakly_rising
14-0	TO062	14	può	può	potere	AUX	_
14-1	TO062	14	essere	essere	essere	AUX	_
14-2	TO062	14	anche:	anche	anche	ADV	_
15-0	TO062	15	m::h	mh	mh	NOUN	_
16-0	TO062	16	inserito	inserito	inserire	VERB	_
16-1	TO062	16	da	da	da	ADP	_
16-2	TO062	16	studenti	studenti	studente	NOUN	_
16-3	TO062	16	di	di	di	ADP	_
16-4	TO062	16	altri	altri	altro	ADJ	_
16-5	TO062	16	corsi	corsi	corso	NOUN	_
16-6	TO062	16	di	di	di	ADP	_
16-7	TO062	16	laurea,	laurea	laurea	NOUN	Intonation=weakly_rising
17-0	TO062	17	e:	e	e	CCONJ	_
17-1	TO062	17	da	da	da	ADP	_
17-2	TO062	17	erasmus,	erasmus	erasmus	NOUN	Intonation=weakly_rising
17-3	TO062	17	da	da	da	ADP	_
17-4	TO062	17	studenti	studenti	studente	NOUN	_
17-5	TO062	17	in	in	in	ADP	_
17-6	TO062	17	erasmus	erasmus	erasmus	NOUN	_
18-0	TO062	18	in	in	in	ADP	_
18-1	TO062	18	mh	mh	mh	NOUN	_
18-2	TO062	18	in	in	in	ADP	_
18-3	TO062	18	c~	c~	c~	PROPN	Interrupted=Yes
18-4	TO062	18	nel	nel	_	_	_
18-4a	_	_	_	in	in	ADP	_
18-4b	_	_	_	il	il	DET	_
18-5	TO062	18	caso	caso	caso	NOUN	_
18-6	TO062	18	in	in	in	ADP	_
18-7	TO062	18	cui	cui	cui	PRON	_
19-0	TO062	19	non	non	non	ADV	_
19-1	TO062	19	foste	foste	fosta	NOUN	_
19-2	TO062	19	del	del	_	_	_
19-2a	_	_	_	di	di	ADP	_
19-2b	_	_	_	il	il	DET	_
19-3	TO062	19	terzo	terzo	terzo	ADJ	_
19-4	TO062	19	anno	anno	anno	NOUN	_
19-5	TO062	19	di	di	di	ADP	_
19-6	TO062	19	lettere	lettere	lettera	NOUN	_
20-0	TO062	20	vi	vi	vi	ADV	_
20-1	TO062	20	prego	prego	pregare	VERB	_
20-2	TO062	20	piano	piano	piano	ADV	_
20-3	TO062	20	piano	piano	piano	ADV	_
20-4	TO062	20	{P}	{P}	_	_	_
20-5	TO062	20	di	di	di	ADP	_
20-6	TO062	20	manifestarvi,	manifestarvi	_	_	Intonation=weakly_rising
20-6a	_	_	_	manifestar	manifestare	VERB	_
20-6b	_	_	_	vi	vi	PRON	_
21-0	TO062	21	di	di	di	ADP	_
21-1	TO062	21	chiedermi,	chiedermi	_	_	Intonation=weakly_rising
21-1a	_	_	_	chieder	chiedere	VERB	_
21-1b	_	_	_	mi	mi	PRON	_
22-0	TO062	22	perché	perché	perché	SCONJ	_
22-1	TO062	22	per	per	per	ADP	_
22-2	TO062	22	a:ltri	altri	altro	DET	_
22-3	TO062	22	piani	piani	piano	NOUN	_
22-4	TO062	22	carriera	carriera	carriero	ADJ	_
22-5	TO062	22	e	e	e	CCONJ	_
22-6	TO062	22	altre	altre	altro	ADJ	_
22-7	TO062	22	situazioni	situazioni	situazione	NOUN	_
23-0	TO062	23	cerchiamo	cerchiamo	cercare	VERB	_
23-1	TO062	23	di	di	di	ADP	_
23-2	TO062	23	concordare	concordare	concordare	VERB	_
24-0	TO062	24	un:	un	uno	DET	_
24-1	TO062	24	esame	esame	esame	NOUN	_
24-2	TO062	24	che	che	che	PRON	_
24-3	TO062	24	sia	sia	essere	AUX	_
24-4	TO062	24	rispondente	rispondente	rispondere	VERB	_
24-5	TO062	24	alle	alle	_	_	_
24-5a	_	_	_	a	a	ADP	_
24-5b	_	_	_	le	il	DET	_
24-6	TO062	24	vostre	vostre	vostro	DET	_
24-7	TO062	24	esigenze.	esigenze	esigenza	NOUN	Intonation=falling
25-0	TO062	25	perché	perché	perché	SCONJ	_
25-1	TO062	25	questo	questo	questo	DET	_
25-2	TO062	25	corso	corso	corso	NOUN	_
25-3	TO062	25	è	è	essere	AUX	_
25-4	TO062	25	pensato	pensato	pensare	VERB	_
25-5	TO062	25	per	per	per	ADP	_
25-6	TO062	25	studenti	studenti	studente	NOUN	_
25-7	TO062	25	che	che	che	PRON	_
25-8	TO062	25	abbiano	abbiano	avere	AUX	_
25-9	TO062	25	già	già	già	ADV	_
25-10	TO062	25	sostenuto	sostenuto	sostenere	VERB	_
26-0	TO062	26	un	un	uno	DET	_
26-1	TO062	26	esame	esame	esame	NOUN	_
26-2	TO062	26	da	da	da	ADP	_
26-3	TO062	26	dodici	dodici	dodici	NUM	_
26-4	TO062	26	crediti	crediti	credito	NOUN	_
26-5	TO062	26	di	di	di	ADP	_
26-6	TO062	26	letteratura	letteratura	letteratura	NOUN	_
26-7	TO062	26	italia:na,	italiana	italiano	ADJ	Intonation=weakly_rising
27-0	TO062	27	che	che	che	SCONJ	_
27-1	TO062	27	abbiano	abbiano	avere	AUX	_
27-2	TO062	27	già	già	già	ADV	_
27-3	TO062	27	fatto	fatto	fare	VERB	_
27-4	TO062	27	storia	storia	storia	NOUN	_
27-5	TO062	27	della	della	_	_	_
27-5a	_	_	_	di	di	ADP	_
27-5b	_	_	_	la	il	DET	_
27-6	TO062	27	lingua	lingua	lingua	NOUN	_
27-7	TO062	27	italia:na,	italiana	italiano	ADJ	Intonation=weakly_rising
28-0	TO062	28	e:h	eh	eh	INTJ	_
28-1	TO062	28	che	che	che	SCONJ	_
28-2	TO062	28	abbiano	abbiano	avere	AUX	_
28-3	TO062	28	insomma	insomma	insomma	ADV	_
28-4	TO062	28	seguito	seguito	seguere	VERB	_
28-5	TO062	28	il	il	il	DET	_
28-6	TO062	28	percorso	percorso	percorso	NOUN	_
28-7	TO062	28	{P}	{P}	_	_	_
28-8	TO062	28	di	di	di	ADP	_
28-9	TO062	28	lettere.	lettere	lettera	NOUN	Intonation=falling
29-0	TO062	29	altri	altri	altro	DET	_
29-1	TO062	29	studenti	studenti	studente	NOUN	_
29-2	TO062	29	lo	lo	il	PRON	_
29-3	TO062	29	possono	possono	potere	AUX	_
29-4	TO062	29	ugualmente	ugualmente	ugualmente	ADV	_
29-5	TO062	29	seguire,	seguire	seguire	VERB	Intonation=weakly_rising
30-0	TO062	30	però	però	però	ADV	_
31-0	TO062	31	m::h	mh	mh	NOUN	_
32-0	TO062	32	bisogna	bisogna	bisognare	VERB	_
32-1	TO062	32	{P}	{P}	_	_	_
32-2	TO062	32	un	un	uno	DET	_
32-3	TO062	32	po'	po'	poco	ADV	_
32-4	TO062	32	eh	eh	eh	INTJ	_
32-5	TO062	32	resettarlo.	resettarlo	_	_	Intonation=falling
32-5a	_	_	_	resettar	resettare	VERB	_
32-5b	_	_	_	lo	lo	PRON	_
33-0	TO062	33	va	va	andare	VERB	_
33-1	TO062	33	bene,	bene	bene	ADV	Intonation=weakly_rising
34-0	TO062	34	e::h	eh	eh	INTJ	_
34-1	TO062	34	sarà	sarà	essere	AUX	_
34-2	TO062	34	un	un	uno	DET	_
34-3	TO062	34	corso::	corso	corso	NOUN	_
35-0	TO062	35	anche	anche	anche	ADV	_
35-1	TO062	35	sperimenta:le	sperimentale	sperimentale	ADJ	_
35-2	TO062	35	se	se	se	SCONJ	_
35-3	TO062	35	volete	volete	volere	AUX	_
36-0	TO062	36	m::h	mh	mh	NOUN	_
37-0	TO062	37	con:	con	con	ADP	_
37-1	TO062	37	molti	molti	molto	DET	_
37-2	TO062	37	materiali	materiali	materiale	NOUN	_
37-3	TO062	37	da	da	da	ADP	_
37-4	TO062	37	ricomporre,	ricomporre	ricomporre	VERB	Intonation=weakly_rising
38-0	TO062	38	per	per	per	ADP	_
38-1	TO062	38	quello	quello	quello	PRON	_
38-2	TO062	38	è:	è	essere	AUX	_
38-3	TO062	38	inserito	inserito	inserire	VERB	_
38-4	TO062	38	al	al	_	_	_
38-4a	_	_	_	a	a	ADP	_
38-4b	_	_	_	il	il	DET	_
38-5	TO062	38	terzo	terzo	terzo	ADJ	_
38-6	TO062	38	anno,	anno	anno	NOUN	Intonation=weakly_rising
38-7	TO062	38	perché	perché	perché	SCONJ	_
38-8	TO062	38	presuppone	presuppone	presupporre	VERB	_
39-0	TO062	39	un	un	uno	DET	_
39-1	TO062	39	minimo	minimo	minimo	NOUN	_
39-2	TO062	39	di	di	di	ADP	_
39-3	TO062	39	maturità	maturità	maturità	NOUN	_
39-4	TO062	39	da	da	da	ADP	_
39-5	TO062	39	parte	parte	parte	NOUN	_
39-6	TO062	39	degli	degli	_	_	_
39-6a	_	_	_	di	di	ADP	_
39-6b	_	_	_	gli	il	DET	_
39-7	TO062	39	studenti	studenti	studente	NOUN	_
40-0	TO062	40	per	per	per	ADP	_
41-0	TO062	41	e:h	eh	eh	INTJ	_
41-1	TO062	41	perché	perché	perché	SCONJ	_
41-2	TO062	41	non	non	non	ADV	_
41-3	TO062	41	sarà	sarà	essere	AUX	_
41-4	TO062	41	un	un	uno	DET	_
41-5	TO062	41	corso	corso	corso	NOUN	_
41-6	TO062	41	lineare	lineare	lineare	ADJ	_
42-0	TO062	42	in	in	in	ADP	_
42-1	TO062	42	cui	cui	cui	PRON	_
42-2	TO062	42	io	io	io	PRON	_
42-3	TO062	42	{P}	{P}	_	_	_
42-4	TO062	42	spiego	spiego	spiegere	VERB	_
42-5	TO062	42	dall'	dall'	_	_	Truncated=Yes
42-5a	_	_	_	da	da	ADP	_
42-5b	_	_	_	l'	il	DET	_
42-6	TO062	42	inizio	inizio	inizio	NOUN	_
42-7	TO062	42	alla	alla	_	_	_
42-7a	_	_	_	a	a	ADP	_
42-7b	_	_	_	la	il	DET	_
42-8	TO062	42	fine	fine	fine	NOUN	_
42-9	TO062	42	un	un	uno	DET	_
42-10	TO062	42	argomento,	argomento	argomento	NOUN	Intonation=weakly_rising
43-0	TO062	43	e	e	e	CCONJ	_
43-1	TO062	43	voi	voi	voi	PRON	_
43-2	TO062	43	dovete	dovete	dovere	AUX	_
43-3	TO062	43	prendere	prendere	prendere	VERB	_
43-4	TO062	43	appunti	appunti	appunto	NOUN	_
44-0	TO062	44	richiederà	richiederà	richiedere	VERB	_
44-1	TO062	44	un	un	uno	DET	_
44-2	TO062	44	po'	po'	poco	PRON	SpaceAfter=No
44-3	TO062	44	di	di	di	ADP	_
44-4	TO062	44	{P}	{P}	_	_	_
44-5	TO062	44	impegno	impegno	impegno	NOUN	_
44-6	TO062	44	da	da	da	ADP	_
44-7	TO062	44	parte	parte	parte	NOUN	_
44-8	TO062	44	vostra	vostra	vostro	DET	_
45-0	TO062	45	per	per	per	ADP	_
45-1	TO062	45	ricostruire	ricostruire	ricostruire	VERB	_
45-2	TO062	45	un	un	uno	DET	_
45-3	TO062	45	quadro	quadro	quadro	NOUN	_
45-4	TO062	45	che	che	che	PRON	_
45-5	TO062	45	è	è	essere	AUX	_
45-6	TO062	45	{P}	{P}	_	_	_
45-7	TO062	45	molto	molto	molto	ADV	_
