token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	PKP017	0	e::h	eh	eh	INTJ	_
1-0	PKP017	1	c'	c'	ci	PRON	SpaceAfter=No
1-1	PKP017	1	è	è	essere	VERB	_
1-2	PKP017	1	anche	anche	anche	ADV	_
1-3	PKP017	1	quel:~	quel~	quel~	PROPN	Interrupted=Yes
1-4	PKP017	1	l~	l~	l~	PROPN	Interrupted=Yes
1-5	PKP017	1	l'	l'	il	DET	SpaceAfter=No
1-6	PKP017	1	altro	altro	altro	ADJ	_
1-7	PKP017	1	formaggino	formaggino	formaggino	NOUN	_
1-8	PKP017	1	quello	quello	quello	PRON	_
1-9	PKP017	1	che	che	che	PRON	_
1-10	PKP017	1	hai	hai	avere	AUX	_
1-11	PKP017	1	preso	preso	prendere	VERB	_
1-12	PKP017	1	tu	tu	tu	PRON	_
1-13	PKP017	1	dal:	dal	_	_	_
1-13a	_	_	_	da	da	ADP	_
1-13b	_	_	_	il	il	DET	_
1-14	PKP017	1	dal	dal	_	_	_
1-14a	_	_	_	da	da	ADP	_
1-14b	_	_	_	il	il	DET	_
1-15	PKP017	1	siciliano	siciliano	siciliano	NOUN	_
2-0	PKP016	2	sì	sì	sì	ADV	_
2-1	PKP016	2	vabbè	vabbè	vabbere	VERB	_
2-2	PKP016	2	[toni	toni	tono	NOUN	_
2-3	PKP016	2	mi	mi	mi	PRON	_
2-4	PKP016	2	sem]bra	sembra	sembrare	VERB	_
2-5	PKP016	2	che	che	che	SCONJ	_
2-6	PKP016	2	ci	ci	ci	PRON	_
2-7	PKP016	2	sia	sia	essere	AUX	_
2-8	PKP016	2	già	già	già	ADV	_
2-9	PKP016	2	tanta	tanta	tanto	DET	_
2-10	PKP016	2	ro[ba]	roba	roba	NOUN	_
3-0	PKP017	3	[da	da	da	ADP	_
3-1	PKP017	3	aprire]	aprire	aprire	VERB	_
4-0	PKP022	4	[a::h]	ah	ah	INTJ	_
5-0	PKP016	5	prendo	prendo	prere	VERB	_
5-1	PKP016	5	solo	solo	solo	ADV	_
5-2	PKP016	5	[una	una	uno	DET	_
5-3	PKP016	5	forchetta	forchetta	forchetta	NOUN	_
5-4	PKP016	5	per]	per	per	ADP	_
5-5	PKP016	5	il	il	il	DET	_
5-6	PKP016	5	prosciutto	prosciutto	prosciutto	NOUN	_
6-0	PKP017	6	[è	è	essere	AUX	_
6-1	PKP017	6	perché	perché	poiperché	SCONJ	_
6-2	PKP017	6	quello	quello	quello	PRON	_
6-3	PKP017	6	lì]	lì	lì	ADV	_
7-0	PKP017	7	quello	quello	quello	PRON	_
7-1	PKP017	7	lì	lì	lì	ADV	_
7-2	PKP017	7	è	è	essere	AUX	_
7-3	PKP017	7	grande	grande	grande	ADJ	_
7-4	PKP017	7	se	se	se	SCONJ	_
7-5	PKP017	7	{P}	{P}	_	_	_
7-6	PKP017	7	ne~	ne~	ne~	PROPN	Interrupted=Yes
7-7	PKP017	7	dopo	dopo	dopo	ADP	_
7-8	PKP017	7	ne	ne	ne	PRON	_
7-9	PKP017	7	vogliamo	vogliamo	volere	AUX	_
7-10	PKP017	7	dare	dare	dare	VERB	_
7-11	PKP017	7	[un	un	uno	DET	_
7-12	PKP017	7	pe]zzo	pezzo	pezzo	NOUN	_
7-13	PKP017	7	a	a	a	ADP	_
7-14	PKP017	7	tua	tua	tuo	DET	_
7-15	PKP017	7	mamma	mamma	mamma	NOUN	_
8-0	PKP022	8	[MA]	ma	ma	CCONJ	Volume=high
9-0	PKP022	9	no	no	no	INTJ	_
9-1	PKP022	9	no	no	no	ADV	_
9-2	PKP022	9	io	io	io	PRON	_
9-3	PKP022	9	non	non	non	ADV	_
9-4	PKP022	9	ne	ne	ne	PRON	_
9-5	PKP022	9	voglio	voglio	volere	VERB	_
10-0	PKP022	10	guarda	guarda	guarda	NOUN	_
10-1	PKP022	10	ho	ho	avere	AUX	_
10-2	PKP022	10	portato	portato	portare	VERB	_
