token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	PKP052	0	{ride}	{ride}	_	X	_
1-0	PKP043	1	>quanto	quanto	quanto	ADV	_
1-1	PKP043	1	ci	ci	ci	PRON	_
1-2	PKP043	1	metton~	metton~	metton~	PROPN	Interrupted=Yes
1-3	PKP043	1	le	le	il	DET	_
1-4	PKP043	1	cose	cose	cosa	NOUN	_
1-5	PKP043	1	a	a	a	ADP	_
1-6	PKP043	1	cuocersi<	cuocersi	cuocerso	NOUN	_
2-0	PKP052	2	cosa	cosa	cosa	PRON	_
3-0	PKP043	3	>e:	e	e	CCONJ	_
3-1	PKP043	3	i	i	il	DET	_
3-2	PKP043	3	cosi	cosi	coso	NOUN	_
3-3	PKP043	3	a:	a	a	ADP	_
3-4	PKP043	3	vegetariani<	vegetariani	vegetariano	NOUN	_
4-0	PKP052	4	poco	poco	poco	ADV	_
4-1	PKP052	4	{P}	{P}	_	_	_
4-2	PKP052	4	se	se	se	SCONJ	_
4-3	PKP052	4	mi	mi	mi	PRON	_
4-4	PKP052	4	stai	stai	stare	VERB	_
4-5	PKP052	4	facendo	facendo	fare	VERB	_
4-6	PKP052	4	xxx	x	x	SYM	_
5-0	PKP053	5	cosi	cosi	cosare	VERB	_
5-1	PKP053	5	con	con	con	ADP	_
5-2	PKP053	5	la	la	il	DET	_
5-3	PKP053	5	cipolla	cipolla	cipolla	NOUN	_
6-0	PKP043	6	spero	spero	sperare	VERB	_
6-1	PKP043	6	che	che	che	SCONJ	_
6-2	PKP043	6	non	non	non	ADV	_
6-3	PKP043	6	ci	ci	ci	PRON	_
6-4	PKP043	6	sia	sia	essere	AUX	_
6-5	PKP043	6	cipolla	cipolla	cipollo	ADJ	_
6-6	PKP043	6	che	che	che	SCONJ	_
6-7	PKP043	6	se	se	se	SCONJ	_
6-8	PKP043	6	no:	no	no	ADV	_
7-0	PKP053	7	che	che	che	SCONJ	_
7-1	PKP053	7	sentivo	sentivo	sentire	VERB	_
7-2	PKP053	7	una	una	uno	DET	_
7-3	PKP053	7	puzza	puzza	puzza	NOUN	_
7-4	PKP053	7	di	di	di	ADP	_
7-5	PKP053	7	no:	no	no	ADV	_
8-0	PKP052	8	[noo:	noo	noo	NOUN	_
8-1	PKP052	8	è	è	essere	AUX	_
8-2	PKP052	8	un	un	uno	DET	_
8-3	PKP052	8	sugo	sugo	sugo	NOUN	_
8-4	PKP052	8	mio]	mio	mio	DET	_
9-0	PKP043	9	[noo:	noo	noo	NOUN	_
9-1	PKP043	9	è	è	essere	AUX	_
9-2	PKP043	9	un	un	uno	DET	_
9-3	PKP043	9	(sugo)della	sugodella	sugodello	ADJ	_
9-4	PKP043	9	mamma]	mamma	mamma	NOUN	_
10-0	PKP053	10	u:hm	uhm	uhm	NOUN	_
10-1	PKP053	10	che	che	che	PRON	_
10-2	PKP053	10	cos'	cos'	cos'	PRON	SpaceAfter=No
10-3	PKP053	10	è	è	essere	AUX	_
11-0	PKP052	11	[minestrone]	minestrone	minestrona	NOUN	_
12-0	PKP043	12	[minestrone]	minestrone	minestrona	NOUN	_
13-0	PKP053	13	>tu	tu	tu	PRON	_
13-1	PKP053	13	l'	l'	il	PRON	SpaceAfter=No
13-2	PKP053	13	hai	hai	avere	AUX	_
13-3	PKP053	13	fatto<	fatto	fare	VERB	_
14-0	PKP052	14	[no:	no	no	ADV	_
14-1	PKP052	14	surgelato]	surgelato	surgelare	VERB	_
15-0	PKP043	15	[xxx	x	x	SYM	_
15-1	PKP043	15	surgelato]	surgelato	surgelare	VERB	_
16-0	PKP052	16	come	come	come	SCONJ	_
16-1	PKP052	16	li	li	li	PRON	_
16-2	PKP052	16	stai	stai	stare	VERB	_
16-3	PKP052	16	facendo	facendo	fare	VERB	_
16-4	PKP052	16	{P}	{P}	_	_	_
16-5	PKP052	16	con	con	con	ADP	_
16-6	PKP052	16	il	il	il	DET	_
16-7	PKP052	16	fornetto	fornetto	fornetto	NOUN	_
16-8	PKP052	16	oppure	oppure	oppure	CCONJ	_
17-0	PKP043	17	~ornetto	~ornetto	~ornetto	NOUN	Interrupted=Yes
18-0	PKP052	18	e:	e	e	CCONJ	_
18-1	PKP052	18	leggi	leggi	legge	VERB	_
18-2	PKP052	18	cinque	cinque	cinque	NUM	_
18-3	PKP052	18	minuti	minuti	minuto	NOUN	_
18-4	PKP052	18	dieci	dieci	dieci	NUM	_
18-5	PKP052	18	minuti	minuti	minuto	NOUN	_
18-6	PKP052	18	sono	sono	essere	AUX	_
18-7	PKP052	18	pronte	pronte	pronto	ADJ	_
19-0	PKP043	19	[xxx]	x	decimo	ADJ	_
20-0	PKP052	20	o	o	o	CCONJ	_
20-1	PKP052	20	microonde	microonde	microondere	VERB	_
20-2	PKP052	20	o	o	o	CCONJ	_
20-3	PKP052	20	coi	coi	_	_	_
20-3a	_	_	_	con	con	ADP	_
20-3b	_	_	_	i	il	DET	_
20-4	PKP052	20	(piastri)	piastri	piastro	NOUN	_
21-0	PKP043	21	ma	ma	ma	CCONJ	_
21-1	PKP043	21	queste	queste	questo	PRON	_
21-2	PKP043	21	da	da	da	ADP	_
21-3	PKP043	21	quanto	quanto	quanto	PRON	_
21-4	PKP043	21	stanno	stanno	stare	VERB	_
21-5	PKP043	21	da	da	da	ADP	_
21-6	PKP043	21	(sei)	sei	sei	NUM	_
22-0	PKP052	22	°si°	si	si	PRON	Volume=low
23-0	PKP052	23	[xxx	x	x	SYM	_
23-1	PKP052	23	hai	hai	avere	AUX	_
23-2	PKP052	23	visto	visto	vedere	VERB	_
23-3	PKP052	23	quel	quel	quello	DET	_
23-4	PKP052	23	xxx	x	x	NOUN	_
23-5	PKP052	23	lì]	lì	lì	ADV	_
24-0	PKP053	24	[xx	x	x	SYM	_
24-1	PKP053	24	dove	dove	dove	ADV	_
24-2	PKP053	24	te	te	te	PRON	_
24-3	PKP053	24	ne	ne	ne	PRON	_
24-4	PKP053	24	sei	sei	essere	AUX	_
24-5	PKP053	24	andata	andata	andare	VERB	_
24-6	PKP053	24	a	a	a	ADP	_
24-7	PKP053	24	trovare	trovare	trovare	VERB	_
24-8	PKP053	24	xx]	x	x	SYM	_
25-0	PKP052	25	si:	si	si	PRON	_
25-1	PKP052	25	perché	perché	perché	SCONJ	_
25-2	PKP052	25	xxx	x	x	SYM	_
25-3	PKP052	25	{P}	{P}	_	_	_
25-4	PKP052	25	devo	devo	dovere	AUX	_
25-5	PKP052	25	spedire	spedire	spedire	VERB	_
26-0	PKP043	26	questa	questa	questo	PRON	_
27-0	PKP053	27	°che	che	che	SCONJ	Volume=low
27-1	PKP053	27	non	non	non	ADV	Volume=low
27-2	PKP053	27	ci	ci	ci	PRON	Volume=low
27-3	PKP053	27	andavano	andavano	andare	VERB	Volume=low
27-4	PKP053	27	le	le	il	DET	Volume=low
27-5	PKP053	27	pa(ste)	paste	pasta	NOUN	Volume=low
