token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	BOR019	0	iniziamo	iniziamo	iniziare	VERB	_
1-0	BOR019	1	allora	allora	allora	ADV	_
1-1	BOR019	1	e:::hm	ehm	ehm	NOUN	_
1-2	BOR019	1	dove	dove	dove	ADV	_
1-3	BOR019	1	vivi?	vivi	vivo	ADJ	Intonation=rising
2-0	BOI069	2	allora	allora	allora	ADV	_
2-1	BOI069	2	io	io	io	PRON	_
2-2	BOI069	2	vivo	vivo	vivo	ADJ	_
2-3	BOI069	2	ad	ad	a	ADP	_
2-4	BOI069	2	anzola	anzola	anzola	NOUN	_
2-5	BOI069	2	dell'	dell'	_	_	SpaceAfter=No
2-5a	_	_	_	di	di	ADP	_
2-5b	_	_	_	l'	il	DET	_
2-6	BOI069	2	emilia	emilia	emilia	NOUN	_
2-7	BOI069	2	che	che	che	PRON	_
2-8	BOI069	2	è:	è	essere	AUX	_
2-9	BOI069	2	in	in	in	ADP	_
2-10	BOI069	2	provincia	provincia	provincia	NOUN	_
2-11	BOI069	2	di	di	di	ADP	_
2-12	BOI069	2	bologna,	bologna	bologna	NOUN	Intonation=weakly_rising
3-0	BOR019	3	okay	okay	okay	NOUN	_
4-0	BOR019	4	quanto	quanto	quanto	ADV	_
4-1	BOR019	4	dista	dista	distare	VERB	_
4-2	BOR019	4	da	da	da	ADP	_
4-3	BOR019	4	bologna?	bologna	bologna	NOUN	Intonation=rising
5-0	BOI069	5	m:h	mh	mh	NOUN	_
5-1	BOI069	5	in	in	in	ADP	_
5-2	BOI069	5	macchina:	macchina	macchina	NOUN	_
5-3	BOI069	5	una	una	uno	DET	_
5-4	BOI069	5	ventina	ventina	ventina	NOUN	_
5-5	BOI069	5	di	di	di	ADP	_
5-6	BOI069	5	minuti	minuti	minuto	NOUN	_
5-7	BOI069	5	circa	circa	circa	ADV	_
6-0	BOR019	6	°okay°	okay	okay	NOUN	Volume=low
6-1	BOR019	6	quindi	quindi	quindi	ADV	_
6-2	BOR019	6	abbastanza	abbastanza	abbastanza	ADV	_
6-3	BOR019	6	vi[cino]	vicino	vicino	ADV	_
7-0	BOI069	7	[sì	sì	sì	ADV	_
7-1	BOI069	7	sì	sì	sì	INTJ	_
7-2	BOI069	7	sì]	sì	sì	INTJ	_
7-3	BOI069	7	sì	sì	sì	INTJ	_
7-4	BOI069	7	sì	sì	sì	INTJ	_
8-0	BOR019	8	okay,	okay	okay	NOUN	Intonation=weakly_rising
8-1	BOR019	8	e	e	e	CCONJ	_
8-2	BOR019	8	che	che	che	SCONJ	_
8-3	BOR019	8	lavoro	lavoro	lavoro	NOUN	_
8-4	BOR019	8	fai?	fai	fare	VERB	Intonation=rising
9-0	BOI069	9	e:h	eh	eh	INTJ	_
9-1	BOI069	9	manutenzione	manutenzione	manutenzione	NOUN	_
9-2	BOI069	9	di	di	di	ADP	_
9-3	BOI069	9	impianti	impianti	impianto	NOUN	_
9-4	BOI069	9	fotovoltaici	fotovoltaici	fotovoltaico	ADJ	_
