token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOI116	0	[e:]	e	e	CCONJ	_
1-0	TOI117	1	[i~]	i~	i~	PROPN	Interrupted=Yes
1-1	TOI117	1	io	io	io	PRON	_
1-2	TOI117	1	lo	lo	lo	PRON	_
1-3	TOI117	1	dico	dico	dire	VERB	_
1-4	TOI117	1	in	in	in	ADP	_
1-5	TOI117	1	dialetto	dialetto	dialetto	NOUN	_
2-0	TOI117	2	e	e	e	CCONJ	_
2-1	TOI117	2	poi	poi	poi	ADV	_
2-2	TOI117	2	glielo	glielo	_	_	_
2-2a	_	_	_	glie	gli	PRON	_
2-2b	_	_	_	lo	il	DET	_
2-3	TOI117	2	traduco	traduco	traduco	NOUN	_
3-0	TOR001	3	[eh	eh	eh	INTJ	_
3-1	TOR001	3	eh]	eh	eh	INTJ	_
4-0	TOI117	4	[quand'	quand'	quando	DET	SpaceAfter=No
4-1	TOI117	4	era]n	eran	eran	NOUN	_
4-2	TOI117	4	piccoli	piccoli	piccolo	ADJ	_
4-3	TOI117	4	adesso	adesso	adesso	ADV	_
4-4	TOI117	4	oramai	oramai	oramai	ADV	_
5-0	TOI116	5	sì	sì	sì	ADV	_
5-1	TOI116	5	ma	ma	ma	CCONJ	_
5-2	TOI116	5	a	a	a	ADP	_
5-3	TOI116	5	loro	loro	loro	PRON	_
5-4	TOI116	5	piace	piace	piacere	VERB	_
5-5	TOI116	5	è	è	essere	AUX	_
5-6	TOI116	5	un	un	uno	DET	_
5-7	TOI116	5	po'	po'	poco	ADV	_
5-8	TOI116	5	un	un	uno	DET	_
5-9	TOI116	5	divertimento	divertimento	divertimento	NOUN	_
5-10	TOI116	5	per	per	per	ADP	_
5-11	TOI116	5	loro	loro	loro	PRON	_
5-12	TOI116	5	provare	provare	provare	VERB	_
5-13	TOI116	5	a	a	a	ADP	_
5-14	TOI116	5	ripetere	ripetere	ripetere	VERB	_
6-0	TOI116	6	e	e	e	CCONJ	_
6-1	TOI116	6	tutto	tutto	tutto	PRON	_
6-2	TOI116	6	sommato	sommato	sommare	VERB	_
6-3	TOI116	6	riescono:	riescono	riuscire	VERB	_
6-4	TOI116	6	abbastanza	abbastanza	abbastanza	ADV	_
6-5	TOI116	6	bene	bene	bene	ADV	_
7-0	TOI116	7	cioé	cioé	cioè	NOUN	_
7-1	TOI116	7	per~	per~	per~	PROPN	Interrupted=Yes
8-0	TOI116	8	però	però	però	ADV	_
8-1	TOI116	8	come	come	come	ADV	_
8-2	TOI116	8	dico	dico	dire	VERB	_
8-3	TOI116	8	per	per	per	ADP	_
8-4	TOI116	8	loro	loro	loro	PRON	_
8-5	TOI116	8	è	è	essere	AUX	_
8-6	TOI116	8	forse	forse	forse	ADV	_
8-7	TOI116	8	quasi	quasi	quasi	ADV	_
8-8	TOI116	8	un	un	uno	DET	_
8-9	TOI116	8	gioco	gioco	gioco	NOUN	_
8-10	TOI116	8	n[o]?	no	no	ADV	Intonation=rising
9-0	TOR001	9	[eh]	eh	eh	INTJ	_
9-1	TOR001	9	eh	eh	eh	INTJ	_
10-0	TOI116	10	è	è	essere	AUX	_
10-1	TOI116	10	un	un	uno	DET	_
10-2	TOI116	10	gio~	gio~	gio~	PROPN	Interrupted=Yes
10-3	TOI116	10	lo	lo	il	DET	_
10-4	TOI116	10	capi~	capi~	capi~	PROPN	Interrupted=Yes
10-5	TOI116	10	cioè	cioè	cioé	ADV	_
10-6	TOI116	10	cioè	cioè	cioè	ADV	_
10-7	TOI116	10	alle	alle	_	_	_
10-7a	_	_	_	a	a	ADP	_
10-7b	_	_	_	le	il	DET	_
10-8	TOI116	10	volte	volte	volta	NOUN	_
11-0	TOI116	11	ma	ma	ma	CCONJ	_
11-1	TOI116	11	lo	lo	il	DET	_
11-2	TOI116	11	capi~	capi~	capi~	PROPN	Interrupted=Yes
12-0	TOI116	12	sì	sì	sì	ADV	_
12-1	TOI116	12	pro~	pro~	pro~	PROPN	Interrupted=Yes
12-2	TOI116	12	allora	allora	allora	ADV	_
12-3	TOI116	12	provano	provano	prore	VERB	_
12-4	TOI116	12	a	a	a	ADP	_
12-5	TOI116	12	tradurre	tradurre	tradurre	VERB	_
12-6	TOI116	12	a	a	a	ADP	_
12-7	TOI116	12	vedere	vedere	vedere	VERB	_
12-8	TOI116	12	se	se	se	SCONJ	_
12-9	TOI116	12	evidentemente	evidentemente	evidentemente	ADV	_
12-10	TOI116	12	hanno	hanno	avere	AUX	_
12-11	TOI116	12	capito	capito	capire	VERB	_
12-12	TOI116	12	proprio	proprio	proprio	ADV	_
12-13	TOI116	12	no	no	no	ADV	_
12-14	TOI116	12	non	non	non	ADV	_
12-15	TOI116	12	sembra	sembra	sembrare	VERB	_
12-16	TOI116	12	[però:]	però	però	ADV	_
13-0	TOR001	13	{ride}	{ride}	_	X	_
14-0	TOR002	14	{ride}	{ride}	_	X	_
15-0	TOI117	15	[ma	ma	ma	CCONJ	_
15-1	TOI117	15	io	io	io	PRON	_
15-2	TOI117	15	tradu]co	traduco	traducare	VERB	_
15-3	TOI117	15	xx	x	x	SYM	_
16-0	TOI116	16	poche	poche	poco	DET	_
16-1	TOI116	16	co[se	cose	cosa	NOUN	_
16-2	TOI116	16	insomma]	insomma	insomma	ADV	_
17-0	TOI117	17	[t'	t'	to	PRON	SpaceAfter=No
17-1	TOI117	17	ai	ai	_	_	_
17-1a	_	_	_	a	a	ADP	_
17-1b	_	_	_	i	il	DET	_
17-2	TOI117	17	capì	capì	capì	NOUN	_
17-3	TOI117	17	co	co	co	ADJ	_
17-4	TOI117	17	che]	che	che	PRON	_
17-5	TOI117	17	j'	j'	je	ADV	SpaceAfter=No
17-6	TOI117	17	o	o	o	CCONJ	_
17-7	TOI117	17	dicc	dicc	diccetera	ADV	_
18-0	TOI116	18	eh	eh	eh	INTJ	_
19-0	TOI117	19	x	x	x	SYM	_
19-1	TOI117	19	hai	hai	avere	AUX	_
19-2	TOI117	19	capito	capito	capere	VERB	_
19-3	TOI117	19	cosa	cosa	cosa	PRON	_
19-4	TOI117	19	ho	ho	avere	AUX	_
19-5	TOI117	19	detto?	detto	dire	VERB	Intonation=rising
20-0	TOR002	20	{ride}	{ride}	_	X	_
21-0	TOR001	21	{ride}	{ride}	_	X	_
22-0	TOR001	22	allora	allora	allora	ADV	_
22-1	TOR001	22	vi	vi	vi	ADV	_
22-2	TOR001	22	facci[o	faccio	fare	VERB	_
22-3	TOR001	22	compil]are:	compilare	compilare	VERB	_
22-4	TOR001	22	mh	mh	mh	ADV	_
22-5	TOR001	22	[la	la	il	DET	_
22-6	TOR001	22	liberatoria]	liberatoria	liberatoria	NOUN	_
23-0	TOI117	23	[allora]	allora	allora	ADV	_
24-0	TOI117	24	[sì	sì	sì	ADV	_
24-1	TOI117	24	la	la	il	DET	_
24-2	TOI117	24	la	la	la	DET	_
24-3	TOI117	24	la	la	il	DET	_
24-4	TOI117	24	l~	l~	l~	PROPN	Interrupted=Yes
24-5	TOI117	24	sì	sì	sì	ADV	_
24-6	TOI117	24	l'	l'	lo	PRON	SpaceAfter=No
24-7	TOI117	24	ha	ha	avere	AUX	_
24-8	TOI117	24	detto	detto	dire	VERB	_
24-9	TOI117	24	l'	l'	lo	PRON	SpaceAfter=No
24-10	TOI117	24	ha	ha	avere	AUX	_
24-11	TOI117	24	detto	detto	dire	VERB	_
24-12	TOI117	24	e	e	e	CCONJ	_
24-13	TOI117	24	comunque	comunque	comunque	ADV	_
24-14	TOI117	24	se]	se	se	SCONJ	_
24-15	TOI117	24	uno	uno	uno	PRON	_
24-16	TOI117	24	dice	dice	dire	VERB	_
24-17	TOI117	24	nomi,	nomi	nome	NOUN	Intonation=weakly_rising
25-0	TOI116	25	[oh	oh	oh	ADV	_
25-1	TOI116	25	aspetta	aspetta	aspettare	VERB	_
25-2	TOI116	25	che	che	che	SCONJ	_
25-3	TOI116	25	mi	mi	mi	PRON	_
25-4	TOI116	25	metto	metto	mettere	VERB	_
25-5	TOI116	25	solo	solo	solo	ADV	_
25-6	TOI116	25	gli	gli	il	DET	_
25-7	TOI116	25	occhiali]	occhiali	occhiale	NOUN	_
26-0	TOR001	26	[vi	vi	vi	ADV	_
26-1	TOR001	26	ho	ho	avere	AUX	_
26-2	TOR001	26	detto	detto	dire	VERB	_
26-3	TOR001	26	già	già	già	ADV	_
26-4	TOR001	26	tutto]	tutto	tutto	PRON	_
27-0	TOI116	27	senza	senza	senza	ADP	_
27-1	TOI116	27	occh[iali]	occhiali	occhiale	NOUN	_
28-0	TOI117	28	[cognomi],	cognomi	cognome	NOUN	Intonation=weakly_rising
29-0	TOR001	29	[li	li	li	PRON	_
29-1	TOR001	29	togliamo	togliamo	toglare	VERB	_
29-2	TOR001	29	t]ogliamo	togliamo	toglare	VERB	_
29-3	TOR001	29	tut[to]	tutto	tutto	PRON	_
30-0	TOI117	30	[le]	le	il	DET	_
30-1	TOI117	30	to~	to~	to~	PROPN	Interrupted=Yes
30-2	TOI117	30	eh	eh	eh	INTJ	_
30-3	TOI117	30	si	si	si	PRON	_
30-4	TOI117	30	ah	ah	ah	INTJ	_
30-5	TOI117	30	vabbè	vabbè	vabbè	INTJ	_
30-6	TOI117	30	quello	quello	quello	PRON	_
30-7	TOI117	30	sì	sì	sì	INTJ	_
30-8	TOI117	30	[ah	ah	ah	INTJ	_
30-9	TOI117	30	sì	sì	sì	INTJ	_
30-10	TOI117	30	che	che	che	SCONJ	_
30-11	TOI117	30	ness]uno	nessuno	nessuno	PRON	_
30-12	TOI117	30	venga	venga	venere	VERB	_
30-13	TOI117	30	xx	x	x	SYM	_
30-14	TOI117	30	{ride}	{ride}	_	_	_
31-0	TOR001	31	[sì	sì	sì	ADV	_
31-1	TOR001	31	sì	sì	sì	INTJ	_
31-2	TOR001	31	sì	sì	sì	INTJ	_
31-3	TOR001	31	sì]	sì	sì	INTJ	_
32-0	TOR001	32	no	no	no	INTJ	_
32-1	TOR001	32	no	no	no	ADV	_
32-2	TOR001	32	s[ì	sì	sì	INTJ	_
32-3	TOR001	32	sì]	sì	sì	INTJ	_
33-0	TOI117	33	[ci	ci	ci	PRON	_
33-1	TOI117	33	ma]ncherebbe	mancherebbe	manchare	VERB	_
33-2	TOI117	33	eh	eh	eh	INTJ	_
34-0	TOR001	34	allora	allora	allora	ADV	_
34-1	TOR001	34	questa	questa	questo	PRON	_
35-0	TOR001	35	la	la	il	DET	_
35-1	TOR001	35	penna	penna	penna	NOUN	_
35-2	TOR001	35	è	è	essere	AUX	_
35-3	TOR001	35	qui	qui	qui	ADV	_
36-0	TOI117	36	(grazie)	grazie	grazie	NOUN	_
37-0	TOR001	37	allora	allora	allora	ADV	_
37-1	TOR001	37	appunto	appunto	appunto	ADV	_
37-2	TOR001	37	nella	nella	_	_	_
37-2a	_	_	_	in	in	ADP	_
37-2b	_	_	_	la	il	DET	_
37-3	TOR001	37	prima	prima	primo	ADJ	_
37-4	TOR001	37	parte	parte	parte	NOUN	_
37-5	TOR001	37	si	si	si	PRON	_
37-6	TOR001	37	dice:	dice	dire	VERB	_
37-7	TOR001	37	che	che	che	SCONJ	_
37-8	TOR001	37	registriamo	registriamo	registrare	VERB	_
37-9	TOR001	37	e	e	e	CCONJ	_
37-10	TOR001	37	che	che	che	SCONJ	_
37-11	TOR001	37	conserviamo	conserviamo	conservare	VERB	_
