token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TO999	0	<allora:::>	allora	allora	ADV	_
0-1	TO999	0	carla	carla	carla	NOUN	_
0-2	TO999	0	ti	ti	ti	PRON	_
0-3	TO999	0	chiedo,	chiedo	chiedere	VERB	Intonation=weakly_rising
1-0	TO999	1	come	come	come	ADV	_
1-1	TO999	1	è	è	essere	AUX	_
1-2	TO999	1	fatta	fatta	fare	VERB	_
1-3	TO999	1	casa	casa	casa	NOUN	_
1-4	TO999	1	tua.	tua	tuo	DET	Intonation=falling
2-0	TO083	2	come	come	come	ADV	_
2-1	TO083	2	è	è	essere	AUX	_
2-2	TO083	2	fatta	fatta	fare	VERB	_
2-3	TO083	2	casa	casa	casa	NOUN	_
2-4	TO083	2	mia,	mia	mio	DET	Intonation=weakly_rising
2-5	TO083	2	allora	allora	allora	ADV	_
2-6	TO083	2	i	i	il	DET	_
2-7	TO083	2	miei	miei	mio	PRON	_
2-8	TO083	2	sono	sono	essere	AUX	_
2-9	TO083	2	divorziati	divorziati	divorziare	VERB	_
2-10	TO083	2	quindi	quindi	quindi	ADV	_
2-11	TO083	2	ti	ti	ti	PRON	_
2-12	TO083	2	descrivo	descrivo	descrire	VERB	_
2-13	TO083	2	casa	casa	casa	NOUN	_
2-14	TO083	2	di	di	di	ADP	_
2-15	TO083	2	mia	mia	mio	DET	_
2-16	TO083	2	madre	madre	madre	NOUN	_
2-17	TO083	2	va	va	andare	VERB	_
2-18	TO083	2	bene?	bene	bene	ADV	Intonation=rising
3-0	TO083	3	è:	è	essere	AUX	_
3-1	TO083	3	al	al	_	_	_
3-1a	_	_	_	a	a	ADP	_
3-1b	_	_	_	il	il	DET	_
3-2	TO083	3	primo	primo	primo	ADJ	_
3-3	TO083	3	piano.	piano	piano	NOUN	Intonation=falling
4-0	TO083	4	l'	l'	il	DET	Truncated=Yes
4-1	TO083	4	entrata	entrata	entrata	NOUN	_
4-2	TO083	4	è	è	essere	AUX	_
4-3	TO083	4	piuttosto	piuttosto	piuttosto	ADV	_
4-4	TO083	4	losca.	losca	losco	ADJ	Intonation=falling
5-0	TO083	5	ci	ci	ci	PRON	_
5-1	TO083	5	sono	sono	essere	VERB	_
5-2	TO083	5	delle	delle	_	_	_
5-2a	_	_	_	di	di	ADP	_
5-2b	_	_	_	le	il	DET	_
5-3	TO083	5	scale	scale	scala	NOUN	_
5-4	TO083	5	un	un	uno	DET	_
5-5	TO083	5	po'	po'	poco	ADV	_
5-6	TO083	5	sdrucciole:	sdrucciole	sdrucciole	ADJ	_
5-7	TO083	5	e	e	e	CCONJ	_
5-8	TO083	5	molto	molto	molto	ADV	_
5-9	TO083	5	buie	buie	buio	ADJ	_
5-10	TO083	5	è	è	essere	AUX	_
5-11	TO083	5	bruttissimo.	bruttissimo	brutto	ADJ	Intonation=falling
6-0	TO083	6	e	e	e	CCONJ	_
6-1	TO083	6	dici	dici	dire	VERB	_
6-2	TO083	6	oddio	oddio	oddio	NOUN	_
6-3	TO083	6	dove	dove	dove	ADV	_
6-4	TO083	6	sto	sto	stare	AUX	_
6-5	TO083	6	entrando?	entrando	entrare	VERB	Intonation=rising
7-0	TO083	7	poi	poi	poi	ADV	_
7-1	TO083	7	entri,	entri	entrare	VERB	Intonation=weakly_rising
8-0	TO083	8	e	e	e	CCONJ	_
8-1	TO083	8	è	è	essere	AUX	_
8-2	TO083	8	bellissima.	bellissima	belle	ADJ	Intonation=falling
9-0	TO083	9	perché	perché	perché	SCONJ	_
9-1	TO083	9	è	è	essere	AUX	_
9-2	TO083	9	molto	molto	molto	ADV	_
9-3	TO083	9	luminosa,	luminosa	luminoso	ADJ	Intonation=weakly_rising
10-0	TO083	10	c'	c'	ci	PRON	Truncated=Yes
10-1	TO083	10	è	è	essere	VERB	_
10-2	TO083	10	il	il	il	DET	_
10-3	TO083	10	parquet	parquet	parquet	NOUN	_
10-4	TO083	10	bello,	bello	bello	ADJ	Intonation=weakly_rising
11-0	TO083	11	c'	c'	ci	PRON	Truncated=Yes
11-1	TO083	11	è::	è	essere	VERB	_
11-2	TO083	11	una:	una	uno	DET	ProsodicLink=Yes
11-3	TO083	11	m:h	mh	mh	NOUN	_
11-4	TO083	11	una	una	uno	DET	_
11-5	TO083	11	cucina	cucina	cucina	NOUN	_
11-6	TO083	11	unita	unita	unere	VERB	_
11-7	TO083	11	alla	alla	_	_	_
11-7a	_	_	_	a	a	ADP	_
