token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOI035	0	#proprio	proprio	proprio	ADV	Language=NO_ISO_CODE
0-1	TOI035	0	una	una	uno	DET	_
0-2	TOI035	0	turineisa	turineisa	turineisa	NOUN	_
1-0	TOR001	1	{ride}	{ride}	_	X	_
2-0	TOR001	2	u~	u~	u~	PROPN	Interrupted=Yes
2-1	TOR001	2	u:na	una	uno	PRON	_
2-2	TOR001	2	delle	delle	_	_	_
2-2a	_	_	_	di	di	ADP	_
2-2b	_	_	_	le	il	DET	_
2-3	TOR001	2	pochissime	pochissime	pochissima	NOUN	_
3-0	TOR003	3	°mhmh°	mhmh	mhmh	NOUN	Volume=low
4-0	TOI035	4	[mh	mh	mh	INTJ	_
4-1	TOI035	4	è	è	essere	AUX	_
4-2	TOI035	4	vero]	vero	vero	ADJ	_
5-0	TOR001	5	[e:::h]	eh	eh	INTJ	_
6-0	TOR001	6	{ride}	{ride}	_	X	_
7-0	TOR003	7	°eh	eh	eh	INTJ	Volume=low
7-1	TOR003	7	infatti°	infatti	infatti	ADV	Volume=low
8-0	TOR001	8	in	in	in	ADP	_
8-1	TOR001	8	quale	quale	quale	DET	_
8-2	TOR001	8	città	città	città	NOUN	_
8-3	TOR001	8	vive?	vive	vivere	VERB	Intonation=rising
9-0	TOR001	9	vivi?	vivi	vivo	ADJ	Intonation=rising
10-0	TOI035	10	adesso	adesso	adesso	ADV	_
10-1	TOI035	10	vivo:	vivo	vivo	ADJ	_
10-2	TOI035	10	fuori	fuori	fuori	ADP	_
10-3	TOI035	10	italia	italia	italia	NOUN	_
11-0	TOI035	11	vivo	vivo	vivo	ADJ	_
11-1	TOI035	11	in	in	in	ADP	_
11-2	TOI035	11	israele	israele	israele	NOUN	_
12-0	TOR001	12	okay	okay	okay	NOUN	_
13-0	TOR001	13	allora	allora	allora	ADV	_
13-1	TOR001	13	facciamo	facciamo	fare	VERB	_
13-2	TOR001	13	{P}	{P}	_	_	_
13-3	TOR001	13	giro	giro	giro	ADP	_
13-4	TOR001	13	la	la	il	DET	_
13-5	TOR001	13	domanda	domanda	domanda	NOUN	_
14-0	TOR001	14	quando	quando	quando	SCONJ	_
14-1	TOR001	14	vivevi	vivevi	vivevere	VERB	_
14-2	TOR001	14	a	a	a	ADP	_
14-3	TOR001	14	torino?	torino	torino	NOUN	Intonation=rising
15-0	TOR001	15	i:n::	in	in	ADP	_
15-1	TOR001	15	in	in	in	ADP	_
15-2	TOR001	15	quale	quale	quale	DET	_
15-3	TOR001	15	quartiere	quartiere	quartiere	NOUN	_
15-4	TOR001	15	vivevi?	vivevi	vivere	AUX	Intonation=rising
16-0	TOI035	16	vivevo	vivevo	vivere	VERB	_
16-1	TOI035	16	come	come	come	SCONJ	_
16-2	TOI035	16	si	si	si	PRON	_
16-3	TOI035	16	chiama	chiama	chiamare	VERB	_
17-0	TOI035	17	corso	corso	correre	VERB	_
17-1	TOI035	17	da[nte]?	dante	dante	ADP	Intonation=rising
18-0	TOR003	18	[e::h	eh	eh	INTJ	_
