token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TOR004	0	okay:,	okay	okay	NOUN	Intonation=weakly_rising
0-1	TOR004	0	{P}	{P}	_	_	_
0-2	TOR004	0	pronti	pronti	pronto	ADJ	_
0-3	TOR004	0	>via<	via	via	ADV	_
1-0	TOI055	1	sì	sì	sì	ADV	_
1-1	TOI055	1	son	son	essere	AUX	_
1-2	TOI055	1	pronto	pronto	pronto	ADJ	_
2-0	TOR004	2	okay	okay	okay	NOUN	_
2-1	TOR004	2	registriamo	registriamo	registrare	VERB	_
3-0	TOR004	3	allora	allora	allora	ADV	_
3-1	TOR004	3	ciao,	ciao	ciao	NOUN	Intonation=weakly_rising
4-0	TOI055	4	ciao	ciao	ciao	NOUN	_
5-0	TOR004	5	grazie	grazie	grazie	NOUN	_
5-1	TOR004	5	per	per	per	ADP	_
5-2	TOR004	5	aver	aver	avere	AUX	_
5-3	TOR004	5	deciso	deciso	decidere	VERB	_
5-4	TOR004	5	di	di	di	ADP	_
5-5	TOR004	5	farti	farti	farto	NOUN	_
5-6	TOR004	5	intervistare,	intervistare	intervistare	VERB	Intonation=weakly_rising
6-0	TOI055	6	prego	prego	preere	VERB	_
6-1	TOI055	6	ci	ci	ci	PRON	_
6-2	TOI055	6	mancherebbe	mancherebbe	manchare	VERB	_
7-0	TOR004	7	come	come	come	SCONJ	_
7-1	TOR004	7	ti	ti	ti	PRON	_
7-2	TOR004	7	chiami?	chiami	chiamare	VERB	Intonation=rising
8-0	TOI055	8	matteo	matteo	matteo	NOUN	_
9-0	TOR004	9	quanti	quanti	quanto	DET	_
9-1	TOR004	9	anni	anni	anno	NOUN	_
9-2	TOR004	9	hai?	hai	avere	VERB	Intonation=rising
10-0	TOI055	10	trentasei	trentasei	trentasei	NUM	_
11-0	TOR004	11	quindi	quindi	quindi	ADV	_
11-1	TOR004	11	sei	sei	essere	AUX	_
11-2	TOR004	11	nato?	nato	nare	VERB	Intonation=rising
12-0	TOI055	12	i:l	il	il	DET	_
