token_id	speaker	tu_id	span	form	lemma	upos	jefferson_feats
0-0	TO084	0	prima	prima	prima	ADV	_
0-1	TO084	0	dimmi	dimmi	dire	VERB	_
0-2	TO084	0	di	di	di	ADP	_
0-3	TO084	0	che	che	che	DET	_
0-4	TO084	0	cosa,	cosa	cosa	NOUN	Intonation=weakly_rising
1-0	TO999	1	carlotta	carlotta	carlotta	NOUN	_
1-1	TO999	1	allora	allora	allora	ADV	_
1-2	TO999	1	cominciamo	cominciamo	cominciare	VERB	_
1-3	TO999	1	dalle	dalle	_	_	_
1-3a	_	_	_	da	da	ADP	_
1-3b	_	_	_	le	il	DET	_
1-4	TO999	1	cose	cose	cosa	NOUN	_
1-5	TO999	1	importanti,	importanti	importante	ADJ	Intonation=weakly_rising
1-6	TO999	1	{P}	{P}	_	_	_
1-7	TO999	1	quanti	quanti	quanto	DET	_
1-8	TO999	1	hanni	hanni	hanno	NOUN	_
1-9	TO999	1	hai?	hai	avere	VERB	Intonation=rising
2-0	TO084	2	quasi	quasi	quasi	ADV	_
2-1	TO084	2	ventitré.	ventitré	ventitressere	AUX	Intonation=falling
3-0	TO999	3	quasi	quasi	quasi	ADV	_
3-1	TO999	3	ventitré.	ventitré	ventitressere	AUX	Intonation=falling
4-0	TO999	4	e:	e	e	CCONJ	_
4-1	TO999	4	dove	dove	dove	ADV	_
4-2	TO999	4	sei	sei	essere	AUX	_
4-3	TO999	4	nata?	nata	nare	VERB	Intonation=rising
5-0	TO084	5	a	a	a	ADP	_
5-1	TO084	5	nomepaese.	nomepaese	nomepaese	NOUN	Intonation=falling
6-0	TO084	6	vicino	vicino	vicino	ADV	_
6-1	TO084	6	a	a	a	ADP	_
6-2	TO084	6	torino.	torino	torino	NOUN	Intonation=falling
7-0	TO999	7	dove	dove	dove	ADV	_
7-1	TO999	7	hai	hai	avere	AUX	_
7-2	TO999	7	frequentato	frequentato	frequentare	VERB	_
7-3	TO999	7	le	le	il	DET	_
7-4	TO999	7	superiori?	superiori	superiore	ADJ	Intonation=rising
8-0	TO084	8	nomepaese	nomepaese	nomepaesa	NOUN	_
9-0	TO999	9	la	la	il	DET	_
9-1	TO999	9	tua	tua	tuo	DET	_
9-2	TO999	9	prima	prima	primo	ADJ	_
9-3	TO999	9	occupazione	occupazione	occupazione	NOUN	_
9-4	TO999	9	qual	qual	quale	PRON	_
9-5	TO999	9	è?	è	essere	AUX	Intonation=rising
10-0	TO084	10	questa.	questa	questo	PRON	Intonation=falling
10-1	TO084	10	che	che	che	PRON	_
10-2	TO084	10	però:	però	però	ADV	_
10-3	TO084	10	non	non	non	ADV	_
10-4	TO084	10	è	è	essere	AUX	_
10-5	TO084	10	una	una	uno	DET	_
