token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,BO026,0,0,1,ha,ha,avere,VERB,_
0-1,BO026,0,0,2,dimentica~,dimentica~,dimentica~,PROPN,_
0-2,BO026,0,0,3,ah,ah,ah,INTJ,_
0-3,BO026,0,0,4,non,non,non,ADV,_
0-4,BO026,0,0,5,l',l',lo,PRON,_
0-5,BO026,0,0,6,ho,ho,avere,AUX,_
0-6,BO026,0,0,7,neanche,neanche,neanche,ADV,_
0-7,BO026,0,0,8,visto,visto,vedere,VERB,_
0-8,BO026,0,0,9,meno,meno,meno,ADV,_
0-9,BO026,0,0,10,male.,male,male,ADV,_
1-0,BO037,1,1,1,buonasera.,buonasera,buonasera,NOUN,_
2-0,BO037,2,2,2,io,io,io,PRON,_
2-1,BO037,2,2,3,sono,sono,essere,AUX,_
2-2,BO037,2,2,4,qua,qua,qua,ADV,_
2-3,BO037,2,2,5,per,per,per,ADP,_
2-4,BO037,2,2,6-7,chiederle,chiederle,_,_,_
2-4a,_,_,2,6,_,chieder,chiedere,VERB,_
2-4b,_,_,2,7,_,le,le,PRON,_
2-5,BO037,2,2,8,se,se,se,SCONJ,_
2-6,BO037,2,2,9,voleva,voleva,volere,AUX,_
2-7,BO037,2,2,10,farmi,far,fare,VERB,_
2-7,BO037,2,2,11,da,mi,mi,PRON,_
2-8,BO037,2,2,12,correlatrice,da,da,ADP,_
2-9,BO037,2,2,13,io,correlatrice,correlatore,NOUN,_
2-10,BO037,2,2,14,ho,io,io,PRON,_
2-11,BO037,2,2,15,come,ho,avere,VERB,_
2-12,BO037,2,2,16,relatrice,come,come,ADP,_
2-13,BO037,2,2,17,la,relatrice,relatore,NOUN,_
2-14,BO037,2,2,18,professoressa,la,il,DET,_
2-15,BO037,2,2,19,rossi.,professoressa,professore,NOUN,_
2-16,BO037,2,2,20,_,rossi,Rossi,PROPN,_
3-0,BO037,3,3,1,=e::h,eh,eh,INTJ,_
3-1,BO037,3,3,2,mh,mh,mh,INTJ,_
4-0,BO037,4,4,1,volevo,volevo,volere,AUX,_
4-1,BO037,4,4,2-3,farla,farla,_,_,_
4-1a,_,_,4,2,_,far,fare,VERB,_
4-1b,_,_,4,3,_,la,la,PRON,_
4-2,BO037,4,4,4-5,sul,sul,_,_,_
4-2a,_,_,4,4,_,su,su,ADP,_
4-2b,_,_,4,5,_,il,il,DET,_
4-3,BO037,4,4,6,child,child,child,NOUN,_
4-4,BO037,4,4,7,language,language,language,NOUN,_
4-5,BO037,4,4,8,"brokering,",brokering,brokering,NOUN,_
5-0,BO026,5,5,1,[lei,lei,lei,PRON,_
5-1,BO026,5,5,2,l]ei,lei,lei,PRON,_
5-2,BO026,5,5,3,è:,è,essere,AUX,_
5-3,BO026,5,5,4-5,del[la:,della,_,_,_
5-3a,_,_,5,4,_,di,di,ADP,_
5-3b,_,_,5,5,_,la,il,DET,_
5-4,BO026,5,5,6,xx],x,x,X,_
6-0,BO037,6,6,1,"[però],",però,però,ADV,_
7-0,BO037,7,7,1,[italiano,italiano,italiano,ADJ,_
7-1,BO037,7,7,2,p]er,per,per,ADP,_
7-2,BO037,7,7,3,stranie[ri].,stranieri,straniere,NOUN,_
8-0,BO026,8,8,1,[a]h.,ah,ah,INTJ,_
9-0,BO037,9,9,1,però:,però,però,ADV,_
9-1,BO037,9,9,2,avevo,avevo,avere,AUX,_
9-2,BO037,9,9,3,chiesto,chiesto,chiedere,VERB,_
9-3,BO037,9,9,4-5,alla,alla,_,_,_
9-3a,_,_,9,4,_,a,a,ADP,_
9-3b,_,_,9,5,_,la,il,DET,_
9-4,BO037,9,9,6,professoressa,professoressa,professoressa,NOUN,_
9-5,BO037,9,9,7,verdi,verdi,Verdi,PROPN,_
9-6,BO037,9,9,8,che:,che,che,PRON,_
9-7,BO037,9,9,9,ho,ho,avere,AUX,_
9-8,BO037,9,9,10,visto,visto,vedere,VERB,_
9-9,BO037,9,9,11,che,che,che,SCONJ,_
9-10,BO037,9,9,12,si,si,si,PRON,_
9-11,BO037,9,9,13,occupava,occupava,occupare,VERB,_
9-12,BO037,9,9,14,di,di,di,ADP,_
9-13,BO037,9,9,15,child,child,child,NOUN,_
9-14,BO037,9,9,16,language,language,language,NOUN,_
9-15,BO037,9,9,17,"brokering,",brokering,brokering,NOUN,_
10-0,BO037,10,10,1,il,il,il,DET,_
10-1,BO037,10,10,2,focus,focus,focus,NOUN,_
10-2,BO037,10,10,3,sarebbe,sarebbe,essere,AUX,_
10-3,BO037,10,10,4,e:h,eh,eh,INTJ,_
10-4,BO037,10,10,5,però,però,però,ADV,_
10-5,BO037,10,10,6-7,sui,sui,_,_,_
10-5a,_,_,10,6,_,su,su,ADP,_
10-5b,_,_,10,7,_,i,il,DET,_
10-6,BO037,10,10,8,coda,coda,coda,NOUN,_
10-7,BO037,10,10,9,che,che,che,PRON,_
10-8,BO037,10,10,10,sono,sono,essere,AUX,_
10-9,BO037,10,10,11,i,i,il,DET,_
