token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,BO117,0,0,1,okay.,okay,ok,INTJ,Intonation=falling
1-0,BO117,1,1,0,{tossisce},{tossisce},_,X,_
2-0,BO117,2,2,1,dunque,dunque,dunque,ADV,_
2-1,BO117,2,2,2,lei,lei,lei,PRON,_
2-2,BO117,2,2,3,su,su,su,ADP,_
2-3,BO117,2,2,4,quali,quali,quale,PRON,_
2-4,BO117,2,2,5,manuali,manuali,manuale,NOUN,_
2-5,BO117,2,2,6,si,si,si,PRON,_
2-6,BO117,2,2,7,è,è,essere,AUX,_
2-7,BO117,2,2,8,preparata,preparata,preparare,VERB,_
2-8,BO117,2,2,9,da,da,da,ADP,_
2-9,BO117,2,2,10,non,non,non,ADV,_
2-10,BO117,2,2,11,frequentante?,frequentante,frequentare,ADJ,Intonation=rising
3-0,BO142,3,3,1,su,su,su,ADP,_
3-1,BO142,3,3,2,"bianchi,",bianchi,Bianchi,PROPN,Intonation=weakly_rising
3-2,BO142,3,3,3,andorno,andorno,Andorno,PROPN,_
3-3,BO142,3,3,4,"e::mh,",emh,emh,INTJ,Intonation=weakly_rising
4-0,BO142,4,4,1,e:,e,e,CCONJ,_
4-1,BO142,4,4,2,poi,poi,poi,ADV,_
4-2,BO142,4,4,3,penco,penco,Penco,PROPN,_
4-3,BO142,4,4,4,e:::,e,e,CCONJ,_
4-4,BO142,4,4,5,"domaneschi,",domaneschi,Domaneschi,PROPN,Intonation=weakly_rising
5-0,BO117,5,5,1,mhmh.,mhmh,mhmh,INTJ,Intonation=falling
6-0,BO142,6,6,1,e,e,e,CCONJ,_
6-1,BO142,6,6,2,voghera.,voghera,Voghera,PROPN,Intonation=falling
7-0,BO117,7,7,1,va,va,andare,VERB,_
7-1,BO117,7,7,2,bene.,bene,bene,ADV,Intonation=falling
8-0,BO117,8,8,1,e::h,eh,eh,INTJ,_
8-1,BO117,8,8,2,{P},{P},_,_,_
8-2,BO117,8,8,3,partiamo,partiamo,partire,VERB,_
8-3,BO117,8,8,4,da,da,da,ADP,_
8-4,BO117,8,8,5,"voghera,",voghera,Voghera,PROPN,Intonation=weakly_rising
9-0,BO117,9,9,1,eh,eh,eh,INTJ,_
9-1,BO117,9,9,2,cosa,cosa,cosa,NOUN,_
9-2,BO117,9,9,3,si,si,si,PRON,_
9-3,BO117,9,9,4,intende,intende,intendere,VERB,_
9-4,BO117,9,9,5,per,per,per,ADP,_
9-5,BO117,9,9,6,correlati,correlati,correlato,NOUN,_
9-6,BO117,9,9,7,funzionali,funzionali,funzionale,ADJ,_
9-7,BO117,9,9,8,{P},{P},_,_,_
9-8,BO117,9,9,9-10,del,del,_,_,_
9-8a,_,_,9,9,_,di,di,ADP,_
9-8b,_,_,9,10,_,il,il,DET,_
9-9,BO117,9,9,11,parlato?,parlato,parlato,NOUN,Intonation=rising
10-0,BO142,10,10,1,mh.,mh,mh,INTJ,Intonation=falling
11-0,BO142,11,11,1,si,si,si,PRON,_
11-1,BO142,11,11,2,intendono,intendono,intendere,VERB,_
11-2,BO142,11,11,3,tutte,tutte,tutto,DET,_
11-3,BO142,11,11,4,quelle,quelle,quelle,DET,_
11-4,BO142,11,11,5,caratteristiche,caratteristiche,caratteristica,NOUN,_
11-5,BO142,11,11,6,che,che,che,PRON,_
11-6,BO142,11,11,7,e::hm,ehm,ehm,INTJ,_
11-7,BO142,11,11,8,contraddistinguono,contraddistinguono,contraddistinguere,VERB,_
11-8,BO142,11,11,9,il,il,il,DET,_
11-9,BO142,11,11,10,"parlato,",parlato,parlato,NOUN,Intonation=weakly_rising
12-0,BO142,12,12,1,rispetto,rispetto,rispetto,ADV,_
12-1,BO142,12,12,2-3,allo,allo,_,_,_
12-1a,_,_,12,2,_,a,a,ADP,_
12-1b,_,_,12,3,_,lo,il,DET,_
12-2,BO142,12,12,4,scritto,scritto,scritto,NOUN,_
12-3,BO142,12,12,5,ovvero,ovvero,ovvero,CCONJ,_
12-4,BO142,12,12,6,il,il,il,DET,_
12-5,BO142,12,12,7,fatto,fatto,fatto,NOUN,_
12-6,BO142,12,12,8,che,che,che,SCONJ,_
12-7,BO142,12,12,9,sia,sia,essere,AUX,_
12-8,BO142,12,12,10,"un:,",un,uno,DET,Intonation=weakly_rising
13-0,BO142,13,13,1,e:h,eh,eh,INTJ,_
13-1,BO142,13,13,2,cor~,cor~,cor~,X,Interrupted=Yes
13-2,BO142,13,13,3,"un:,",un,uno,DET,Intonation=weakly_rising
14-0,BO142,14,14,1,"e::hm::,",ehm,ehm,INTJ,Intonation=weakly_rising
15-0,BO142,15,15,1,metodo,metodo,metodo,NOUN,_
15-1,BO142,15,15,2,dinamico,dinamico,dinamico,ADJ,_
15-2,BO142,15,15,3,eh,eh,eh,INTJ,_
15-3,BO142,15,15,4,di,di,di,ADP,_
15-4,BO142,15,15,5-6,esprimersi,esprimersi,_,_,_
15-4a,_,_,15,5,_,esprimer,esprimere,VERB,_
15-4b,_,_,15,6,_,si,si,PRON,_
15-5,BO142,15,15,7,il,il,il,DET,_
15-6,BO142,15,15,8,fatto,fatto,fatto,NOUN,_
15-7,BO142,15,15,9,che:,che,che,SCONJ,_
15-8,BO142,15,15,10,"sia,",sia,essere,AUX,Intonation=weakly_rising
16-0,BO142,16,16,1,comunque,comunque,comunque,ADV,_
16-1,BO142,16,16,2,"e::hm::,",ehm,ehm,INTJ,Intonation=weakly_rising
17-0,BO142,17,17,1,ehm,ehm,ehm,INTJ,_
17-1,BO142,17,17,2,{P},{P},_,_,_
17-2,BO142,17,17,3,diciamo,diciamo,dire,VERB,_
17-3,BO142,17,17,4,m:h,mh,mh,INTJ,_
17-4,BO142,17,17,5,non,non,non,ADV,_
17-5,BO142,17,17,6,imprimibile,imprimibile,imprimibile,ADJ,_
17-6,BO142,17,17,7,su,su,su,ADP,_
17-7,BO142,17,17,8,un:,un,uno,DET,_
17-8,BO142,17,17,9,"supporto:,",supporto,supporto,NOUN,Intonation=weakly_rising
18-0,BO142,18,18,1,"fisico,",fisico,fisico,ADJ,Intonation=weakly_rising
19-0,BO142,19,19,1,e,e,e,CCONJ,_
19-1,BO142,19,19,2,il,il,il,DET,_
19-2,BO142,19,19,3,fatto,fatto,fatto,NOUN,_
19-3,BO142,19,19,4,che,che,che,SCONJ,_
19-4,BO142,19,19,5,e::h,eh,eh,INTJ,_
19-5,BO142,19,19,6,segua,segua,seguire,VERB,_
19-6,BO142,19,19,7,che,che,che,SCONJ,_
19-7,BO142,19,19,8,sia,sia,essere,AUX,_
19-8,BO142,19,19,9,più,più,più,ADV,_
19-9,BO142,19,19,10,diciamo,diciamo,dire,VERB,_
19-10,BO142,19,19,11,disordinato,disordinato,disordinato,ADJ,_
19-11,BO142,19,19,12-13,dello,dello,_,_,_
19-11a,_,_,19,12,_,di,di,ADP,_
19-11b,_,_,19,13,_,lo,il,DET,_
19-12,BO142,19,19,14,"scritto,",scritto,scritto,NOUN,Intonation=weakly_rising
20-0,BO142,20,20,1,e:h,eh,eh,INTJ,_
20-1,BO142,20,20,2,apparentemente,apparentemente,apparentemente,ADV,_
20-2,BO142,20,20,3,perché,perché,perché,ADV,_
20-3,BO142,20,20,4,in,in,in,ADP,_
20-4,BO142,20,20,5,"verità,",verità,verità,NOUN,Intonation=weakly_rising
21-0,BO142,21,21,1,e:h,eh,eh,INTJ,_
21-1,BO142,21,21,2,il,il,il,DET,_
21-2,BO142,21,21,3,parlato,parlato,parlato,NOUN,_
21-3,BO142,21,21,4,<usa,usa,usare,VERB,_
21-4,BO142,21,21,5,comunque>,comunque,comunque,ADV,_
21-5,BO142,21,21,6,molte,molte,molto,DET,_
21-6,BO142,21,21,7,tecniche,tecniche,tecnica,NOUN,_
21-7,BO142,21,21,8,che,che,che,PRON,_
21-8,BO142,21,21,9,anche,anche,anche,ADV,_
21-9,BO142,21,21,10,"se,",se,se,SCONJ,Intonation=weakly_rising
22-0,???,22,22,0,{bussa},{bussa},_,X,_
23-0,BO142,23,23,1,"e:h,",eh,eh,INTJ,Intonation=weakly_rising
24-0,BO117,24,24,1,avanti.,avanti,avanti,ADV,Intonation=falling
