token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,TO052,0,0,1,questa ,questa,questo,DET,_
0-1,TO052,0,0,2,cosa,cosa,cosa,NOUN,_
0-2,TO052,0,0,3,mi,mi,mi,PRON,_
0-3,TO052,0,0,4,fa,fa,fare,VERB,_
0-4,TO052,0,0,5,male.,male,male,ADV,Intonation=falling
1-0,TO052,1,1,1,mi,mi,mi,PRON,_
1-1,TO052,1,1,2,sa,sa,sapere,VERB,_
1-2,TO052,1,1,3,che,che,che,SCONJ,_
1-3,TO052,1,1,4,mi,mi,mi,PRON,_
1-4,TO052,1,1,5,comprerò,comprerò,comprare,VERB,_
1-5,TO052,1,1,6,un,un,uno,DET,_
1-6,TO052,1,1,7,telefono::,telefono,telefono,NOUN,_
1-7,TO052,1,1,8-9,(al,al,_,_,_
1-7a,_,_,1,8,_,a,a,ADP,_
1-7b,_,_,1,9,_,il,il,DET,_
1-8,TO052,1,1,10,cinque,cinque,cinque,NUM,_
1-9,TO052,1,1,11,percento,percento,percento,NOUN,_
1-10,TO052,1,1,12,xx.),xx,,X,Intonation=falling
2-0,TO048,2,2,1,tanto,tanto,tanto,ADV,_
2-1,TO048,2,2,2,ti,ti,ti,PRON,_
2-2,TO048,2,2,3,si,si,si,PRON,_
2-3,TO048,2,2,4,romperà,romperà,rompere,VERB,_
2-4,TO048,2,2,5,tra,tra,tra,ADP,_
2-5,TO048,2,2,6,due,due,due,NUM,_
2-6,TO048,2,2,7,giorni,giorni,giorno,NOUN,_
2-7,TO048,2,2,8,(tranquilla[mente)].,tranquillamente,tranquillamente,ADV,Intonation=falling
3-0,TO052,3,3,_,[(tranqu]illa.).,tranquilla..,_,_,_
4-0,TO048,4,4,1,xx,x,,X,_
4-1,TO048,4,4,2,ti,ti,ti,PRON,_
4-2,TO048,4,4,3,sei,sei,essere,AUX,_
4-3,TO048,4,4,4,comprato,comprato,comprare,VERB,_
