token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,TO024,0,0,1,"e:h,",eh,eh,INTJ,_
0-1,TO024,0,0,2,(.),[PAUSE],[PAUSE],X,_
0-2,TO024,0,0,3,"anna,",anna,Anna,PROPN,_
0-3,TO024,0,0,4,rossi.,rossi,Rossi,PROPN,_
1-0,TO024,1,1,1,buongiorno.,buongiorno,buongiorno,INTJ,_
2-0,TO022,2,2,1,s~,s~,essere,AUX,_
2-1,TO022,2,2,2,io,io,io,PRON,_
2-2,TO022,2,2,3,(non),non,non,ADV,_
2-3,TO022,2,2,4,sono::,sono,essere,AUX,_
2-4,TO022,2,2,5,"frequentante,",frequentante,frequentante,ADJ,_
3-0,TO024,3,3,1,lei,lei,lei,PRON,_
3-1,TO024,3,3,2,(.),[PAUSE],[PAUSE],X,_
3-2,TO024,3,3,3,[È],è,essere,AUX,_
3-3,TO024,3,3,4,frequen[tante.,frequentante,frequentante,ADJ,_
3-4,TO024,3,3,5,sì].,sì,sì,ADV,_
4-0,TO022,4,4,1,[frequentante].,frequentante,frequentante,ADJ,_
5-0,TO022,5,5,1,[ho,ho,avere,AUX,_
5-1,TO022,5,5,2,firmato,firmato,firmare,VERB,_
5-2,TO022,5,5,3,an]che:,anche,anche,ADV,_
5-3,TO022,5,5,4,il,il,il,DET,_
5-4,TO022,5,5,5,foglio::,foglio,foglio,NOUN,_
5-5,TO022,5,5,6,(.),[PAUSE],[PAUSE],X,_
5-6,TO022,5,5,7,l',l',il,DET,_
5-7,TO022,5,5,8,ultimo,ultimo,ultimo,ADJ,_
5-8,TO022,5,5,9,giorno,giorno,giorno,NOUN,_
5-9,TO022,5,5,10-11,dell',dell',_,_,_
5-9a,_,_,5,10,_,di,di,ADP,_
5-9b,_,_,5,11,_,l',il,DET,_
5-10,TO022,5,5,12,argomento.,argomento,argomento,NOUN,_
6-0,TO024,6,6,1,non,non,non,ADV,_
6-1,TO024,6,6,2,era,era,essere,AUX,_
6-2,TO024,6,6,3,l',l',il,DET,_
6-3,TO024,6,6,4,ultimo,ultimo,ultimo,ADJ,_
6-4,TO024,6,6,5,"giorno,",giorno,giorno,NOUN,_
7-0,TO022,7,7,1,ah.,ah,ah,INTJ,_
7-1,TO022,7,7,2,"però,",però,però,CCONJ,_
7-2,TO022,7,7,3,ehm:,ehm,ehm,INTJ,_
7-3,TO022,7,7,4,>cioè<,cioè,cioè,CCONJ,_
7-4,TO022,7,7,5-6,nel,nel,_,_,_
7-4a,_,_,7,5,_,in,in,ADP,_
7-4b,_,_,7,6,_,il,il,DET,_
7-5,TO022,7,7,7,senso,senso,senso,NOUN,_
7-6,TO022,7,7,8,il,il,il,DET,_
7-7,TO022,7,7,9,giorno,giorno,giorno,NOUN,_
7-8,TO022,7,7,10,in,in,in,ADP,_
7-9,TO022,7,7,11,cui,cui,cui,PRON,_
7-10,TO022,7,7,12,lei,lei,lei,PRON,_
7-11,TO022,7,7,13,ha,ha,avere,AUX,_
7-12,TO022,7,7,14,pre[so::,preso,prendere,VERB,_
7-13,TO022,7,7,15,(.),[PAUSE],[PAUSE],X,_
7-14,TO022,7,7,16,il,il,il,DET,_
7-15,TO022,7,7,17,pe]nultimo,penultimo,penultimo,ADJ,_
7-16,TO022,7,7,18,sì.,sì,sì,ADV,_
8-0,TO024,8,8,1,[il,il,il,DET,_
8-1,TO024,8,8,2,penultimo].,penultimo,penultimo,NOUN,_
9-0,TO024,9,9,1,[no.,no,no,ADV,_
9-1,TO024,9,9,2,xx],x,x,SYM,_
9-2,TO024,9,9,3,allora,allora,allora,ADV,_
9-3,TO024,9,9,4,è,è,essere,AUX,_
9-4,TO024,9,9,5,mancata,mancata,mancare,VERB,_
9-5,TO024,9,9,6,l',l',il,DET,_
9-6,TO024,9,9,7,ultimo,ultimo,ultimo,ADJ,_
9-7,TO024,9,9,8,giorno,giorno,giorno,NOUN,_
9-8,TO024,9,9,9,scher[zo.,scherzo,scherzare,VERB,_
9-9,TO024,9,9,10,"ALLORA],",allora,allora,ADV,_
9-10,TO024,9,9,11,che,che,che,DET,_
9-11,TO024,9,9,12,"cosa,",cosa,cosa,PRON,_
9-12,TO024,9,9,13,lei,lei,lei,PRON,_
9-13,TO024,9,9,14,ha,ha,avere,VERB,_
9-14,TO024,9,9,15,questo,questo,questo,DET,_
9-15,TO024,9,9,16,privilegio,privilegio,privilegio,NOUN,_
9-16,TO024,9,9,17,di,di,di,ADP,_
9-17,TO024,9,9,18,scegliere,scegliere,scegliere,VERB,_
9-18,TO024,9,9,19,una,una,uno,DET,_
9-19,TO024,9,9,20,doman[da].,domanda,domanda,NOUN,_
10-0,TO022,10,10,1,[xx],x,x,SYM,_
11-0,TO022,11,11,1,[no.,no,no,ADV,_
11-1,TO022,11,11,2,no].,no,no,ADV,_
11-2,TO022,11,11,3,((ride)),((ride)),[LAUGH],X,_
12-0,TO022,12,12,1,[sì].,sì,sì,ADV,_
12-1,TO022,12,12,2,eh,eh,eh,INTJ,_
12-2,TO022,12,12,3,il:,il,il,DET,_
12-3,TO022,12,12,4,sistema,sistema,sistema,NOUN,_
12-4,TO022,12,12,5,che,che,che,PRON,_
12-5,TO022,12,12,6,mi,mi,mi,PRON,_
12-6,TO022,12,12,7,era,era,essere,AUX,_
12-7,TO022,12,12,8,più,più,più,ADV,_
12-8,TO022,12,12,9,piaciuto,piaciuto,piacere,VERB,_
12-9,TO022,12,12,10,è,è,essere,AUX,_
12-10,TO022,12,12,11,quello:,quello,quello,PRON,_
12-11,TO022,12,12,12,tedesco.,tedesco,tedesco,ADJ,_
13-0,TO024,13,13,1,e,e,e,CCONJ,_
13-1,TO024,13,13,2,mi,mi,mi,PRON,_
13-2,TO024,13,13,3,vuole,vuole,volere,AUX,_
13-3,TO024,13,13,4,parlare,parlare,parlare,VERB,_
13-4,TO024,13,13,5,di,di,di,ADP,_
13-5,TO024,13,13,6,qualcosa,qualcosa,qualcosa,PRON,_
13-6,TO024,13,13,7,in,in,in,ADP,_
13-7,TO024,13,13,8,particola:re?,particolare,particolare,NOUN,_
13-8,TO024,13,13,9-10,della:,della,_,_,_
13-8a,_,_,13,9,_,di,di,ADP,_
13-8b,_,_,13,10,_,la,il,DET,_
13-9,TO024,13,13,11,e:h,eh,eh,INTJ,_
13-10,TO024,13,13,12,germania,germania,Germania,PROPN,_
13-11,TO024,13,13,13,"o:ggi:,",oggi,oggi,ADV,_
