token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,TO017,0,0,1,la,la,il,DET,_
0-1,TO017,0,0,2,mia,mia,mio,DET,_
0-2,TO017,0,0,3,si,si,si,PRON,_
0-3,TO017,0,0,4,è,è,essere,AUX,_
0-4,TO017,0,0,5,rotta,rotta,rompere,VERB,_
0-5,TO017,0,0,6,questa,questa,questo,DET,_
0-6,TO017,0,0,7,mattina,mattina,mattina,NOUN,_
0-7,TO017,0,0,8,giusto,giusto,giusto,ADJ,_
0-8,TO017,0,0,9,pe::r,per,per,ADP,_
0-9,TO017,0,0,10,(.),[PAUSE],[PAUSE],X,_
0-10,TO017,0,0,11,"dire,",dire,dire,VERB,_
1-0,TO017,1,1,1,"<(per)mess:o>,",permesso,permesso,NOUN,_
1-1,TO017,1,1,2,(.),[PAUSE],[PAUSE],X,_
1-2,TO017,1,1,3,la,la,il,DET,_
1-3,TO017,1,1,4,magia,magia,magia,NOUN,_
1-4,TO017,1,1,5,grazie.,grazie,grazie,INTJ,_
1-5,TO017,1,1,6,di,di,di,ADP,_
1-6,TO017,1,1,7,accendere,accendere,accendere,VERB,_
1-7,TO017,1,1,8,il,il,il,DET,_
1-8,TO017,1,1,9,proiettore,proiettore,proiettore,NOUN,_
2-0,TO017,2,2,1,°<sento>,sento,sentire,VERB,_
2-1,TO017,2,2,2,che,che,che,SCONJ,_
2-2,TO017,2,2,3,possiamo,possiamo,potere,AUX,_
2-3,TO017,2,2,4,far(cela)°,farcela,_,_,_
2-3a,,,,,_,fare,fare,VERB,
2-3b,,,,,_,ci,ci,PRON,
2-3c,,,,,_,la,lo,PRON,
3-0,TO017,3,3,1,°(a),a,a,ADP,_
3-1,TO017,3,3,2,caso,caso,caso,NOUN,_
3-2,TO017,3,3,3,proprio°,proprio,proprio,ADV,_
4-0,???,4,4,1,vabbè,vabbè,vabbè,INTJ,_
4-1,???,4,4,2,l',l',il,PRON,_
4-2,???,4,4,3,avrei,avrei,avere,AUX,_
4-3,???,4,4,4,accettato,accettato,accettare,VERB,_
4-4,???,4,4,5,anch',anch',anche,ADV,_
4-5,???,4,4,6,io,io,io,PRON,_
5-0,???,5,5,1,<ventuno>,ventuno,ventuno,NUM,_
5-1,???,5,5,2,"ventidue,",ventidue,ventidue,NUM,_
6-0,???,6,6,1,sai,sai,sapere,VERB,_
6-1,???,6,6,2,quella,quella,quello,DET,_
6-2,???,6,6,3,risata,risata,risata,NOUN,_
6-3,???,6,6,4,che,che,che,PRON,_
7-0,???,7,7,1,isterica,isterica,isterico,ADJ,_
8-0,???,8,8,1,ta:,ta,ta,X,_
8-1,???,8,8,2,"ta::n,",tan,x,X,_
8-2,???,8,8,3,"ventu:no,",ventuno,ventuno,NUM,_
9-0,???,9,9,1,°stai,stai,stare,VERB,_
9-1,???,9,9,2,"<scherzando>,",scherzando,scherzare,VERB,_
9-2,???,9,9,3,è,è,essere,AUX,_
9-3,???,9,9,4,da,da,da,ADP,_
9-4,???,9,9,5,mezz',mezz',mezzo,ADJ,_
9-5,???,9,9,6,ora,ora,ora,NOUN,_
9-6,???,9,9,7,che,che,che,PRON,_
9-7,???,9,9,8,(rispondo),rispondo,rispondere,VERB,_
9-8,???,9,9,9,la,la,il,DET,_
9-9,???,9,9,10,stessa,stessa,stesso,ADJ,_
9-10,???,9,9,11,cosa°,cosa,cosa,NOUN,_
10-0,???,10,10,1,perché,perché,perché,SCONJ,_
10-1,???,10,10,2,non,non,non,ADV,_
10-2,???,10,10,3,ti,ti,ti,PRON,_
10-3,???,10,10,4,ho,ho,avere,AUX,_
10-4,???,10,10,5,detto,detto,dire,VERB,_
10-5,???,10,10,6,il,il,il,DET,_
10-6,???,10,10,7,participio:,participio,participio,NOUN,_
11-0,TO017,11,11,1,tu.,tu,tu,PRON,_
12-0,???,12,12,1-2,glielo,glielo,_,_,_
12-0a,_,_,12,1,_,glie,gli,PRON,_
12-0b,_,_,12,2,_,lo,lo,PRON,_
12-1,???,12,12,3,dite,dite,dire,VERB,_
12-2,???,12,12,4,"vo:i,",voi,voi,PRON,_
13-0,???,13,13,1,se,se,se,SCONJ,_
13-1,???,13,13,2,volete,volete,volere,AUX,_
13-2,???,13,13,3-4,parlargli,parlargli,_,_,_
13-2a,_,_,13,3,_,parlar,parlare,VERB,_
13-2b,_,_,13,4,_,gli,gli,PRON,_
13-3,???,13,13,5,domani,domani,domani,ADV,_
14-0,???,14,14,1,"professore,",professore,professore,NOUN,_
15-0,TO017,15,15,1,s::ì.,sì,sì,ADV,_
15-1,TO017,15,15,2,"chi,",chi,chi,PRON,_
15-2,TO017,15,15,3,"dove,",dove,dove,ADV,_
16-0,???,16,16,0,((ride)),((ride)),[LAUGH],X,_
17-0,TO017,17,17,1,quale,quale,quale,DET,_
17-1,TO017,17,17,2,"professore,",professore,professore,NOUN,_
17-2,TO017,17,17,3,sì,sì,sì,ADV,_
17-3,TO017,17,17,4,dimmi.,dimmi,_,_,_
17-3a,,,,,_,dire,dire,VERB,
17-3b,,,,,_,mi,mi,PRON,
18-0,???,18,18,1,e:h,eh,eh,INTJ,_
18-1,???,18,18,2,volevo,volevo,volere,AUX,_
18-2,???,18,18,3-4,dirle,dirle,_,_,_
18-2a,_,_,18,3,_,dir,dire,VERB,_
18-2b,_,_,18,4,_,le,le,PRON,_
18-3,???,18,18,5,che::,che,che,SCONJ,_
18-4,???,18,18,6,m::h,mh,mh,INTJ,_
18-5,???,18,18,7,io,io,io,PRON,_
18-6,???,18,18,8,(.),[PAUSE],[PAUSE],X,_
18-7,???,18,18,9,e,e,e,CCONJ,_
18-8,???,18,18,10,(.),[PAUSE],[PAUSE],X,_
18-9,???,18,18,11,altre,altre,altro,ADJ,_
18-10,???,18,18,12,raga[zze].,ragazze,ragazza,NOUN,_
19-0,TO017,19,19,1,"[sì],",sì,sì,ADV,_
20-0,???,20,20,1,siamo,siamo,essere,AUX,_
20-1,???,20,20,2,u:na,una,uno,DET,_
20-2,???,20,20,3,e,e,e,CCONJ,_
20-3,???,20,20,4,un',un',uno,DET,_
20-4,???,20,20,5,"altra,",altra,altro,PRON,_
21-0,TO017,21,21,1,"sì,",sì,sì,ADV,_
22-0,???,22,22,1,facciamo,facciamo,fare,VERB,_
22-1,???,22,22,2,arabo,arabo,arabo,NOUN,_
22-2,???,22,22,3,due,due,due,NUM,_
22-3,???,22,22,4,e,e,e,CCONJ,_
