token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,TO017,0,0,1,li,li,li,PRON,_
0-1,TO017,0,0,2,confrontiamo,confrontiamo,confrontare,VERB,_
0-2,TO017,0,0,3,"tutti:,",tutti,tutto,PRON,_
0-3,TO017,0,0,4,e,e,e,CCONJ,_
0-4,TO017,0,0,_,(.),[PAUSE],[PAUSE],X,_
0-5,TO017,0,0,6,la,la,il,DET,_
0-6,TO017,0,0,7,domanda,domanda,domanda,NOUN,_
0-7,TO017,0,0,8,è,è,essere,VERB,_
0-8,TO017,0,0,1,li,riusciamo,riuscire,VERB,_
0-9,TO017,0,0,2,confrontiamo,a,a,ADP,_
0-10,TO017,0,0,3,"tutti:,",trovare,trovare,VERB,_
0-11,TO017,0,0,4,e,una,uno,DET,_
0-12,TO017,0,0,5,(.),serie,serie,NOUN,_
0-13,TO017,0,0,6,la,di,di,ADP,_
0-14,TO017,0,0,7,domanda,tratti,tratto,NOUN,_
0-15,TO017,0,0,8,è,una,uno,DET,_
0-16,TO017,0,0,9,riusciamo,serie,serie,NOUN,_
0-17,TO017,0,0,10,a,di,di,ADP,_
0-18,TO017,0,0,11,trovare,strutture,struttura,NOUN,_
1-0,TO017,1,1,12,una,comuni,comune,ADJ,_
1-1,TO017,1,1,13,serie,a,a,ADP,_
1-2,TO017,1,1,14,di,tutti,tutto,DET,_
1-3,TO017,1,1,15,tratti,questi,questo,DET,_
1-4,TO017,1,1,16,una,dialetti,dialetto,NOUN,_
2-0,TO017,2,2,1,"mh,",mh,mh,INTJ,_
3-0,TO017,3,3,1,tutti,tutti,tutto,DET,_
3-1,TO017,3,3,2,i,i,il,DET,_
3-2,TO017,3,3,3,dialetti,dialetti,dialetto,NOUN,_
3-3,TO017,3,3,4,ce,ce,ce,PRON,_
3-4,TO017,3,3,5,l',l',lo,PRON,_
3-5,TO017,3,3,6,hanno,hanno,avere,VERB,_
3-6,TO017,3,3,7,e,e,e,CCONJ,_
3-7,TO017,3,3,8,attenzione,attenzione,attenzione,NOUN,_
4-0,TO017,4,4,1,a,a,a,ADP,_
4-1,TO017,4,4,2,nessuna,nessuna,nessuno,DET,_
4-2,TO017,4,4,3,altra,altra,altro,DET,_
4-3,TO017,4,4,4,lingua,lingua,lingua,NOUN,_
4-4,TO017,4,4,5,semitica,semitica,semitico,ADJ,_
5-0,TO017,5,5,1,>perché<,perché,perché,SCONJ,_
5-1,TO017,5,5,2,altrim~,altrimenti,altrimenti,ADV,_
6-0,TO017,6,6,1,cioè,cioè,cioè,CCONJ,_
6-1,TO017,6,6,2,noi,noi,noi,PRON,_
6-2,TO017,6,6,3,abbiamo,abbiamo,avere,VERB,_
6-3,TO017,6,6,4,bisogno,bisogno,bisogno,NOUN,_
6-4,TO017,6,6,5,di,di,di,ADP,_
6-5,TO017,6,6,6,qualcosa,qualcosa,qualcosa,PRON,_
6-6,TO017,6,6,7,che,che,che,SCONJ,_
6-7,TO017,6,6,8,"identifichi,",identifichi,identificare,VERB,_
7-0,TO017,7,7,9,l',l',il,DET,_
7-1,TO017,7,7,10,"arabo,",arabo,arabo,NOUN,_
