token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,PKP025,0,0,1,faccio,faccio,fare,VERB,_
0-1,PKP025,0,0,2,il,il,il,DET,_
0-2,PKP025,0,0,3,tè,tè,tè,NOUN,_
1-0,PKP026,1,1,1,(°allora°),allora,allora,ADV,_
2-0,PKP025,2,2,1,[accendo]?,accendo,accendere,VERB,_
3-0,PKP026,3,3,1,[va,va,andare,VERB,_
3-1,PKP026,3,3,2,bene],bene,bene,ADV,_
4-0,PKP026,4,4,1,ci,ci,ci,PRON,_
4-1,PKP026,4,4,2,fermiamo,fermiamo,fermare,VERB,_
4-2,PKP026,4,4,3,un,un,uno,DET,_
4-3,PKP026,4,4,4,attimo,attimo,attimo,NOUN,_
4-4,PKP026,4,4,5,e,e,e,CCONJ,_
4-5,PKP026,4,4,6,prendiamo,prendiamo,prendere,VERB,_
4-6,PKP026,4,4,7,il,il,il,DET,_
4-7,PKP026,4,4,8,tè,tè,tè,NOUN,_
4-8,PKP026,4,4,9,e,e,e,CCONJ,_
4-9,PKP026,4,4,10,la,la,il,DET,_
4-10,PKP026,4,4,11,tisana,tisana,tisana,NOUN,_
5-0,PKP025,5,5,1,(tè),tè,tè,NOUN,_
6-0,PKP025,6,6,0,((accende_il_gas)),((accende_il_gas)),[OTHER],X,_
7-0,PKP026,7,7,1,vai,vai,andare,VERB,_
8-0,PKP025,8,8,1,lo,lo,il,DET,_
8-1,PKP025,8,8,2,zucchero,zucchero,zucchero,NOUN,_
8-2,PKP025,8,8,3,c',c',ci,PRON,_
8-3,PKP025,8,8,4,è?,è,essere,VERB,_
9-0,PKP026,9,9,1,sì,sì,sì,INTJ,_
10-0,PKP025,10,10,1,questo?,questo,questo,PRON,_
11-0,PKP026,11,11,1,sì,sì,sì,INTJ,_
12-0,PKP025,12,12,1,te,te,te,PRON,_
12-1,PKP025,12,12,2,come,come,come,ADP,_
12-2,PKP025,12,12,3,la,la,il,DET,_
12-3,PKP025,12,12,4,vuoi,vuoi,volere,VERB,_
13-0,PKP026,13,13,1,quella,quella,quello,PRON,_
13-1,PKP026,13,13,2-3,al,al,_,_,_
13-1a,_,_,13,2,_,a,a,ADP,_
13-1b,_,_,13,3,_,il,il,DET,_
13-2,PKP026,13,13,4,caffè,caffè,caffè,NOUN,_
13-3,PKP026,13,13,5,e,e,e,CCONJ,_
13-4,PKP026,13,13,6,amaretto,amaretto,amaretto,NOUN,_
14-0,PKP025,14,14,1,<caffè,caffè,caffè,NOUN,_
14-1,PKP025,14,14,2,e,e,e,CCONJ,_
14-2,PKP025,14,14,3,amarett[o]>,amaretto,amaretto,NOUN,_
15-0,PKP026,15,15,1,[mh],mh,mh,INTJ,_
15-1,PKP026,15,15,2,mh,mh,mh,INTJ,_
16-0,PKP025,16,16,1,io?,io,io,PRON,_
17-0,PKP025,17,17,1,[limone],limone,limone,NOUN,_
18-0,PKP026,18,18,1,[tè,tè,tè,NOUN,_
18-1,PKP026,18,18,2-3,al,al,_,_,_
18-1a,_,_,18,2,_,a,a,ADP,_
18-1b,_,_,18,3,_,il,il,DET,_
18-2,PKP026,18,18,4,limo]ne,limone,limone,NOUN,_
19-0,PKP025,19,19,1,#voi,voi,voi,PRON,_
19-1,PKP025,19,19,2,co,co,co,NOUN,_
19-2,PKP025,19,19,3,fate,fate,fare,VERB,_
19-3,PKP025,19,19,4,sabato,sabato,sabato,NOUN,_
20-0,PKP026,20,20,1,sabato:,sabato,sabato,NOUN,_
20-1,PKP026,20,20,2,<ho,ho,avere,AUX,_
20-2,PKP026,20,20,3,prenotato:>,prenotato,prenotare,VERB,_
20-3,PKP026,20,20,4,(.),[PAUSE],[PAUSE],X,_
20-4,PKP026,20,20,5,in,in,in,ADP,_
20-5,PKP026,20,20,6,un,un,uno,DET,_
20-6,PKP026,20,20,7,ristorante,ristorante,ristorante,NOUN,_
20-7,PKP026,20,20,8,che,che,che,SCONJ,_
20-8,PKP026,20,20,9,c',c',ci,PRON,_
20-9,PKP026,20,20,10,è,è,essere,VERB,_
20-10,PKP026,20,20,11,una,una,uno,DET,_
20-11,PKP026,20,20,12,"cena,",cena,cena,NOUN,_
21-0,PKP025,21,21,1,dove,dove,dove,ADV,_
22-0,PKP026,22,22,1,e::h,eh,eh,INTJ,_
22-1,PKP026,22,22,2,a,a,a,ADP,_
22-2,PKP026,22,22,3,"senigallia,",senigallia,Senigallia,PROPN,_
22-3,PKP026,22,22,4,c',c',ci,PRON,_
22-4,PKP026,22,22,5,è,è,essere,VERB,_
22-5,PKP026,22,22,6,la,la,il,DET,_
22-6,PKP026,22,22,7,cena,cena,cena,NOUN,_
22-7,PKP026,22,22,8,con,con,con,ADP,_
22-8,PKP026,22,22,9,il,il,il,DET,_
22-9,PKP026,22,22,10,dj,dj,dj,NOUN,_
22-10,PKP026,22,22,11,e,e,e,CCONJ,_
22-11,PKP026,22,22,12,volendo:,volendo,volere,VERB,_
22-12,PKP026,22,22,13,ti,ti,ti,PRON,_
22-13,PKP026,22,22,14,puoi,puoi,potere,AUX,_
22-14,PKP026,22,22,15,"mascherare,",mascherare,mascherare,VERB,_
22-15,PKP026,22,22,16,è,è,essere,AUX,_
22-16,PKP026,22,22,17,il,il,il,DET,_
22-17,PKP026,22,22,18,sabato,sabato,sabato,NOUN,_
22-18,PKP026,22,22,19,di,di,di,ADP,_
22-19,PKP026,22,22,20,carneval[e],carnevale,Carnevale,PROPN,_
23-0,PKP025,23,23,1,[ma],ma,ma,CCONJ,_
23-1,PKP025,23,23,2,dove,dove,dove,ADV,_
24-0,PKP026,24,24,1,a,a,a,ADP,_
24-1,PKP026,24,24,2,senigallia:::,senigallia,Senigallia,PROPN,_
24-2,PKP026,24,24,3,(.),[PAUSE],[PAUSE],X,_
24-3,PKP026,24,24,4,verso,verso,verso,ADP,_
24-4,PKP026,24,24,5,sant',sant',Sant',PROPN,_
24-5,PKP026,24,24,6,angelo,angelo,Angelo,PROPN,_
25-0,PKP025,25,25,1,che,che,che,PRON,_
25-1,PKP025,25,25,2,ristorante,ristorante,ristorante,NOUN,_
26-0,PKP026,26,26,1,si,si,si,PRON,_
26-1,PKP026,26,26,2,chiama,chiama,chiamare,VERB,_
26-2,PKP026,26,26,3,il,il,il,DET,_
26-3,PKP026,26,26,4,°freccia,freccia,Freccia,PROPN,_
26-4,PKP026,26,26,5,azzurra°,azzurra,Azzurro,PROPN,_
27-0,PKP025,27,27,1,°freccia,freccia,Freccia,PROPN,_
27-1,PKP025,27,27,2,azzurra°,azzurra,Azzurro,PROPN,_
