token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,BOR005,0,0,1,allo:ra,allora,allora,ADV,_
1-0,BOI013,1,1,1,[i~,i~,i~,PRON,_
1-1,BOI013,1,1,2,su]gn,sugn,sugno,AUX,_
1-2,BOI013,1,1,3,tamarra,tamarra,tamarra,NOUN,_
2-0,BOR005,2,2,2,iniziamo,iniziamo,iniziare,VERB,_
3-0,BOR005,3,3,1,alo~,alo~,alo~,ADV,_
3-0,BOR005,3,3,1,m::h,alo~,alo~,ADV,_
4-0,BOR005,4,4,2,in,in,in,ADP,_
4-0,BOR005,4,4,2,quindi,in,in,ADP,_
4-1,BOR005,4,4,3,che,che,che,DET,_
4-1,BOR005,4,4,3,rispetto,che,che,DET,_
4-2,BOR005,4,4,4,zona,zona,zona,NOUN,_
4-2,BOR005,4,4,4,al,zona,zona,NOUN,_
4-3,BOR005,4,4,5,di,di,di,ADP,_
4-3,BOR005,4,4,5,>passato<,di,di,ADP,_
4-4,BOR005,4,4,6,bologna,bologna,Bologna,PROPN,_
4-4,BOR005,4,4,6,provi,bologna,Bologna,PROPN,_
4-5,BOR005,4,4,7,vivete?,vivete,vivere,VERB,_
4-5,BOR005,4,4,7,tanta,vivete,vivere,VERB,_
5-0,BOI013,5,5,1,corticella,corticella,Corticella,PROPN,_
5-0,BOI013,5,5,1,>io,corticella,Corticella,PROPN,_
6-0,BOR005,6,6,1,mh,mh,mh,INTJ,_
7-0,BOR005,7,7,2,e,e,e,CCONJ,_
7-1,BOR005,7,7,3,avete,avete,avere,AUX,_
7-2,BOR005,7,7,4,sempre,sempre,sempre,ADV,_
7-3,BOR005,7,7,5,vissuto,vissuto,vivere,VERB,_
7-4,BOR005,7,7,6,qua?,qua,qua,ADV,_
8-0,BOI013,8,8,1,no,no,no,INTJ,_
9-0,BOI012,9,9,1,°no°,no,no,INTJ,_
10-0,BOR005,10,10,1,oka:y,okay,okay,INTJ,_
10-1,BOR005,10,10,2,prima,prima,primo,ADV,_
10-2,BOR005,10,10,3,dove,dove,dove,ADV,_
10-3,BOR005,10,10,4,abitavate,abitavate,abitare,VERB,_
11-0,BOI012,11,11,1,a,a,a,ADP,_
11-1,BOI012,11,11,2,corticella,corticella,Corticella,PROPN,_
12-0,BOI012,12,12,3,poi,poi,poi,ADV,_
12-1,BOI012,12,12,4,abbiamo,abbiamo,avere,AUX,_
12-2,BOI012,12,12,5,abitato:,abitato,abitare,VERB,_
12-3,BOI012,12,12,6,vabbè,vabbè,vabbè,INTJ,_
12-4,BOI012,12,12,7,a,a,a,ADP,_
12-5,BOI012,12,12,8,bologna,bologna,Bologna,PROPN,_
12-6,BOI012,12,12,9,in,in,in,ADP,_
12-7,BOI012,12,12,10,generale,generale,generale,ADJ,_
13-0,BOI012,13,13,1,comun~,comunque,comunque,ADV,_
13-1,BOI012,13,13,2,questa,questa,questo,PRON,_
13-2,BOI012,13,13,3,non,non,non,ADV,_
13-3,BOI012,13,13,4,è,è,essere,AUX,_
13-4,BOI012,13,13,5,z~,z~,X,X,_
13-5,BOI012,13,13,6,[cortic]ella,corticella,Corticella,PROPN,_
13-6,BOI012,13,13,7,qua,qua,qua,ADV,_
13-7,BOI012,13,13,8,eh,eh,eh,INTJ,_
14-0,BOR005,14,14,1,[mh],mh,mh,INTJ,_
15-0,BOR005,15,15,2,no?,no,no,INTJ,_
16-0,BOI012,16,16,1,questa,questa,questo,PRON,_
16-1,BOI012,16,16,2,è,è,essere,AUX,_
16-2,BOI012,16,16,3,la,la,il,DET,_
16-3,BOI012,16,16,4,dozza,dozza,Dozza,PROPN,_
16-4,BOI012,16,16,5,eh,eh,eh,INTJ,_
17-0,BOI013,17,17,1,però,però,però,ADV,_
17-1,BOI013,17,17,2,è,è,essere,AUX,_
17-2,BOI013,17,17,3,quartiere,quartiere,quartiere,NOUN,_
17-3,BOI013,17,17,4,cortic[ella],corticella,Corticella,PROPN,_
18-0,BOI012,18,18,1,[n]o,no,no,INTJ,_
19-0,BOR005,19,19,1,[ah,ah,ah,INTJ,_
19-1,BOR005,19,19,2,okay],okay,okay,INTJ,_
20-0,BOR005,20,20,1,e,e,e,CCONJ,_
20-1,BOR005,20,20,_,(.),[PAUSE],[PAUSE],X,_
20-2,BOR005,20,20,3,le,le,il,DET,_
20-3,BOR005,20,20,4,scuole,scuole,scuola,NOUN,_
20-4,BOR005,20,20,5,le,le,le,PRON,_
20-5,BOR005,20,20,6,avete,avete,avere,AUX,_
20-6,BOR005,20,20,7,frequentate,frequentate,frequentare,VERB,_
20-7,BOR005,20,20,8,"qui,",qui,qui,ADV,_
20-8,BOR005,20,20,9,o,o,o,CCONJ,_
20-9,BOR005,20,20,10,in,in,in,ADP,_
20-10,BOR005,20,20,11,altri,altri,altro,ADJ,_
20-11,BOR005,20,20,12,"quartieri,",quartieri,quartiere,NOUN,_
20-12,BOR005,20,20,13,in,in,in,ADP,_
20-13,BOR005,20,20,14,altre,altre,altro,DET,_
20-14,BOR005,20,20,15,"città,",città,città,NOUN,_
21-0,BOI012,21,21,1,[altri,altri,altro,ADJ,_
21-1,BOI012,21,21,2,quartieri],quartieri,quartiere,NOUN,_
22-0,BOI013,22,22,1,[altri,altri,altro,ADJ,_
22-1,BOI013,22,22,2,quartieri],quartieri,quartiere,NOUN,_
23-0,BOR005,23,23,1,ah:,ah,ah,INTJ,_
23-1,BOR005,23,23,2,okay,okay,okay,INTJ,_
24-0,BOR005,24,24,1,e,e,e,CCONJ,_
24-1,BOR005,24,24,2,i,i,il,DET,_
24-2,BOR005,24,24,3,vostri,vostri,vostro,DET,_
24-3,BOR005,24,24,4,amici,amici,amico,NOUN,_
24-4,BOR005,24,24,5,vivono,vivono,vivere,VERB,_
24-5,BOR005,24,24,6,ancora,ancora,ancora,ADV,_
24-6,BOR005,24,24,7-8,nei,nei,_,_,_
24-6a,_,_,24,7,_,in,in,ADP,_
24-6b,_,_,24,8,_,i,il,DET,_
24-7,BOR005,24,24,9,quartieri,quartieri,quartiere,NOUN,_
24-8,BOR005,24,24,10,dove,dove,dove,ADV,_
24-9,BOR005,24,24,11,abita[vate,abitavate,abitare,VERB,_
24-10,BOR005,24,24,12,vo]i,voi,voi,PRON,_
24-11,BOR005,24,24,13,o,o,o,CCONJ,_
24-12,BOR005,24,24,14,si,si,si,PRON,_
24-13,BOR005,24,24,15,sono,sono,essere,AUX,_
24-14,BOR005,24,24,16,spost[ati]?,spostati,spostare,VERB,_
25-0,BOI013,25,25,1,[no],no,no,INTJ,_
26-0,BOI012,26,26,1,[al]cuni,alcuni,alcuno,PRON,_
26-1,BOI012,26,26,2,sì,sì,sì,INTJ,_
26-2,BOI012,26,26,3,alcuni,alcuni,alcuno,DET,_
26-3,BOI012,26,26,4,no,no,no,INTJ,_
27-0,BOI013,27,27,1,no,no,no,INTJ,_
28-0,BOR005,28,28,1,e,e,e,CCONJ,_
28-1,BOR005,28,28,_,(.),[PAUSE],[PAUSE],X,_
28-2,BOR005,28,28,3,vi,vi,vi,PRON,_
28-3,BOR005,28,28,4,piace,piace,piacere,VERB,_
28-4,BOR005,28,28,5,questa,questa,questo,DET,_
28-5,BOR005,28,28,6,zona?,zona,zona,NOUN,_
29-0,BOI013,29,29,1,[no],no,no,INTJ,_
30-0,BOI012,30,30,1,[a,a,a,ADP,_
30-1,BOI012,30,30,2,me,me,me,PRON,_
30-2,BOI012,30,30,3,no],no,no,INTJ,_
30-3,BOI012,30,30,4,a,a,a,ADP,_
30-4,BOI012,30,30,5,me,me,me,PRON,_
30-5,BOI012,30,30,6,no,no,no,INTJ,_
32-0,BOR005,32,32,1,e,e,e,CCONJ,_
32-1,BOR005,32,32,2,perché,perché,perché,SCONJ,_
32-2,BOR005,32,32,3,non,non,non,ADV,_
32-3,BOR005,32,32,4,vi,vi,vi,PRON,_
32-4,BOR005,32,32,5,piace?,piace,piacere,VERB,_
33-0,BOI012,33,33,1,perché,perché,perché,SCONJ,_
33-1,BOI012,33,33,2,viviamo,viviamo,vivere,VERB,_
33-2,BOI012,33,33,3,su,su,su,ADP,_
33-3,BOI012,33,33,4,una,una,uno,DET,_
33-4,BOI012,33,33,5,strada,strada,strada,NOUN,_
33-5,BOI012,33,33,6,troppo,troppo,troppo,ADV,_
33-6,BOI012,33,33,7,trafficata,trafficata,trafficato,ADJ,_
33-7,BOI012,33,33,8,per,per,per,ADP,_
33-8,BOI012,33,33,9,[quello,quello,quello,PRON,_
33-9,BOI012,33,33,10,(che,che,che,PRON,_
33-10,BOI012,33,33,11,mi,mi,mi,PRON,_
33-11,BOI012,33,33,12,riguarda)],riguarda,riguardare,VERB,_
34-0,BOI013,34,34,1,[non,non,non,ADV,_
34-1,BOI013,34,34,2,ci,ci,ci,PRON,_
34-2,BOI013,34,34,3,sono,sono,essere,VERB,_
34-3,BOI013,34,34,4,ne]gozi,negozi,negozio,NOUN,_
