token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,BOR005,0,0,1,allora,allora,allora,ADV,_
1-0,BOR005,1,1,1,inizio,inizio,iniziare,VERB,_
1-1,BOR005,1,1,2,subito,subito,subito,ADV,_
1-2,BOR005,1,1,3-4,chiedendole,chiedendole,_,_,_
1-2a,_,_,1,3,_,chiedendo,chiedere,VERB,_
1-2b,_,_,1,4,_,le,le,PRON,_
1-3,BOR005,1,1,5,{P},{P},_,_,_
1-4,BOR005,1,1,6,in,in,in,ADP,_
1-5,BOR005,1,1,7,che,che,che,DET,_
1-6,BOR005,1,1,8,quartiere,quartiere,quartiere,NOUN,_
1-7,BOR005,1,1,9,di,di,di,ADP,_
1-8,BOR005,1,1,10,bologna,bologna,Bologna,PROPN,_
1-9,BOR005,1,1,11,vive?,vive,vivere,VERB,Intonation=rising
2-0,BOI019,2,2,1,quartiere,quartiere,quartiere,NOUN,_
2-1,BOI019,2,2,2,saragozza,saragozza,Saragozza,PROPN,_
3-0,BOI019,3,3,1,attualmente,attualmente,attualmente,ADV,_
3-1,BOI019,3,3,2,si,si,si,PRON,_
3-2,BOI019,3,3,3,dice,dice,dire,VERB,_
3-3,BOI019,3,3,4,saragozza,saragozza,Saragozza,PROPN,_
3-4,BOI019,3,3,5,porto,porto,Porto,PROPN,_
3-5,BOI019,3,3,6,perché,perché,perché,SCONJ,_
4-0,BOI019,4,4,1,questo,questo,questo,DET,_
4-1,BOI019,4,4,2,quartiere,quartiere,quartiere,NOUN,_
4-2,BOI019,4,4,3,è,è,essere,AUX,_
4-3,BOI019,4,4,4,diventato,diventato,diventare,VERB,_
4-4,BOI019,4,4,5,ancora,ancora,ancora,ADV,_
4-5,BOI019,4,4,6,più,più,più,ADV,_
4-6,BOI019,4,4,7,gra:nde,grande,grande,ADJ,_
4-7,BOI019,4,4,8,credo,credo,credere,VERB,_
4-8,BOI019,4,4,9,che,che,che,SCONJ,_
4-9,BOI019,4,4,10,abbia,abbia,avere,VERB,_
4-10,BOI019,4,4,11,più,più,più,ADV,_
4-11,BOI019,4,4,12,di,di,di,ADP,_
4-12,BOI019,4,4,13,sessantamila,sessantamila,sessantamila,NUM,_
4-13,BOI019,4,4,14,,,,,_
4-14,BOI019,4,4,15,persone,persone,persona,NOUN,_
5-0,BOR005,5,5,1,ah,ah,ah,INTJ,_
5-1,BOR005,5,5,2,mo:lte,molte,molto,PRON,_
5-2,BOR005,5,5,3,quind[i],quindi,quindi,ADV,_
6-0,BOI019,6,6,1,[s]ì,sì,sì,ADV,_
7-0,BOR005,7,7,1,e,e,e,CCONJ,_
7-1,BOR005,7,7,2,[si,si,si,PRON,_
7-2,BOR005,7,7,3,trova,trova,trovare,VERB,_
7-3,BOR005,7,7,4,bene,bene,bene,ADV,_
7-4,BOR005,7,7,5,qua]?,qua,qua,ADV,Intonation=rising
8-0,BOI019,8,8,1,[quindi,quindi,quindi,ADV,_
8-1,BOI019,8,8,2,sa]ragozza,saragozza,Saragozza,PROPN,_
8-2,BOI019,8,8,3,porto,porto,Porto,PROPN,_
9-0,BOI019,9,9,1,benissimo,benissimo,bene,ADV,_
9-1,BOI019,9,9,2,son,sono,essere,VERB,_
9-2,BOI019,9,9,3,cinquant',cinquant',cinquanta,NUM,SpaceAfter=No
9-3,BOI019,9,9,4,anni,anni,anno,NOUN,_
9-4,BOI019,9,9,5,che,che,che,PRON,_
9-5,BOI019,9,9,6,abi~,abito,abitare,VERB,Interrupted=Yes
9-6,BOI019,9,9,7,sessant',sessant',sessanta,NUM,SpaceAfter=No
9-7,BOI019,9,9,8,anni,anni,anno,NOUN,_
10-0,BOI019,10,10,1,che,che,che,SCONJ,_
10-1,BOI019,10,10,2,abito,abito,abitare,VERB,_
10-2,BOI019,10,10,3,in,in,in,ADP,_
10-3,BOI019,10,10,4,questo,questo,questo,DET,_
10-4,BOI019,10,10,5,quartie:re,quartiere,quartiere,NOUN,_
11-0,BOR005,11,11,1,mhmh,mhmh,mhmh,INTJ,_
12-0,BOI019,12,12,1,un,un,uno,DET,_
12-1,BOI019,12,12,2,quartiere,quartiere,quartiere,NOUN,_
12-2,BOI019,12,12,3,che:,che,che,PRON,_
12-3,BOI019,12,12,4,{P},{P},_,_,_
12-4,BOI019,12,12,5,è,è,essere,AUX,_
12-5,BOI019,12,12,6,diventato,diventato,diventare,VERB,_
12-6,BOI019,12,12,7,anche,anche,anche,ADV,_
12-7,BOI019,12,12,8,direi,direi,dire,VERB,_
13-0,BOI019,13,13,1,eh,eh,eh,INTJ,_
13-1,BOI019,13,13,2,più,più,più,ADV,_
13-2,BOI019,13,13,3,abitato,abitato,abitare,VERB,_
13-3,BOI019,13,13,4,di,di,di,ADP,_
13-4,BOI019,13,13,5,quando,quando,quando,SCONJ,_
13-5,BOI019,13,13,6,io,io,io,PRON,_
13-6,BOI019,13,13,7,abitavo,abitavo,abitare,VERB,_
13-7,BOI019,13,13,8,qui,qui,qui,ADV,_
14-0,BOI019,14,14,1,perché,perché,perché,SCONJ,_
14-1,BOI019,14,14,2,son,son,essere,AUX,_
14-2,BOI019,14,14,3,state,state,essere,AUX,_
14-3,BOI019,14,14,4,costruite,costruite,costruire,VERB,_
14-4,BOI019,14,14,5,poi,poi,poi,ADV,_
14-5,BOI019,14,14,6,ta:nte,tante,tanto,DET,_
14-6,BOI019,14,14,7,case,case,casa,NOUN,_
14-7,BOI019,14,14,8,eh,eh,eh,INTJ,_
15-0,BOI019,15,15,1,quando,quando,quando,SCONJ,_
15-1,BOI019,15,15,2,sono,sono,essere,AUX,_
15-2,BOI019,15,15,3,arrivata,arrivata,arrivare,VERB,_
15-3,BOI019,15,15,4,questa,questa,questo,DET,_
15-4,BOI019,15,15,5,mia,mia,mio,ADJ,_
15-5,BOI019,15,15,6,casa,casa,casa,NOUN,_
15-6,BOI019,15,15,7,non,non,non,ADV,_
15-7,BOI019,15,15,8,c',c',ci,PRON,SpaceAfter=No
15-8,BOI019,15,15,9,e:ra,era,essere,VERB,_
15-9,BOI019,15,15,10,per,per,per,ADP,_
15-10,BOI019,15,15,11,esemp[io],esempio,esempio,NOUN,_
16-0,BOR005,16,16,1,[ah]:,ah,ah,INTJ,_
17-0,BOI019,17,17,1,non,non,non,ADV,_
17-1,BOI019,17,17,2,c',c',ci,PRON,SpaceAfter=No
17-2,BOI019,17,17,3,era,era,essere,VERB,_
18-0,BOR005,18,18,1,[ed,ed,e,CCONJ,_
18-1,BOR005,18,18,2,è,è,essere,AUX,_
18-2,BOR005,18,18,3,cambiato],cambiato,cambiare,VERB,_
19-0,BOI019,19,19,1-2,[negli,negli,_,_,_
19-0a,_,_,19,1,_,in,in,ADP,_
19-0b,_,_,19,2,_,gli,il,DET,_
19-1,BOI019,19,19,3,a~,anni,anno,NOUN,Interrupted=Yes
19-2,BOI019,19,19,4,gli,gli,il,DET,_
19-3,BOI019,19,19,5,an]ni,anni,anno,NOUN,_
19-4,BOI019,19,19,6,sessanta,sessanta,sessanta,NUM,_
19-5,BOI019,19,19,7-8,negli,negli,_,_,_
19-5a,_,_,19,7,_,in,in,ADP,_
19-5b,_,_,19,8,_,gli,il,DET,_
19-6,BOI019,19,19,9,anni,anni,anno,NOUN,_
19-7,BOI019,19,19,10,sessanta,sessanta,sessanta,NUM,_
19-8,BOI019,19,19,11,questa,questa,questo,DET,_
19-9,BOI019,19,19,12,casa,casa,casa,NOUN,_
19-10,BOI019,19,19,13,non,non,non,ADV,_
19-11,BOI019,19,19,14,c',c',ci,PRON,SpaceAfter=No
19-12,BOI019,19,19,15,era,era,essere,VERB,_
19-13,BOI019,19,19,16,{P},{P},_,_,_
19-14,BOI019,19,19,17,c',c',ci,PRON,SpaceAfter=No
19-15,BOI019,19,19,18,erano,erano,essere,VERB,_
19-16,BOI019,19,19,19,due,due,due,NUM,_
19-17,BOI019,19,19,20,villette,villette,villetta,NOUN,_
20-0,BOR005,20,20,1,e,e,e,CCONJ,_
20-1,BOR005,20,20,2,basta,basta,bastare,VERB,_
20-2,BOR005,20,20,3,{ride},{ride},_,_,_
21-0,BOI019,21,21,1,e,e,e,CCONJ,_
21-1,BOI019,21,21,2,basta,basta,bastare,VERB,_
21-2,BOI019,21,21,3,c',c',ci,PRON,SpaceAfter=No
21-3,BOI019,21,21,4,è,è,essere,AUX,_
21-4,BOI019,21,21,5,rimasta,rimasta,rimanere,VERB,_
21-5,BOI019,21,21,6,la,la,il,DET,_
21-6,BOI019,21,21,7,testimonianza,testimonianza,testimonianza,NOUN,_
21-7,BOI019,21,21,8,di,di,di,ADP,_
21-8,BOI019,21,21,9,un,un,uno,DET,_
21-9,BOI019,21,21,10,abete,abete,abete,NOUN,_
21-10,BOI019,21,21,11,bellissimo,bellissimo,bello,ADJ,_
22-0,BOR005,22,22,1,e,e,e,CCONJ,_
22-1,BOR005,22,22,2,quindi,quindi,quindi,ADV,_
22-2,BOR005,22,22,3,il,il,il,DET,_
22-3,BOR005,22,22,4,quartiere,quartiere,quartiere,NOUN,_
22-4,BOR005,22,22,5,è,è,essere,AUX,_
22-5,BOR005,22,22,6,cambiato,cambiato,cambiare,VERB,_
22-6,BOR005,22,22,7,molto,molto,molto,ADV,_
22-7,BOR005,22,22,8,in,in,in,ADP,_
22-8,BOR005,22,22,9,que[sti,questi,questo,DET,_
22-9,BOR005,22,22,10,anni],anni,anno,NOUN,_
23-0,BOI019,23,23,1,[il,il,il,DET,_
23-1,BOI019,23,23,2,cambiere],cambiere,cambiere,NOUN,_
23-2,BOI019,23,23,3,è,è,essere,AUX,_
23-3,BOI019,23,23,4,cambiato,cambiato,cambiare,VERB,_
23-4,BOI019,23,23,5,molto,molto,molto,ADV,_
24-0,BOR005,24,24,1,ma,ma,ma,CCONJ,_
24-1,BOR005,24,24,2,solo,solo,solo,ADV,_
24-2,BOR005,24,24,3,a,a,a,ADP,_
24-3,BOR005,24,24,4,livello,livello,livello,NOUN,_
24-4,BOR005,24,24,5,diciamo,diciamo,dire,VERB,_
24-5,BOR005,24,24,6,di,di,di,ADP,_
24-6,BOR005,24,24,7,struttura,struttura,struttura,NOUN,_
24-7,BOR005,24,24,8,o,o,o,CCONJ,_
24-8,BOR005,24,24,9,anche,anche,anche,ADV,_
24-9,BOR005,24,24,10,di,di,di,ADP,_
24-10,BOR005,24,24,11,persone,persone,persona,NOUN,_
24-11,BOR005,24,24,12,che,che,che,PRON,_
24-12,BOR005,24,24,13,la,la,la,PRON,_
24-13,BOR005,24,24,14,abitano,abitano,abitare,VERB,_
24-14,BOR005,24,24,15,che,che,che,SCONJ,_
24-15,BOR005,24,24,16,ci,ci,ci,PRON,_
24-16,BOR005,24,24,17,lavorano:,lavorano,lavorare,VERB,_
25-0,BOR005,25,25,1,lo,lo,lo,PRON,_
25-1,BOR005,25,25,2,vede,vede,vedere,VERB,_
25-2,BOR005,25,25,3,molto,molto,molto,ADV,_
25-3,BOR005,25,25,4,cambiato,cambiato,cambiare,VERB,_
25-4,BOR005,25,25,5,questo,questo,questo,DET,_
25-5,BOR005,25,25,6,quartiere?,quartiere,quartiere,NOUN,Intonation=rising
26-0,BOI019,26,26,1,mah,mah,mah,INTJ,_
26-1,BOI019,26,26,2,ehm,ehm,ehm,INTJ,_
27-0,BOI019,27,27,1,io,io,io,PRON,_
27-1,BOI019,27,27,2,penso,penso,pensare,VERB,_
27-2,BOI019,27,27,3,che,che,che,SCONJ,_
27-3,BOI019,27,27,4,c',c',ci,PRON,SpaceAfter=No
27-4,BOI019,27,27,5,era,era,essere,AUX,_
27-5,BOI019,27,27,6,più,più,più,ADV,_
27-6,BOI019,27,27,7,artigianato,artigianato,artigianato,NOUN,_
27-7,BOI019,27,27,8,una,una,uno,DET,_
27-8,BOI019,27,27,9,[vol]ta,volta,volta,NOUN,_
28-0,BOR005,28,28,1,[mh],mh,mh,INTJ,_
29-0,BOR005,29,29,1,probabile,probabile,probabile,ADJ,_
29-1,BOR005,29,29,2,sì,sì,sì,ADV,_
30-0,BOI019,30,30,1,sì,sì,sì,ADV,_
30-1,BOI019,30,30,2,anche,anche,anche,ADV,_
30-2,BOI019,30,30,3,i,i,il,DET,_
30-3,BOI019,30,30,4,portici,portici,portico,NOUN,_
30-4,BOI019,30,30,5,me,me,me,PRON,_
30-5,BOI019,30,30,6,li,li,li,PRON,_
30-6,BOI019,30,30,7,ricordo,ricordo,ricordare,VERB,_
30-7,BOI019,30,30,8,abita:ti,abitati,abitare,VERB,_
31-0,BOI019,31,31,1,abitati,abitati,abitare,VERB,_
31-1,BOI019,31,31,2,da,da,da,ADP,_
31-2,BOI019,31,31,3,da:,da,da,ADP,_
31-3,BOI019,31,31,4,calzolai,calzolai,calzolaio,NOUN,_
31-4,BOI019,31,31,5,e::h,eh,eh,INTJ,_
31-5,BOI019,31,31,6,sarti?,sarti,sarto,NOUN,Intonation=rising
32-0,BOI019,32,32,1,e::h,eh,eh,INTJ,_
33-0,BOI019,33,33,1,queste,queste,questo,DET,_
33-1,BOI019,33,33,2,queste,queste,questo,DET,_
33-2,BOI019,33,33,3,figure,figure,figura,NOUN,_
33-3,BOI019,33,33,4,sono,sono,essere,AUX,_
33-4,BOI019,33,33,5,sparite,sparite,sparire,VERB,_
33-5,BOI019,33,33,6,{P},{P},_,_,_
33-6,BOI019,33,33,7,gli,gli,il,DET,_
33-7,BOI019,33,33,8,artigiani,artigiani,artigiano,NOUN,_
33-8,BOI019,33,33,9,non,non,non,ADV,_
33-9,BOI019,33,33,10,esistono,esistono,esistere,VERB,_
33-10,BOI019,33,33,11,più,più,più,ADV,_
34-0,BOI019,34,34,1,ma,ma,ma,CCONJ,_
34-1,BOI019,34,34,2-3,negli,negli,_,_,_
34-1a,_,_,34,2,_,in,in,ADP,_
34-1b,_,_,34,3,_,gli,il,DET,_
34-2,BOI019,34,34,4,anni,anni,anno,NOUN,_
34-3,BOI019,34,34,5,sessanta,sessanta,sessanta,NUM,_
34-4,BOI019,34,34,6,c',c',ci,PRON,SpaceAfter=No
34-5,BOI019,34,34,7,erano,erano,essere,AUX,_
34-6,BOI019,34,34,8,ancora,ancora,ancora,ADV,_
35-0,BOR005,35,35,1,ad,ad,a,ADP,_
35-1,BOR005,35,35,2,esempio,esempio,esempio,NOUN,_
35-2,BOR005,35,35,3,quali,quali,quale,DET,_
35-3,BOR005,35,35,4,{P},{P},_,_,_
35-4,BOR005,35,35,5,questi,questi,questo,DET,_
35-5,BOR005,35,35,6,artigiani,artigiani,artigiano,NOUN,_
35-6,BOR005,35,35,7,che,che,che,PRON,_
35-7,BOR005,35,35,8,mestieri,mestieri,mestiere,NOUN,_
