token_id,speaker,tu_id,unit,id,span,form,lemma,upos,jefferson_feats
0-0,TOR004,0,0,1,vai,vai,andare,VERB,_
0-1,TOR004,0,0,2,puoi,puoi,potere,AUX,_
0-2,TOR004,0,0,3,cominciare,cominciare,cominciare,VERB,_
1-0,TOI019,1,1,1,da,da,da,ADP,_
1-1,TOI019,1,1,2,dove,dove,dove,ADV,_
1-2,TOI019,1,1,3,"comincio,",comincio,cominciare,VERB,_
1-3,TOI019,1,1,4-5,dall',dall',_,_,_
1-3a,_,_,1,4,_,da,da,ADP,_
1-3b,_,_,1,5,_,l',il,DET,_
1-4,TOI019,1,1,6,inizio?,inizio,inizio,NOUN,_
2-0,TOR004,2,2,1,sì.,sì,sì,ADV,_
3-0,TOI019,3,3,1,ecco.,ecco,ecco,ADV,_
4-0,TOI019,4,4,1,mio,mio,mio,ADJ,_
4-1,TOI019,4,4,2,cugino,cugino,cugino,NOUN,_
4-2,TOI019,4,4,3,che,che,che,PRON,_
4-3,TOI019,4,4,4,m',m',mi,PRON,_
4-4,TOI019,4,4,5,accompagna,accompagna,accompagnare,VERB,_
4-5,TOI019,4,4,6,perché,perché,perché,SCONJ,_
4-6,TOI019,4,4,7,non,non,non,ADV,_
4-7,TOI019,4,4,8,ci,ci,ci,PRON,_
4-8,TOI019,4,4,9,sono,sono,essere,VERB,_
4-9,TOI019,4,4,10,tax(i),taxi,taxi,NOUN,_
5-0,TOR004,5,5,1,mh.,mh,mh,INTJ,_
5-1,TOR004,5,5,2,e,e,e,CCONJ,_
5-2,TOR004,5,5,3,questo,questo,questo,PRON,_
5-3,TOR004,5,5,4,era,era,essere,AUX,_
5-4,TOR004,5,5,5,un,un,uno,DET,_
5-5,TOR004,5,5,6,viaggio,viaggio,viaggio,NOUN,_
5-6,TOR004,5,5,7,che,che,che,PRON,_
5-7,TOR004,5,5,8,"facevi,",facevi,fare,VERB,_
6-0,TOI019,6,6,1,di,di,di,ADP,_
6-1,TOI019,6,6,2,ritorno,ritorno,ritorno,NOUN,_
6-2,TOI019,6,6,3,da::,da,da,ADP,_
6-3,TOI019,6,6,4,da,da,da,ADP,_
6-4,TOI019,6,6,5,avigliano,avigliano,Avigliano,PROPN,_
6-5,TOI019,6,6,6,a,a,a,ADP,_
6-6,TOI019,6,6,7,torino,torino,Torino,PROPN,_
7-0,TOI019,7,7,1,adesso,adesso,adesso,ADV,_
7-1,TOI019,7,7,2,che,che,che,SCONJ,_
7-2,TOI019,7,7,3,ho,ho,avere,AUX,_
